"Metabolites","Temperature","K.app"
"L-Glutamic acid",25,14.1519598544624
"L-Glutamic acid",26,14.5589814584761
"L-Glutamic acid",27,14.9723447467654
"L-Glutamic acid",28,15.3919827054196
"L-Glutamic acid",29,15.8178233167252
"L-Glutamic acid",30,16.2497895859022
"L-Glutamic acid",31,16.6877995734263
"L-Glutamic acid",32,17.1317664328747
"L-Glutamic acid",33,17.581598454226
"L-Glutamic acid",34,18.0371991125364
"L-Glutamic acid",35,18.4984671219058
"L-Glutamic acid",36,18.9652964946419
"L-Glutamic acid",37,19.4375766055212
"L-Glutamic acid",38,19.9151922610403
"L-Glutamic acid",39,20.3980237735451
"L-Glutamic acid",40,20.8859470401153
"L-Glutamic acid",41,21.3788336260825
"L-Glutamic acid",42,21.8765508530467
"L-Glutamic acid",43,22.3789618912571
"L-Glutamic acid",44,22.8859258562148
"L-Glutamic acid",45,23.3972979093501
"L-Glutamic acid",46,23.9129293626259
"L-Glutamic acid",47,24.4326677869101
"L-Glutamic acid",48,24.9563571239594
"L-Glutamic acid",49,25.4838378018541
"L-Glutamic acid",50,26.0149468537165
"Glutathione",25,6.11508079048443
"Glutathione",26,6.32108329501814
"Glutathione",27,6.53147730147227
"Glutathione",28,6.74626761898077
"Glutathione",29,6.96545613736886
"Glutathione",30,7.18904179037436
"Glutathione",31,7.41702052201941
"Glutathione",32,7.64938525618241
"Glutathione",33,7.88612586941516
"Glutathione",34,8.12722916704447
"Glutathione",35,8.372678862592
"Glutathione",36,8.62245556054086
"Glutathione",37,8.87653674247171
"Glutathione",38,9.13489675658604
"Glutathione",39,9.39750681062845
"Glutathione",40,9.66433496821478
"Glutathione",41,9.93534614856722
"Glutathione",42,10.2105021296527
"Glutathione",43,10.4897615547151
"Glutathione",44,10.7730799421875
"Glutathione",45,11.0604096989638
"Glutathione",46,11.3517001370079
"Glutathione",47,11.646897493268
"Glutathione",48,11.9459449528655
"Glutathione",49,12.248782675517
"Glutathione",50,12.5553478251487
"L-Aspartic acid",25,3.3230831471387
"L-Aspartic acid",26,3.41865765743471
"L-Aspartic acid",27,3.51572128615374
"L-Aspartic acid",28,3.61425829746838
"L-Aspartic acid",29,3.7142517805866
"L-Aspartic acid",30,3.81568365602977
"L-Aspartic acid",31,3.91853468322236
"L-Aspartic acid",32,4.02278446937871
"L-Aspartic acid",33,4.12841147967047
"L-Aspartic acid",34,4.23539304865642
"L-Aspartic acid",35,4.34370539295454
"L-Aspartic acid",36,4.45332362513456
"L-Aspartic acid",37,4.56422176880734
"L-Aspartic acid",38,4.67637277488618
"L-Aspartic acid",39,4.78974853899323
"L-Aspartic acid",40,4.90431991998292
"L-Aspartic acid",41,5.02005675955301
"L-Aspartic acid",42,5.13692790291227
"L-Aspartic acid",43,5.25490122047274
"L-Aspartic acid",44,5.37394363053343
"L-Aspartic acid",45,5.49402112292089
"L-Aspartic acid",46,5.61509878355143
"L-Aspartic acid",47,5.73714081987859
"L-Aspartic acid",48,5.86011058718868
"L-Aspartic acid",49,5.98397061570625
"L-Aspartic acid",50,6.10868263847107
"L-Valine",25,0.0381327117855523
"L-Valine",26,0.0388386557631173
"L-Valine",27,0.0395494860121877
"L-Valine",28,0.0402650759692381
"L-Valine",29,0.040985297058098
"L-Valine",30,0.0417100187571759
"L-Valine",31,0.0424391086673137
"L-Valine",32,0.0431724325802106
"L-Valine",33,0.0439098545473597
"L-Valine",34,0.0446512369494366
"L-Valine",35,0.0453964405660856
"L-Valine",36,0.0461453246460441
"L-Valine",37,0.0468977469775514
"L-Valine",38,0.0476535639589868
"L-Valine",39,0.0484126306696814
"L-Valine",40,0.0491748009408528
"L-Valine",41,0.0499399274266086
"L-Valine",42,0.0507078616749687
"L-Valine",43,0.0514784541988558
"L-Valine",44,0.0522515545470045
"L-Valine",45,0.0530270113747421
"L-Valine",46,0.0538046725145925
"L-Valine",47,0.0545843850466588
"L-Valine",48,0.0553659953687385
"L-Valine",49,0.0561493492661278
"L-Valine",50,0.0569342919810741
"L-Glutamine",25,0.00774575877896405
"L-Glutamine",26,0.00788884369491121
"L-Glutamine",27,0.00803291263380603
"L-Glutamine",28,0.00817793992856609
"L-Glutamine",29,0.00832389950940211
"L-Glutamine",30,0.00847076491745596
"L-Glutamine",31,0.0086185093185613
"L-Glutamine",32,0.00876710551711484
"L-Glutamine",33,0.00891652597004639
"L-Glutamine",34,0.00906674280087593
"L-Glutamine",35,0.00921772781384621
"L-Glutamine",36,0.00936945250811948
"L-Glutamine",37,0.00952188809202701
"L-Glutamine",38,0.00967500549736049
"L-Glutamine",39,0.00982877539369434
"L-Glutamine",40,0.00998316820272827
"L-Glutamine",41,0.0101381541126397
"L-Glutamine",42,0.0102937030924353
"L-Glutamine",43,0.0104497849062929
"L-Glutamine",44,0.0106063691278814
"L-Glutamine",45,0.0107634251546521
"L-Glutamine",46,0.0109209222220894
"L-Glutamine",47,0.0110788294179136
"L-Glutamine",48,0.0112371156962249
"L-Glutamine",49,0.011395749891582
"L-Glutamine",50,0.011554700733005
"Pyruvic acid",25,7.58143004490712
"Pyruvic acid",26,7.70187413600915
"Pyruvic acid",27,7.82274332914733
"Pyruvic acid",28,7.94401239953093
"Pyruvic acid",29,8.06565597259683
"Pyruvic acid",30,8.18764853655209
