Metabolites,Temperature
L-Glutamic acid,25
L-Glutamic acid,26
L-Glutamic acid,27
L-Glutamic acid,28
L-Glutamic acid,29
L-Glutamic acid,30
L-Glutamic acid,31
L-Glutamic acid,32
L-Glutamic acid,33
L-Glutamic acid,34
L-Glutamic acid,35
L-Glutamic acid,36
L-Glutamic acid,37
L-Glutamic acid,38
L-Glutamic acid,39
L-Glutamic acid,40
L-Glutamic acid,41
L-Glutamic acid,42
L-Glutamic acid,43
L-Glutamic acid,44
L-Glutamic acid,45
L-Glutamic acid,46
L-Glutamic acid,47
L-Glutamic acid,48
L-Glutamic acid,49
L-Glutamic acid,50
Glutathione,25
Glutathione,26
Glutathione,27
Glutathione,28
Glutathione,29
Glutathione,30
Glutathione,31
Glutathione,32
Glutathione,33
Glutathione,34
Glutathione,35
Glutathione,36
Glutathione,37
Glutathione,38
Glutathione,39
Glutathione,40
Glutathione,41
Glutathione,42
Glutathione,43
Glutathione,44
Glutathione,45
Glutathione,46
Glutathione,47
Glutathione,48
Glutathione,49
Glutathione,50
L-Aspartic acid,25
L-Aspartic acid,26
L-Aspartic acid,27
L-Aspartic acid,28
L-Aspartic acid,29
L-Aspartic acid,30
L-Aspartic acid,31
L-Aspartic acid,32
L-Aspartic acid,33
L-Aspartic acid,34
L-Aspartic acid,35
L-Aspartic acid,36
L-Aspartic acid,37
L-Aspartic acid,38
L-Aspartic acid,39
L-Aspartic acid,40
L-Aspartic acid,41
L-Aspartic acid,42
L-Aspartic acid,43
L-Aspartic acid,44
L-Aspartic acid,45
L-Aspartic acid,46
L-Aspartic acid,47
L-Aspartic acid,48
L-Aspartic acid,49
L-Aspartic acid,50
L-Valine,25
L-Valine,26
L-Valine,27
L-Valine,28
L-Valine,29
L-Valine,30
L-Valine,31
L-Valine,32
L-Valine,33
L-Valine,34
L-Valine,35
L-Valine,36
L-Valine,37
L-Valine,38
L-Valine,39
L-Valine,40
L-Valine,41
L-Valine,42
L-Valine,43
L-Valine,44
L-Valine,45
L-Valine,46
L-Valine,47
L-Valine,48
L-Valine,49
L-Valine,50
L-Glutamine,25
L-Glutamine,26
L-Glutamine,27
L-Glutamine,28
L-Glutamine,29
L-Glutamine,30
L-Glutamine,31
L-Glutamine,32
L-Glutamine,33
L-Glutamine,34
L-Glutamine,35
L-Glutamine,36
L-Glutamine,37
L-Glutamine,38
L-Glutamine,39
L-Glutamine,40
L-Glutamine,41
L-Glutamine,42
L-Glutamine,43
L-Glutamine,44
L-Glutamine,45
L-Glutamine,46
L-Glutamine,47
L-Glutamine,48
L-Glutamine,49
L-Glutamine,50
Pyruvic acid,25
Pyruvic acid,26
Pyruvic acid,27
Pyruvic acid,28
Pyruvic acid,29
Pyruvic acid,30
Pyruvic acid,31
Pyruvic acid,32
Pyruvic acid,33
Pyruvic acid,34
Pyruvic acid,35
Pyruvic acid,36
Pyruvic acid,37
Pyruvic acid,38
Pyruvic acid,39
Pyruvic acid,40
Pyruvic acid,41
Pyruvic acid,42
Pyruvic acid,43
Pyruvic acid,44
Pyruvic acid,45
Pyruvic acid,46
Pyruvic acid,47
Pyruvic acid,48
Pyruvic acid,49
Pyruvic acid,50
