Metabolites,Concentration,Kd,Temperature,MCM
L-Glutamic acid,96,70.6615910646948,25,
Glutathione,16.6,163.53013709256,25,
"Fructose 1,6-BP",15.2,13.419216317767,25,
ATP,9.63,0.25392246731383,25,
UDP-GlcNAC,9.24,,25,
UTP,8.29,0.277377121934983,25,
Glucose 6-P,7.88,19.8807157057654,25,
GTP,4.87,0.237171961530708,25,
dTTP,4.62,0.200995732860591,25,
L-Aspartic acid,4.23,300.925362298273,25,
L-Valine,4.02,26224.2036607236,25,
L-Glutamine,3.81,129102.910190775,25,
6-P-gluconic acid,3.77,28.0426247896803,25,
Pyruvic acid,3.66,131.901236848021,25,
diOH-ACN-P,3.06,,25,
Free Mg,,,25,
L-Glutamic acid,96,59.92401787905,31,
Glutathione,16.6,134.825028059614,31,
"Fructose 1,6-BP",15.2,12.745347947999,31,
ATP,9.63,0.230330362839421,31,
UDP-GlcNAC,9.24,,31,
UTP,8.29,0.244064354889097,31,
Glucose 6-P,7.88,18.0212650928095,31,
GTP,4.87,0.227379182071606,31,
dTTP,4.62,0.178980206578954,31,
L-Aspartic acid,4.23,255.197434970172,31,
L-Valine,4.02,23563.1715981394,31,
L-Glutamine,3.81,116029.346031609,31,
6-P-gluconic acid,3.77,13.3529176124983,31,
Pyruvic acid,3.66,120.337458172149,31,
diOH-ACN-P,3.06,,31,
Free Mg,,,31,
L-Glutamic acid,96,51.4467425798313,37,
Glutathione,16.6,112.656549396713,37,
"Fructose 1,6-BP",15.2,5.81125058112506,37,
ATP,9.63,0.275886423077348,37,
UDP-GlcNAC,9.24,,37,
UTP,8.29,0.237793466862291,37,
Glucose 6-P,7.88,16.9635284139101,37,
GTP,4.87,0.19953388883568,37,
dTTP,4.62,0.162508084777218,37,
L-Aspartic acid,4.23,219.095401287065,37,
L-Valine,4.02,21322.9859523672,37,
L-Glutamine,3.81,105021.1880601,37,
6-P-gluconic acid,3.77,14.3143429716576,37,
Pyruvic acid,3.66,110.506979696308,37,
diOH-ACN-P,3.06,,37,
Free Mg,2,,37,
L-Glutamic acid,96,44.6848251880117,43,
Glutathione,16.6,95.3310515957824,43,
"Fructose 1,6-BP",15.2,2.12756903961534,43,
ATP,9.63,0.142033551165456,43,
UDP-GlcNAC,9.24,,43,
UTP,8.29,0.264979980762453,43,
Glucose 6-P,7.88,9.01713255184851,43,
GTP,4.87,0.205186709646443,43,
dTTP,4.62,0.115591969594688,43,
L-Aspartic acid,4.23,190.29853427198,43,
L-Valine,4.02,19425.6027218126,43,
L-Glutamine,3.81,95695.7496223483,43,
6-P-gluconic acid,3.77,6.38080653394589,43,
Pyruvic acid,3.66,102.108239899685,43,
diOH-ACN-P,3.06,,43,
Free Mg,,,43,
L-Glutamic acid,96,39.2405573985895,49,
Glutathione,16.6,81.6407659839382,49,
"Fructose 1,6-BP",15.2,5.31773464504121,49,
ATP,9.63,0.164120608953107,49,
UDP-GlcNAC,9.24,,49,
UTP,8.29,0.092037385586025,49,
Glucose 6-P,7.88,13.080444735121,49,
GTP,4.87,0.164835889388525,49,
dTTP,4.62,0.185185528121348,49,
L-Aspartic acid,4.23,167.113120070356,49,
L-Valine,4.02,17809.6454023066,49,
L-Glutamine,3.81,87752.0136466575,49,
6-P-gluconic acid,3.77,11.5794349235757,49,
Pyruvic acid,3.66,94.9010238256951,49,
diOH-ACN-P,3.06,,49,
Free Mg,,,49,
