"Well","A","B","Tm","invT","Helix","Condition"
"D1",148.477620710129,1000,61.3191768654955,0.00298981212371071,"F","Monovalent"
"D2",148.477620710129,800,61.4247719582282,0.00298886850956249,"F","Monovalent"
"D3",148.477620710129,600,61.0530088647047,0.00299219328813652,"F","Monovalent"
"D4",148.477620710129,400,60.1026053162362,0.00300072672815584,"F","Monovalent"
"D5",148.477620710129,250,59.1012257809009,0.00300977068677374,"F","Monovalent"
"D6",148.477620710129,200,58.7844376625826,0.00301264312025533,"F","Monovalent"
"D7",148.477620710129,150,58.0457760456256,0.00301936217888914,"F","Monovalent"
"D8",148.477620710129,100,57.676223705045,0.00302273498394604,"F","Monovalent"
"D9",148.477620710129,50,58.6255332353153,0.00301408603054144,"F","Monovalent"
"E1",148.477620710129,1000,61.4247719582282,0.00298886850956249,"F","Monovalent"
"E2",148.477620710129,800,61.2135817727628,0.00299075633386297,"F","Monovalent"
"E3",148.477620710129,600,60.7362076818819,0.00299503237028819,"F","Monovalent"
"E4",148.477620710129,400,59.9442047248248,0.00300215370251223,"F","Monovalent"
"E5",148.477620710129,250,58.8372356823023,0.00301216400065742,"F","Monovalent"
"E6",148.477620710129,200,58.520447563984,0.00301504100635039,"F","Monovalent"
"E7",148.477620710129,150,58.2569488116717,0.00301743823895578,"F","Monovalent"
"E8",148.477620710129,100,57.8346032795796,0.0030212885738232,"F","Monovalent"
"F1",148.477620710129,1000,61.8999498755255,0.00298462960633634,"F","Monovalent"
"F2",148.477620710129,800,61.2135817727628,0.00299075633386297,"F","Monovalent"
"F3",148.477620710129,600,60.8418080761562,0.00299408541113674,"F","Monovalent"
"F4",148.477620710129,400,60.1026053162362,0.00300072672815584,"F","Monovalent"
"F5",148.477620710129,250,58.9956297414615,0.0030107275557965,"F","Monovalent"
"F6",148.477620710129,200,58.6788416231431,0.00301360181685381,"F","Monovalent"
"F7",148.477620710129,150,58.4681215777177,0.00301551674933314,"F","Monovalent"
"F8",148.477620710129,100,57.9929828541141,0.00301984354728287,"F","Monovalent"
"F9",148.477620710129,50,58.572737677037,0.00301456573945677,"F","Monovalent"
"A1",226.085111456771,1000,51.1292504167868,0.00308376190803059,"G","Monovalent"
"A2",226.085111456771,800,50.1788945821922,0.00309282596376735,"G","Monovalent"
"A3",226.085111456771,600,50.017767663043,0.00309436800344108,"G","Monovalent"
"A4",226.085111456771,400,49.4369654945345,0.00309993926278755,"G","Monovalent"
"A5",226.085111456771,250,48.911207974995,0.00310499984238288,"G","Monovalent"
"A6",226.085111456771,200,48.8056119355556,0.00310601823024028,"G","Monovalent"
"A7",226.085111456771,150,49.1237266801802,0.00310295229555708,"G","Monovalent"
"A8",226.085111456771,100,49.3876926377377,0.00310041282872065,"G","Monovalent"
"B1",226.085111456771,1000,51.023655324054,0.00308476640089821,"G","Monovalent"
"B2",226.085111456771,800,50.6540724994895,0.00308828728521188,"G","Monovalent"
"B3",226.085111456771,600,50.2817686487287,0.00309184222742842,"G","Monovalent"
"B4",226.085111456771,400,49.7537666773574,0.00309689790952235,"G","Monovalent"
"B5",226.085111456771,250,48.6472178763964,0.0031075470651959,"G","Monovalent"
"B6",226.085111456771,200,48.541621836957,0.00310856712490582,"G","Monovalent"
"B7",226.085111456771,150,48.9653471056456,0.003104477973451,"G","Monovalent"
"B8",226.085111456771,100,49.7572449783183,0.00309686455027401,"G","Monovalent"
"C1",226.085111456771,1000,51.2876430558859,0.00308225639472959,"G","Monovalent"
"C2",226.085111456771,800,50.3372872212913,0.00309131158936679,"G","Monovalent"
"C3",226.085111456771,600,50.1233680573173,0.00309335719799441,"G","Monovalent"
"C4",226.085111456771,400,49.3841652973974,0.0031004467358611,"G","Monovalent"
"C5",226.085111456771,250,49.1224000538739,0.0031029650687829,"G","Monovalent"
"C6",226.085111456771,200,48.7528139158358,0.00310652767472066,"G","Monovalent"
"C7",226.085111456771,150,48.7013811480881,0.00310702410669441,"G","Monovalent"
"C8",226.085111456771,100,49.4404858292493,0.00309990543406575,"G","Monovalent"
"A1",232.732015943395,1000,42.8906284963964,0.00316415014347246,"H","Monovalent"
"A2",232.732015943395,800,42.3626738603604,0.00316944478890436,"H","Monovalent"
"A3",232.732015943395,600,42.3122765888288,0.00316995112953994,"H","Monovalent"
"A4",232.732015943395,400,41.3619616520721,0.00317952930866981,"H","Monovalent"
"A5",232.732015943395,250,40.5115893068769,0.00318814937528621,"H","Monovalent"
"A6",232.732015943395,200,40.3003748857357,0.0031902976678989,"H","Monovalent"
"A7",232.732015943395,150,40.0947276740541,0.00319239211917574,"H","Monovalent"
"A8",232.732015943395,100,40.833858863003,0.00318487709406845,"H","Monovalent"
"B1",232.732015943395,1000,43.1018103508108,0.00316203723510934,"H","Monovalent"
"B2",232.732015943395,800,42.5210602511712,0.00316785453568131,"H","Monovalent"
"B3",232.732015943395,600,42.3122765888288,0.00316995112953994,"H","Monovalent"
"B4",232.732015943395,400,41.7315285719219,0.00317579759135217,"H","Monovalent"
"B5",232.732015943395,250,40.0891604645946,0.00319244885766137,"H","Monovalent"
"B6",232.732015943395,200,39.983553254024,0.0031935255408058,"H","Monovalent"
"B7",232.732015943395,150,40.3587030986787,0.00318970411384479,"H","Monovalent"
"B8",232.732015943395,100,40.3587030986787,0.00318970411384479,"H","Monovalent"
"C1",232.732015943395,1000,42.7850375691892,0.00316520765690954,"H","Monovalent"
"C2",232.732015943395,800,42.5210602511712,0.00316785453568131,"H","Monovalent"
"C3",232.732015943395,600,42.5762529601502,0.00316730075698272,"H","Monovalent"
"C4",232.732015943395,400,41.7315285719219,0.00317579759135217,"H","Monovalent"
"C5",232.732015943395,250,40.8812145438739,0.0031843968168976,"H","Monovalent"
"C6",232.732015943395,200,40.4059820963063,0.00318922315981475,"H","Monovalent"
"C7",232.732015943395,150,40.7282686931532,0.00318594850214877,"H","Monovalent"
