Well,Reading,Temperature,A,B,Emission,Helix,Condition
D1,1,23.36385864,200,1000,0.315574727,F,NTPCM
D1,2,23.83427966,200,1000,0.317573906,F,NTPCM
D1,3,24.30536272,200,1000,0.318800859,F,NTPCM
D1,4,24.7814583,200,1000,0.320478828,F,NTPCM
D1,5,25.25452746,200,1000,0.323003008,F,NTPCM
D1,6,25.72608339,200,1000,0.325577793,F,NTPCM
D1,7,26.19612611,200,1000,0.328275352,F,NTPCM
D1,8,26.67307288,200,1000,0.332127891,F,NTPCM
D1,9,27.14727694,200,1000,0.336003203,F,NTPCM
D1,10,27.61864373,200,1000,0.338535859,F,NTPCM
D1,11,28.08518714,200,1000,0.342348164,F,NTPCM
D1,12,28.56440373,200,1000,0.343685547,F,NTPCM
D1,13,29.03652712,200,1000,0.345321211,F,NTPCM
D1,14,29.5071373,200,1000,0.348367383,F,NTPCM
D1,15,29.97973357,200,1000,0.352373008,F,NTPCM
D1,16,30.45620746,200,1000,0.35385457,F,NTPCM
D1,17,30.92974949,200,1000,0.358737227,F,NTPCM
D1,18,31.40007594,200,1000,0.360402773,F,NTPCM
D1,19,31.87333424,200,1000,0.362022773,F,NTPCM
D1,20,32.3491461,200,1000,0.36444457,F,NTPCM
D1,21,32.8196617,200,1000,0.366327344,F,NTPCM
D1,22,33.29509525,200,1000,0.370975156,F,NTPCM
D1,23,33.76163866,200,1000,0.372957344,F,NTPCM
D1,24,34.23934203,200,1000,0.375770898,F,NTPCM
D1,25,34.71033051,200,1000,0.377422578,F,NTPCM
D1,26,35.18368339,200,1000,0.381002109,F,NTPCM
D1,27,35.65514475,200,1000,0.383743164,F,NTPCM
D1,28,36.13114576,200,1000,0.385790391,F,NTPCM
D1,29,36.60336373,200,1000,0.390542969,F,NTPCM
D1,30,37.07586542,200,1000,0.392916953,F,NTPCM
D1,31,37.54836712,200,1000,0.395524062,F,NTPCM
D1,32,38.02153085,200,1000,0.398773008,F,NTPCM
D1,33,38.49507288,200,1000,0.401035859,F,NTPCM
D1,34,38.96596678,200,1000,0.402905312,F,NTPCM
D1,35,39.43979254,200,1000,0.408565977,F,NTPCM
D1,36,39.91210509,200,1000,0.409352617,F,NTPCM
D1,37,40.38697118,200,1000,0.412442852,F,NTPCM
D1,38,40.85966203,200,1000,0.415081836,F,NTPCM
D1,39,41.33027221,200,1000,0.418836094,F,NTPCM
D1,40,41.8023956,200,1000,0.422921875,F,NTPCM
D1,41,42.27782915,200,1000,0.423807656,F,NTPCM
D1,42,42.74966882,200,1000,0.427443555,F,NTPCM
D1,43,43.22245424,200,1000,0.431639961,F,NTPCM
D1,44,43.69637458,200,1000,0.433184141,F,NTPCM
D1,45,44.16963288,200,1000,0.436481328,F,NTPCM
D1,46,44.64090509,200,1000,0.440435586,F,NTPCM
D1,47,45.1145417,200,1000,0.446049414,F,NTPCM
D1,48,45.58836746,200,1000,0.449536484,F,NTPCM
D1,49,46.06049085,200,1000,0.453793125,F,NTPCM
D1,50,46.53384373,200,1000,0.458409141,F,NTPCM
D1,51,47.00634542,200,1000,0.4617,F,NTPCM
D1,52,47.47941458,200,1000,0.466640781,F,NTPCM
D1,53,47.95276746,200,1000,0.471159297,F,NTPCM
D1,54,48.42517458,200,1000,0.476580195,F,NTPCM
D1,55,48.89805458,200,1000,0.481308086,F,NTPCM
D1,56,49.36932678,200,1000,0.486644297,F,NTPCM
D1,57,49.84220678,200,1000,0.493074609,F,NTPCM
D1,58,50.31745118,200,1000,0.498819414,F,NTPCM
D1,59,50.78777763,200,1000,0.505072109,F,NTPCM
D1,60,51.26027933,200,1000,0.51238168,F,NTPCM
D1,61,51.73505085,200,1000,0.520606602,F,NTPCM
D1,62,52.20603933,200,1000,0.529050273,F,NTPCM
D1,63,52.68005424,200,1000,0.53805418,F,NTPCM
D1,64,53.1535017,200,1000,0.549385742,F,NTPCM
D1,65,53.62798949,200,1000,0.561173203,F,NTPCM
