Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.36385864,200,1000,0.198958242,G,NTPCM
A1,2,23.83427966,200,1000,0.200623301,G,NTPCM
A1,3,24.30536272,200,1000,0.202876992,G,NTPCM
A1,4,24.7814583,200,1000,0.205666348,G,NTPCM
A1,5,25.25452746,200,1000,0.209001113,G,NTPCM
A1,6,25.72608339,200,1000,0.211729102,G,NTPCM
A1,7,26.19612611,200,1000,0.214438535,G,NTPCM
A1,8,26.67307288,200,1000,0.217234785,G,NTPCM
A1,9,27.14727694,200,1000,0.220703066,G,NTPCM
A1,10,27.61864373,200,1000,0.223552539,G,NTPCM
A1,11,28.08518714,200,1000,0.227191289,G,NTPCM
A1,12,28.56440373,200,1000,0.230761758,G,NTPCM
A1,13,29.03652712,200,1000,0.233904297,G,NTPCM
A1,14,29.5071373,200,1000,0.237462832,G,NTPCM
A1,15,29.97973357,200,1000,0.241250859,G,NTPCM
A1,16,30.45620746,200,1000,0.245230801,G,NTPCM
A1,17,30.92974949,200,1000,0.250036152,G,NTPCM
A1,18,31.40007594,200,1000,0.254827949,G,NTPCM
A1,19,31.87333424,200,1000,0.259416758,G,NTPCM
A1,20,32.3491461,200,1000,0.265049219,G,NTPCM
A1,21,32.8196617,200,1000,0.271068984,G,NTPCM
A1,22,33.29509525,200,1000,0.277732559,G,NTPCM
A1,23,33.76163866,200,1000,0.285271621,G,NTPCM
A1,24,34.23934203,200,1000,0.293644258,G,NTPCM
A1,25,34.71033051,200,1000,0.301761758,G,NTPCM
A1,26,35.18368339,200,1000,0.312541719,G,NTPCM
A1,27,35.65514475,200,1000,0.323389336,G,NTPCM
A1,28,36.13114576,200,1000,0.334802188,G,NTPCM
A1,29,36.60336373,200,1000,0.349709141,G,NTPCM
A1,30,37.07586542,200,1000,0.364896523,G,NTPCM
A1,31,37.54836712,200,1000,0.382292852,G,NTPCM
A1,32,38.02153085,200,1000,0.402371875,G,NTPCM
A1,33,38.49507288,200,1000,0.423394648,G,NTPCM
A1,34,38.96596678,200,1000,0.446417734,G,NTPCM
A1,35,39.43979254,200,1000,0.472642305,G,NTPCM
A1,36,39.91210509,200,1000,0.503057734,G,NTPCM
A1,37,40.38697118,200,1000,0.536062539,G,NTPCM
A1,38,40.85966203,200,1000,0.572345312,G,NTPCM
A1,39,41.33027221,200,1000,0.612546055,G,NTPCM
A1,40,41.8023956,200,1000,0.65788,G,NTPCM
A1,41,42.27782915,200,1000,0.706600312,G,NTPCM
A1,42,42.74966882,200,1000,0.761359922,G,NTPCM
A1,43,43.22245424,200,1000,0.821434922,G,NTPCM
A1,44,43.69637458,200,1000,0.885190938,G,NTPCM
A1,45,44.16963288,200,1000,0.954390469,G,NTPCM
A1,46,44.64090509,200,1000,1.027457266,G,NTPCM
A1,47,45.1145417,200,1000,1.110871172,G,NTPCM
A1,48,45.58836746,200,1000,1.195733906,G,NTPCM
A1,49,46.06049085,200,1000,1.285719062,G,NTPCM
A1,50,46.53384373,200,1000,1.380793125,G,NTPCM
A1,51,47.00634542,200,1000,1.481377344,G,NTPCM
A1,52,47.47941458,200,1000,1.583373125,G,NTPCM
A1,53,47.95276746,200,1000,1.686586094,G,NTPCM
A1,54,48.42517458,200,1000,1.796518438,G,NTPCM
A1,55,48.89805458,200,1000,1.901820938,G,NTPCM
A1,56,49.36932678,200,1000,2.010609219,G,NTPCM
A1,57,49.84220678,200,1000,2.118867344,G,NTPCM
A1,58,50.31745118,200,1000,2.227042188,G,NTPCM
A1,59,50.78777763,200,1000,2.329643125,G,NTPCM
A1,60,51.26027933,200,1000,2.4270675,G,NTPCM
A1,61,51.73505085,200,1000,2.521696094,G,NTPCM
A1,62,52.20603933,200,1000,2.609625781,G,NTPCM
A1,63,52.68005424,200,1000,2.6937225,G,NTPCM
A1,64,53.1535017,200,1000,2.766186562,G,NTPCM
A1,65,53.62798949,200,1000,2.836684375,G,NTPCM
A1,66,54.10020746,200,1000,2.895526562,G,NTPCM
A1,67,54.57261458,200,1000,2.947164688,G,NTPCM
A1,68,55.04549458,200,1000,2.998029688,G,NTPCM
A1,69,55.51780712,200,1000,3.038734375,G,NTPCM
A1,70,55.99163288,200,1000,3.074431562,G,NTPCM
A1,71,56.46243221,200,1000,3.099544062,G,NTPCM
A1,72,56.93673085,200,1000,3.127285625,G,NTPCM
A1,73,57.40923254,200,1000,3.147555625,G,NTPCM
A1,74,57.88239627,200,1000,3.164434688,G,NTPCM
A1,75,58.35480339,200,1000,3.177296875,G,NTPCM
A1,76,58.82787254,200,1000,3.185439062,G,NTPCM
A1,77,59.30226576,200,1000,3.190785,G,NTPCM
A1,78,59.77325424,200,1000,3.193204688,G,NTPCM
A1,79,60.24783661,200,1000,3.196780625,G,NTPCM
A1,80,60.71778475,200,1000,3.195112812,G,NTPCM
A1,81,61.19331288,200,1000,3.189111562,G,NTPCM
A1,82,61.66590915,200,1000,3.159123125,G,NTPCM
A1,83,62.13935661,200,1000,3.141739688,G,NTPCM
A1,84,62.61129085,200,1000,3.126933438,G,NTPCM
A1,85,63.08180645,200,1000,3.1168875,G,NTPCM
A1,86,63.55950982,200,1000,3.103289062,G,NTPCM
A1,87,64.02926882,200,1000,3.090865938,G,NTPCM
A1,88,64.50205424,200,1000,3.076102188,G,NTPCM
A1,89,64.9731373,200,1000,3.06797,G,NTPCM
A1,90,65.44762509,200,1000,3.054619688,G,NTPCM
A1,91,65.92050509,200,1000,3.045987188,G,NTPCM
A1,92,66.3941417,200,1000,3.033378125,G,NTPCM
A1,93,66.86673797,200,1000,3.022400312,G,NTPCM
A1,94,67.3422661,200,1000,3.010022188,G,NTPCM
A1,95,67.81363288,200,1000,3.000734375,G,NTPCM
A1,96,68.28490509,200,1000,2.989019688,G,NTPCM
A1,97,68.75873085,200,1000,2.973152812,G,NTPCM
A1,98,69.23284034,200,1000,2.963242812,G,NTPCM
A1,99,69.70468,200,1000,2.950777188,G,NTPCM
A1,100,70.17756,200,1000,2.939319062,G,NTPCM
A1,101,70.64939966,200,1000,2.92418625,G,NTPCM
A1,102,71.12313085,200,1000,2.909749688,G,NTPCM
A1,103,71.59591627,200,1000,2.898892188,G,NTPCM
A1,104,72.07021491,200,1000,2.8823375,G,NTPCM
A1,105,72.54063594,200,1000,2.869483125,G,NTPCM
A1,106,73.01597491,200,1000,2.861019062,G,NTPCM
A1,107,73.48686882,200,1000,2.844620625,G,NTPCM
A1,108,73.95889763,200,1000,2.830955625,G,NTPCM
A1,109,74.43234509,200,1000,2.81496,G,NTPCM
A1,110,74.90626542,200,1000,2.802612812,G,NTPCM
A1,111,75.37924,200,1000,2.790050938,G,NTPCM
A1,112,75.85145797,200,1000,2.772372812,G,NTPCM
A1,113,76.32310848,200,1000,2.756096562,G,NTPCM
A1,114,76.8002444,200,1000,2.746423125,G,NTPCM
A1,115,77.27000339,200,1000,2.731175625,G,NTPCM
A1,116,77.74496406,200,1000,2.719362188,G,NTPCM
A1,117,78.21652,200,1000,2.703021562,G,NTPCM
A1,118,78.68883254,200,1000,2.688037812,G,NTPCM
A1,119,79.16379322,200,1000,2.671831875,G,NTPCM
A1,120,79.63421424,200,1000,2.66039875,G,NTPCM
A1,121,80.10898576,200,1000,2.644453125,G,NTPCM
A2,1,23.36385864,200,800,0.235993047,G,NTPCM
A2,2,23.83427966,200,800,0.239250195,G,NTPCM
A2,3,24.30536272,200,800,0.24207418,G,NTPCM
A2,4,24.7814583,200,800,0.245586699,G,NTPCM
A2,5,25.25452746,200,800,0.249137793,G,NTPCM
A2,6,25.72608339,200,800,0.252577793,G,NTPCM
A2,7,26.19612611,200,800,0.255923027,G,NTPCM
A2,8,26.67307288,200,800,0.258885098,G,NTPCM
A2,9,27.14727694,200,800,0.262288398,G,NTPCM
A2,10,27.61864373,200,800,0.266363496,G,NTPCM
A2,11,28.08518714,200,800,0.270236914,G,NTPCM
A2,12,28.56440373,200,800,0.27396627,G,NTPCM
A2,13,29.03652712,200,800,0.278583809,G,NTPCM
A2,14,29.5071373,200,800,0.282663125,G,NTPCM
A2,15,29.97973357,200,800,0.287193477,G,NTPCM
A2,16,30.45620746,200,800,0.292098438,G,NTPCM
A2,17,30.92974949,200,800,0.297033008,G,NTPCM
A2,18,31.40007594,200,800,0.30284627,G,NTPCM
A2,19,31.87333424,200,800,0.308989707,G,NTPCM
A2,20,32.3491461,200,800,0.3156,G,NTPCM
A2,21,32.8196617,200,800,0.323055176,G,NTPCM
A2,22,33.29509525,200,800,0.330873672,G,NTPCM
A2,23,33.76163866,200,800,0.339859766,G,NTPCM
A2,24,34.23934203,200,800,0.350106289,G,NTPCM
A2,25,34.71033051,200,800,0.361050508,G,NTPCM
A2,26,35.18368339,200,800,0.374144805,G,NTPCM
A2,27,35.65514475,200,800,0.387491953,G,NTPCM
A2,28,36.13114576,200,800,0.40301082,G,NTPCM
A2,29,36.60336373,200,800,0.420400078,G,NTPCM
A2,30,37.07586542,200,800,0.439595664,G,NTPCM
A2,31,37.54836712,200,800,0.460688164,G,NTPCM
A2,32,38.02153085,200,800,0.48498543,G,NTPCM
A2,33,38.49507288,200,800,0.511784102,G,NTPCM
A2,34,38.96596678,200,800,0.540799766,G,NTPCM
A2,35,39.43979254,200,800,0.572883242,G,NTPCM
A2,36,39.91210509,200,800,0.609994375,G,NTPCM
A2,37,40.38697118,200,800,0.650173516,G,NTPCM
A2,38,40.85966203,200,800,0.694752188,G,NTPCM
A2,39,41.33027221,200,800,0.743087578,G,NTPCM
A2,40,41.8023956,200,800,0.796553203,G,NTPCM
A2,41,42.27782915,200,800,0.855785312,G,NTPCM
A2,42,42.74966882,200,800,0.918547109,G,NTPCM
A2,43,43.22245424,200,800,0.987840547,G,NTPCM
A2,44,43.69637458,200,800,1.059781719,G,NTPCM
A2,45,44.16963288,200,800,1.137526875,G,NTPCM
A2,46,44.64090509,200,800,1.219796172,G,NTPCM
A2,47,45.1145417,200,800,1.310268906,G,NTPCM
A2,48,45.58836746,200,800,1.403789531,G,NTPCM
A2,49,46.06049085,200,800,1.496917031,G,NTPCM
A2,50,46.53384373,200,800,1.599874219,G,NTPCM
A2,51,47.00634542,200,800,1.702415156,G,NTPCM
A2,52,47.47941458,200,800,1.808603125,G,NTPCM
A2,53,47.95276746,200,800,1.914869219,G,NTPCM
A2,54,48.42517458,200,800,2.024778281,G,NTPCM
A2,55,48.89805458,200,800,2.130212969,G,NTPCM
A2,56,49.36932678,200,800,2.235845938,G,NTPCM
A2,57,49.84220678,200,800,2.340294844,G,NTPCM
A2,58,50.31745118,200,800,2.445372656,G,NTPCM
