Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.36054848,200,1000,0.299898535,H,NTPCM
A1,2,23.83267187,200,1000,0.304650566,H,NTPCM
A1,3,24.30611933,200,1000,0.310074648,H,NTPCM
A1,4,24.78003966,200,1000,0.314922012,H,NTPCM
A1,5,25.25263594,200,1000,0.319543125,H,NTPCM
A1,6,25.72873152,200,1000,0.32512627,H,NTPCM
A1,7,26.19924712,200,1000,0.330914648,H,NTPCM
A1,8,26.67591016,200,1000,0.337746914,H,NTPCM
A1,9,27.14491254,200,1000,0.344864102,H,NTPCM
A1,10,27.61750882,200,1000,0.353747344,H,NTPCM
A1,11,28.08660578,200,1000,0.363351953,H,NTPCM
A1,12,28.56629525,200,1000,0.373912109,H,NTPCM
A1,13,29.03567594,200,1000,0.385643984,H,NTPCM
A1,14,29.5055295,200,1000,0.398955391,H,NTPCM
A1,15,29.97576138,200,1000,0.413637656,H,NTPCM
A1,16,30.45715322,200,1000,0.430278398,H,NTPCM
A1,17,30.92662848,200,1000,0.448967773,H,NTPCM
A1,18,31.40319694,200,1000,0.469973945,H,NTPCM
A1,19,31.87692813,200,1000,0.493123008,H,NTPCM
A1,20,32.33713494,200,1000,0.517668008,H,NTPCM
A1,21,32.82268813,200,1000,0.54725418,H,NTPCM
A1,22,33.28554307,200,1000,0.577782344,H,NTPCM
A1,23,33.76759694,200,1000,0.614546875,H,NTPCM
A1,24,34.23773424,200,1000,0.652731406,H,NTPCM
A1,25,34.70995221,200,1000,0.695469375,H,NTPCM
A1,26,35.18548034,200,1000,0.743477891,H,NTPCM
A1,27,35.6569417,200,1000,0.794393672,H,NTPCM
A1,28,36.13048373,200,1000,0.85217625,H,NTPCM
A1,29,36.60412034,200,1000,0.916745234,H,NTPCM
A1,30,37.07548712,200,1000,0.982940781,H,NTPCM
A1,31,37.54770509,200,1000,1.057738672,H,NTPCM
A1,32,38.02124712,200,1000,1.137333906,H,NTPCM
A1,33,38.49573491,200,1000,1.223187109,H,NTPCM
A1,34,38.96719627,200,1000,1.311482656,H,NTPCM
A1,35,39.43856306,200,1000,1.4073675,H,NTPCM
A1,36,39.91352373,200,1000,1.508811875,H,NTPCM
A1,37,40.38394475,200,1000,1.612421562,H,NTPCM
A1,38,40.85985118,200,1000,1.718752344,H,NTPCM
A1,39,41.33235288,200,1000,1.82926,H,NTPCM
A1,40,41.80390882,200,1000,1.940509531,H,NTPCM
A1,41,42.27631594,200,1000,2.054582188,H,NTPCM
A1,42,42.7501417,200,1000,2.165504531,H,NTPCM
A1,43,43.22235966,200,1000,2.271917969,H,NTPCM
A1,44,43.69656373,200,1000,2.375305781,H,NTPCM
A1,45,44.16774136,200,1000,2.477223594,H,NTPCM
A1,46,44.64270203,200,1000,2.572679531,H,NTPCM
A1,47,45.11520373,200,1000,2.667003438,H,NTPCM
A1,48,45.58761085,200,1000,2.753259062,H,NTPCM
A1,49,46.05935594,200,1000,2.830450938,H,NTPCM
A1,50,46.53195221,200,1000,2.906547812,H,NTPCM
A1,51,47.00644,200,1000,2.968091875,H,NTPCM
A1,52,47.47761763,200,1000,3.026293438,H,NTPCM
A1,53,47.95342949,200,1000,3.078885625,H,NTPCM
A1,54,48.42668779,200,1000,3.121759375,H,NTPCM
A1,55,48.89852746,200,1000,3.160544375,H,NTPCM
A1,56,49.37008339,200,1000,3.192764688,H,NTPCM
