Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.36244,200,1000,0.187837832,G,WMCM
A1,2,23.841183712,200,1000,0.190203066,G,WMCM
A1,3,24.309429488,200,1000,0.192189023,G,WMCM
A1,4,24.78013424,200,1000,0.194384922,G,WMCM
A1,5,25.246677648,200,1000,0.196667812,G,WMCM
A1,6,25.729771856,200,1000,0.19938377,G,WMCM
A1,7,26.196598992,200,1000,0.201979082,G,WMCM
A1,8,26.6749644,200,1000,0.204688594,G,WMCM
A1,9,27.145669152,200,1000,0.20666584,G,WMCM
A1,10,27.619684064,200,1000,0.209176465,G,WMCM
A1,11,28.091618304,200,1000,0.211938438,G,WMCM
A1,12,28.56128272,200,1000,0.215055742,G,WMCM
A1,13,29.03747288,200,1000,0.218132051,G,WMCM
A1,14,29.507704752,200,1000,0.221576113,G,WMCM
A1,15,29.986448464,200,1000,0.225001328,G,WMCM
A1,16,30.456680336,200,1000,0.228600684,G,WMCM
A1,17,30.930695248,200,1000,0.232090684,G,WMCM
A1,18,31.399603056,200,1000,0.236381094,G,WMCM
A1,19,31.869929504,200,1000,0.240499629,G,WMCM
A1,20,32.345552208,200,1000,0.245199238,G,WMCM
A1,21,32.813703408,200,1000,0.250118906,G,WMCM
A1,22,33.291879664,200,1000,0.255860176,G,WMCM
A1,23,33.765421696,200,1000,0.261856035,G,WMCM
A1,24,34.239814912,200,1000,0.269055117,G,WMCM
A1,25,34.713640672,200,1000,0.276254434,G,WMCM
A1,26,35.184156272,200,1000,0.284740078,G,WMCM
A1,27,35.657414576,200,1000,0.294257305,G,WMCM
A1,28,36.128970512,200,1000,0.304471426,G,WMCM
A1,29,36.602323392,200,1000,0.31694793,G,WMCM
A1,30,37.07785152,200,1000,0.328978789,G,WMCM
A1,31,37.545718992,200,1000,0.34451418,G,WMCM
A1,32,38.02313864,200,1000,0.36116293,G,WMCM
A1,33,38.495451184,200,1000,0.379244297,G,WMCM
A1,34,38.967763728,200,1000,0.399381836,G,WMCM
A1,35,39.439035936,200,1000,0.42271457,G,WMCM
A1,36,39.913807456,200,1000,0.448161367,G,WMCM
A1,37,40.386687456,200,1000,0.477586797,G,WMCM
A1,38,40.859851184,200,1000,0.509111445,G,WMCM
A1,39,41.332636608,200,1000,0.545150039,G,WMCM
A1,40,41.807029824,200,1000,0.58501707,G,WMCM
A1,41,42.275937632,200,1000,0.629889844,G,WMCM
A1,42,42.751844064,200,1000,0.677998984,G,WMCM
A1,43,43.223683728,200,1000,0.732574141,G,WMCM
A1,44,43.695239664,200,1000,0.790365859,G,WMCM
A1,45,44.168876272,200,1000,0.855205859,G,WMCM
A1,46,44.641850848,200,1000,0.925914531,G,WMCM
A1,47,45.115487456,200,1000,1.005052969,G,WMCM
A1,48,45.587421696,200,1000,1.089600625,G,WMCM
A1,49,46.05973424,200,1000,1.182105703,G,WMCM
A1,50,46.533749152,200,1000,1.282453281,G,WMCM
A1,51,47.006250848,200,1000,1.38788125,G,WMCM
A1,52,47.47837424,200,1000,1.493210625,G,WMCM
A1,53,47.950403056,200,1000,1.611414688,G,WMCM
A1,54,48.425647456,200,1000,1.7387225,G,WMCM
A1,55,48.899094912,200,1000,1.860842344,G,WMCM
A1,56,49.370650848,200,1000,1.992699688,G,WMCM
A1,57,49.844476608,200,1000,2.128508281,G,WMCM
A1,58,50.316221696,200,1000,2.269121719,G,WMCM
A1,59,50.788345088,200,1000,2.406326406,G,WMCM
A1,60,51.259901024,200,1000,2.541006719,G,WMCM
A1,61,51.734672544,200,1000,2.673702812,G,WMCM
A1,62,52.205661024,200,1000,2.798910938,G,WMCM
A1,63,52.681756608,200,1000,2.92745625,G,WMCM
A1,64,53.15482576,200,1000,3.041152188,G,WMCM
A1,65,53.626097968,200,1000,3.151025312,G,WMCM
A1,66,54.100396608,200,1000,3.253166875,G,WMCM
A1,67,54.571763392,200,1000,3.348310938,G,WMCM
A1,68,55.044737968,200,1000,3.42961375,G,WMCM
A1,69,55.51780712,200,1000,3.503385312,G,WMCM
A1,70,55.990403392,200,1000,3.566884688,G,WMCM
A1,71,56.461581024,200,1000,3.6301625,G,WMCM
A1,72,56.935785088,200,1000,3.6742175,G,WMCM
A1,73,57.409989152,200,1000,3.714661562,G,WMCM
A1,74,57.88315288,200,1000,3.750994688,G,WMCM
A1,75,58.35508712,200,1000,3.781531875,G,WMCM
A1,76,58.827588816,200,1000,3.800515,G,WMCM
A1,77,59.301698304,200,1000,3.817246562,G,WMCM
A1,78,59.775240336,200,1000,3.826918438,G,WMCM
A1,79,60.247363728,200,1000,3.835575938,G,WMCM
A1,80,60.721189488,200,1000,3.847779688,G,WMCM
A1,81,61.193029152,200,1000,3.84845125,G,WMCM
A1,82,61.666854912,200,1000,3.84549125,G,WMCM
A1,83,62.138032544,200,1000,3.815505312,G,WMCM
A1,84,62.611669152,200,1000,3.791180312,G,WMCM
A1,85,63.084927456,200,1000,3.775431875,G,WMCM
A1,86,63.558280336,200,1000,3.76685625,G,WMCM
A1,87,64.030309152,200,1000,3.745126875,G,WMCM
A1,88,64.501865088,200,1000,3.733684375,G,WMCM
A1,89,64.977109488,200,1000,3.728602812,G,WMCM
A1,90,65.448097968,200,1000,3.71162375,G,WMCM
A1,91,65.921545424,200,1000,3.70822375,G,WMCM
A1,92,66.393668816,200,1000,3.6906225,G,WMCM
A1,93,66.8674,200,1000,3.675080625,G,WMCM
A1,94,67.34122576,200,1000,3.664931562,G,WMCM
A1,95,67.81316,200,1000,3.6524075,G,WMCM
A1,96,68.285283392,200,1000,3.6380625,G,WMCM
A1,97,68.757879664,200,1000,3.623263438,G,WMCM
A1,98,69.232556608,200,1000,3.605157812,G,WMCM
A1,99,69.703072208,200,1000,3.592849062,G,WMCM
A1,100,70.174817296,200,1000,3.575586562,G,WMCM
A1,101,70.651102032,200,1000,3.561638125,G,WMCM
A1,102,71.123603728,200,1000,3.54607375,G,WMCM
