Well,Reading,Temperature,A,B,Emission,Helix,Condition
D1,1,23.36244,200,1000,0.243139355,F,WMCM
D1,2,23.841183712,200,1000,0.244273887,F,WMCM
D1,3,24.309429488,200,1000,0.247509297,F,WMCM
D1,4,24.78013424,200,1000,0.248875273,F,WMCM
D1,5,25.246677648,200,1000,0.251679316,F,WMCM
D1,6,25.729771856,200,1000,0.254197617,F,WMCM
D1,7,26.196598992,200,1000,0.25590625,F,WMCM
D1,8,26.6749644,200,1000,0.259552715,F,WMCM
D1,9,27.145669152,200,1000,0.260542109,F,WMCM
D1,10,27.619684064,200,1000,0.26367834,F,WMCM
D1,11,28.091618304,200,1000,0.266838555,F,WMCM
D1,12,28.56128272,200,1000,0.269794863,F,WMCM
D1,13,29.03747288,200,1000,0.273136484,F,WMCM
D1,14,29.507704752,200,1000,0.276162441,F,WMCM
D1,15,29.986448464,200,1000,0.278092266,F,WMCM
D1,16,30.456680336,200,1000,0.280649199,F,WMCM
D1,17,30.930695248,200,1000,0.284143867,F,WMCM
D1,18,31.399603056,200,1000,0.286137227,F,WMCM
D1,19,31.869929504,200,1000,0.288906719,F,WMCM
D1,20,32.345552208,200,1000,0.29070709,F,WMCM
D1,21,32.813703408,200,1000,0.292833867,F,WMCM
D1,22,33.291879664,200,1000,0.295340254,F,WMCM
D1,23,33.765421696,200,1000,0.297375605,F,WMCM
D1,24,34.239814912,200,1000,0.300003496,F,WMCM
D1,25,34.713640672,200,1000,0.301283008,F,WMCM
D1,26,35.184156272,200,1000,0.30381127,F,WMCM
D1,27,35.657414576,200,1000,0.305400352,F,WMCM
D1,28,36.128970512,200,1000,0.308257598,F,WMCM
D1,29,36.602323392,200,1000,0.309929434,F,WMCM
D1,30,37.07785152,200,1000,0.31238957,F,WMCM
D1,31,37.545718992,200,1000,0.314729355,F,WMCM
D1,32,38.02313864,200,1000,0.316971133,F,WMCM
D1,33,38.495451184,200,1000,0.319651426,F,WMCM
D1,34,38.967763728,200,1000,0.322641035,F,WMCM
D1,35,39.439035936,200,1000,0.325020645,F,WMCM
D1,36,39.913807456,200,1000,0.328055078,F,WMCM
D1,37,40.386687456,200,1000,0.3307925,F,WMCM
D1,38,40.859851184,200,1000,0.334795312,F,WMCM
D1,39,41.332636608,200,1000,0.337784922,F,WMCM
D1,40,41.807029824,200,1000,0.342466016,F,WMCM
D1,41,42.275937632,200,1000,0.346183438,F,WMCM
D1,42,42.751844064,200,1000,0.35003875,F,WMCM
D1,43,43.223683728,200,1000,0.353837539,F,WMCM
D1,44,43.695239664,200,1000,0.358375938,F,WMCM
D1,45,44.168876272,200,1000,0.362874688,F,WMCM
D1,46,44.641850848,200,1000,0.368533984,F,WMCM
D1,47,45.115487456,200,1000,0.374649258,F,WMCM
D1,48,45.587421696,200,1000,0.378741055,F,WMCM
D1,49,46.05973424,200,1000,0.385719922,F,WMCM
D1,50,46.533749152,200,1000,0.391478594,F,WMCM
D1,51,47.006250848,200,1000,0.396960273,F,WMCM
D1,52,47.47837424,200,1000,0.403360508,F,WMCM
D1,53,47.950403056,200,1000,0.411493242,F,WMCM
D1,54,48.425647456,200,1000,0.421325039,F,WMCM
D1,55,48.899094912,200,1000,0.429089258,F,WMCM
D1,56,49.370650848,200,1000,0.441479492,F,WMCM
D1,57,49.844476608,200,1000,0.452743672,F,WMCM
D1,58,50.316221696,200,1000,0.465592188,F,WMCM
D1,59,50.788345088,200,1000,0.481339922,F,WMCM
D1,60,51.259901024,200,1000,0.498341719,F,WMCM
D1,61,51.734672544,200,1000,0.514098828,F,WMCM
D1,62,52.205661024,200,1000,0.532465039,F,WMCM
D1,63,52.681756608,200,1000,0.551995938,F,WMCM
D1,64,53.15482576,200,1000,0.573844688,F,WMCM
D1,65,53.626097968,200,1000,0.597945273,F,WMCM
D1,66,54.100396608,200,1000,0.620488047,F,WMCM
D1,67,54.571763392,200,1000,0.650670859,F,WMCM
D1,68,55.044737968,200,1000,0.679643281,F,WMCM
D1,69,55.51780712,200,1000,0.703550703,F,WMCM
D1,70,55.990403392,200,1000,0.735760156,F,WMCM
D1,71,56.461581024,200,1000,0.769685625,F,WMCM
D1,72,56.935785088,200,1000,0.800819219,F,WMCM
D1,73,57.409989152,200,1000,0.8384875,F,WMCM
