Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.362061696,200,1000,0.278602441,H,WMCM
A1,2,23.837589824,200,1000,0.288168555,H,WMCM
A1,3,24.309240336,200,1000,0.297847656,H,WMCM
A1,4,24.782404064,200,1000,0.308514531,H,WMCM
A1,5,25.25301424,200,1000,0.321177559,H,WMCM
A1,6,25.72636712,200,1000,0.334050703,H,WMCM
A1,7,26.200760336,200,1000,0.349679844,H,WMCM
A1,8,26.673640336,200,1000,0.367047266,H,WMCM
A1,9,27.143966784,200,1000,0.38637375,H,WMCM
A1,10,27.618549152,200,1000,0.409140195,H,WMCM
A1,11,28.092280336,200,1000,0.433548984,H,WMCM
A1,12,28.562133904,200,1000,0.462283594,H,WMCM
A1,13,29.039742704,200,1000,0.493712227,H,WMCM
A1,14,29.508839664,200,1000,0.528272344,H,WMCM
A1,15,29.983138304,200,1000,0.566122383,H,WMCM
A1,16,30.458098976,200,1000,0.607450195,H,WMCM
A1,17,30.92804712,200,1000,0.652392422,H,WMCM
A1,18,31.40518304,200,1000,0.70203625,H,WMCM
A1,19,31.86907832,200,1000,0.755345469,H,WMCM
A1,20,32.350186432,200,1000,0.813951094,H,WMCM
A1,21,32.819945424,200,1000,0.876355078,H,WMCM
A1,22,33.291595936,200,1000,0.94391875,H,WMCM
A1,23,33.766462032,200,1000,1.014370781,H,WMCM
A1,24,34.236221024,200,1000,1.089374219,H,WMCM
A1,25,34.71345152,200,1000,1.168488594,H,WMCM
A1,26,35.186236944,200,1000,1.254481875,H,WMCM
A1,27,35.658927792,200,1000,1.341605469,H,WMCM
A1,28,36.13114576,200,1000,1.433601406,H,WMCM
A1,29,36.601850512,200,1000,1.534415469,H,WMCM
A1,30,37.07737864,200,1000,1.631910312,H,WMCM
A1,31,37.547705088,200,1000,1.736630625,H,WMCM
A1,32,38.022287456,200,1000,1.844525156,H,WMCM
A1,33,38.49554576,200,1000,1.954416094,H,WMCM
