Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.36272373,200,1000,0.190684609,H,Ecoli80
A1,2,23.8349417,200,1000,0.193904395,H,Ecoli80
A1,3,24.3125505,200,1000,0.197133613,H,Ecoli80
A1,4,24.78032339,200,1000,0.201035,H,Ecoli80
A1,5,25.25935083,200,1000,0.204572891,H,Ecoli80
A1,6,25.7288261,200,1000,0.208856367,H,Ecoli80
A1,7,26.1969773,200,1000,0.213539238,H,Ecoli80
A1,8,26.67468067,200,1000,0.218893203,H,Ecoli80
A1,9,27.14538542,200,1000,0.22448457,H,Ecoli80
A1,10,27.61911661,200,1000,0.230738477,H,Ecoli80
A1,11,28.09057797,200,1000,0.237693047,H,Ecoli80
A1,12,28.56497118,200,1000,0.245587617,H,Ecoli80
A1,13,29.03643254,200,1000,0.25446082,H,Ecoli80
A1,14,29.50902882,200,1000,0.264221719,H,Ecoli80
A1,15,29.98484067,200,1000,0.275201777,H,Ecoli80
A1,16,30.45176238,200,1000,0.287985176,H,Ecoli80
A1,17,30.92899288,200,1000,0.302591426,H,Ecoli80
A1,18,31.39884645,200,1000,0.318248711,H,Ecoli80
A1,19,31.8691729,200,1000,0.336590977,H,Ecoli80
A1,20,32.34574136,200,1000,0.357351836,H,Ecoli80
A1,21,32.82013458,200,1000,0.379824141,H,Ecoli80
A1,22,33.29121763,200,1000,0.405744258,H,Ecoli80
A1,23,33.76825898,200,1000,0.434700586,H,Ecoli80
A1,24,34.24955624,200,1000,0.467731367,H,Ecoli80
A1,25,34.71033051,200,1000,0.504578008,H,Ecoli80
A1,26,35.18585864,200,1000,0.547437461,H,Ecoli80
A1,27,35.65817118,200,1000,0.592886641,H,Ecoli80
A1,28,36.13142949,200,1000,0.645701484,H,Ecoli80
A1,29,36.60412034,200,1000,0.706282812,H,Ecoli80
A1,30,37.07586542,200,1000,0.769052578,H,Ecoli80
A1,31,37.54732678,200,1000,0.840215938,H,Ecoli80
A1,32,38.02077424,200,1000,0.919030312,H,Ecoli80
A1,33,38.49545118,200,1000,1.003577031,H,Ecoli80
A1,34,38.96833118,200,1000,1.093159062,H,Ecoli80
A1,35,39.44054915,200,1000,1.191658594,H,Ecoli80
A1,36,39.91172678,200,1000,1.298132031,H,Ecoli80
A1,37,40.38687661,200,1000,1.409338438,H,Ecoli80
A1,38,40.85814882,200,1000,1.522067812,H,Ecoli80
A1,39,41.33102882,200,1000,1.644945938,H,Ecoli80
A1,40,41.80305763,200,1000,1.768570781,H,Ecoli80
A1,41,42.27849118,200,1000,1.891145781,H,Ecoli80
A1,42,42.7501417,200,1000,2.021191094,H,Ecoli80
A1,43,43.22245424,200,1000,2.145307812,H,Ecoli80
A1,44,43.69694203,200,1000,2.264562031,H,Ecoli80
A1,45,44.16840339,200,1000,2.384721094,H,Ecoli80
A1,46,44.64043221,200,1000,2.496988906,H,Ecoli80
A1,47,45.11425797,200,1000,2.608974062,H,Ecoli80
A1,48,45.58808373,200,1000,2.711664375,H,Ecoli80
A1,49,46.05859933,200,1000,2.808186875,H,Ecoli80
A1,50,46.53564067,200,1000,2.895753125,H,Ecoli80
A1,51,47.00521051,200,1000,2.978859062,H,Ecoli80
A1,52,47.48092779,200,1000,3.050798438,H,Ecoli80
A1,53,47.95248373,200,1000,3.110169375,H,Ecoli80
A1,54,48.42498542,200,1000,3.170677812,H,Ecoli80
A1,55,48.89654136,200,1000,3.2188675,H,Ecoli80
A1,56,49.37027254,200,1000,3.259817812,H,Ecoli80
A1,57,49.84220678,200,1000,3.295265625,H,Ecoli80
A1,58,50.31433018,200,1000,3.329035938,H,Ecoli80
A1,59,50.78834509,200,1000,3.3553225,H,Ecoli80
A1,60,51.26094136,200,1000,3.371978125,H,Ecoli80
A1,61,51.73457797,200,1000,3.390209688,H,Ecoli80
A1,62,52.20689051,200,1000,3.405201562,H,Ecoli80
A1,63,52.68185118,200,1000,3.419365312,H,Ecoli80
A1,64,53.15331254,200,1000,3.423285938,H,Ecoli80
A1,65,53.62893525,200,1000,3.430548438,H,Ecoli80
A1,66,54.0976539,200,1000,3.432380312,H,Ecoli80
A1,67,54.57299288,200,1000,3.433371562,H,Ecoli80
A1,68,55.0450217,200,1000,3.437510938,H,Ecoli80
A1,69,55.51903661,200,1000,3.441007188,H,Ecoli80
A1,70,55.98993051,200,1000,3.437129375,H,Ecoli80
A1,71,56.46432373,200,1000,3.439934062,H,Ecoli80
A1,72,56.9349339,200,1000,3.435330625,H,Ecoli80
A1,73,57.40809763,200,1000,3.428404062,H,Ecoli80
A1,74,57.88343661,200,1000,3.422409688,H,Ecoli80
A1,75,58.35385763,200,1000,3.417505312,H,Ecoli80
A1,76,58.82787254,200,1000,3.41528125,H,Ecoli80
A1,77,59.3016983,200,1000,3.403505,H,Ecoli80
A1,78,59.77429458,200,1000,3.399405938,H,Ecoli80
A1,79,60.24622882,200,1000,3.397495625,H,Ecoli80
A1,80,60.71825763,200,1000,3.386702812,H,Ecoli80
A1,81,61.19227254,200,1000,3.381345,H,Ecoli80
A1,82,61.66467966,200,1000,3.365594375,H,Ecoli80
A1,83,62.13888373,200,1000,3.350025,H,Ecoli80
A1,84,62.61166915,200,1000,3.325539062,H,Ecoli80
A1,85,63.08379254,200,1000,3.308105625,H,Ecoli80
A1,86,63.55515933,200,1000,3.286905312,H,Ecoli80
A1,87,64.02964712,200,1000,3.273484688,H,Ecoli80
A1,88,64.50252712,200,1000,3.262588438,H,Ecoli80
A1,89,64.97635288,200,1000,3.249954688,H,Ecoli80
A1,90,65.44942203,200,1000,3.234545,H,Ecoli80
A1,91,65.92268034,200,1000,3.22272125,H,Ecoli80
A1,92,66.39584406,200,1000,3.216010312,H,Ecoli80
A1,93,66.86673797,200,1000,3.204539062,H,Ecoli80
A1,94,67.34056373,200,1000,3.18915375,H,Ecoli80
A1,95,67.81249797,200,1000,3.177724062,H,Ecoli80
A1,96,68.28651288,200,1000,3.164719375,H,Ecoli80
A1,97,68.75759594,200,1000,3.157862188,H,Ecoli80
A1,98,69.23236746,200,1000,3.141944688,H,Ecoli80
A1,99,69.70468,200,1000,3.129704688,H,Ecoli80
A1,100,70.17623594,200,1000,3.116194062,H,Ecoli80
A1,101,70.64883221,200,1000,3.107074062,H,Ecoli80
A1,102,71.12199594,200,1000,3.093395625,H,Ecoli80
A1,103,71.59449763,200,1000,3.081477188,H,Ecoli80
A1,104,72.06690475,200,1000,3.068136875,H,Ecoli80
A1,105,72.54139254,200,1000,3.055606562,H,Ecoli80
A1,106,73.01559661,200,1000,3.046715,H,Ecoli80
A1,107,73.48781458,200,1000,3.032778438,H,Ecoli80
A1,108,73.96041085,200,1000,3.018334062,H,Ecoli80
A1,109,74.43291254,200,1000,3.004612812,H,Ecoli80
A1,110,74.90749491,200,1000,2.992585938,H,Ecoli80
A1,111,75.38046949,200,1000,2.978365625,H,Ecoli80
A1,112,75.8517417,200,1000,2.966736562,H,Ecoli80
A1,113,76.32490542,200,1000,2.955450625,H,Ecoli80
A1,114,76.79778542,200,1000,2.937389375,H,Ecoli80
A1,115,77.27057085,200,1000,2.925899375,H,Ecoli80
A1,116,77.74468034,200,1000,2.910596562,H,Ecoli80
A1,117,78.21576339,200,1000,2.90031875,H,Ecoli80
A1,118,78.6890217,200,1000,2.885911875,H,Ecoli80
A1,119,79.16313118,200,1000,2.875578438,H,Ecoli80
A1,120,79.63289018,200,1000,2.8609025,H,Ecoli80
A1,121,80.10860746,200,1000,2.8475025,H,Ecoli80
A2,1,23.36272373,200,800,0.245722832,H,Ecoli80
A2,2,23.8349417,200,800,0.252502598,H,Ecoli80
A2,3,24.3125505,200,800,0.258809922,H,Ecoli80
A2,4,24.78032339,200,800,0.265540273,H,Ecoli80
A2,5,25.25935083,200,800,0.272895312,H,Ecoli80
A2,6,25.7288261,200,800,0.280943301,H,Ecoli80
A2,7,26.1969773,200,800,0.290296445,H,Ecoli80
A2,8,26.67468067,200,800,0.300268477,H,Ecoli80
A2,9,27.14538542,200,800,0.31160625,H,Ecoli80
A2,10,27.61911661,200,800,0.323742129,H,Ecoli80
A2,11,28.09057797,200,800,0.337015,H,Ecoli80
A2,12,28.56497118,200,800,0.352634648,H,Ecoli80
A2,13,29.03643254,200,800,0.368783789,H,Ecoli80
A2,14,29.50902882,200,800,0.388311445,H,Ecoli80
A2,15,29.98484067,200,800,0.410201094,H,Ecoli80
A2,16,30.45176238,200,800,0.433614453,H,Ecoli80
A2,17,30.92899288,200,800,0.461168359,H,Ecoli80
A2,18,31.39884645,200,800,0.491411367,H,Ecoli80
A2,19,31.8691729,200,800,0.524783672,H,Ecoli80
