Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.35629256,200,1000,0.183577539,G,Ecoli80
A1,2,23.83153696,200,1000,0.18622125,G,Ecoli80
A1,3,24.304700688,200,1000,0.188553379,G,Ecoli80
A1,4,24.77918848,200,1000,0.190911113,G,Ecoli80
A1,5,25.251784752,200,1000,0.193045684,G,Ecoli80
A1,6,25.725326784,200,1000,0.195270586,G,Ecoli80
A1,7,26.199814576,200,1000,0.19775377,G,Ecoli80
A1,8,26.671843392,200,1000,0.199961973,G,Ecoli80
A1,9,27.144155936,200,1000,0.202855332,G,Ecoli80
A1,10,27.6159956,200,1000,0.205282168,G,Ecoli80
A1,11,28.090483392,200,1000,0.208357188,G,Ecoli80
A1,12,28.565727792,200,1000,0.211265762,G,Ecoli80
A1,13,29.038134912,200,1000,0.214694336,G,Ecoli80
A1,14,29.506853568,200,1000,0.21792209,G,Ecoli80
A1,15,29.982949152,200,1000,0.221528438,G,Ecoli80
A1,16,30.455261696,200,1000,0.225149922,G,Ecoli80
A1,17,30.932870496,200,1000,0.229228008,G,Ecoli80
A1,18,31.398468144,200,1000,0.233515059,G,Ecoli80
A1,19,31.876266096,200,1000,0.238423027,G,Ecoli80
A1,20,32.347065424,200,1000,0.243278125,G,Ecoli80
A1,21,32.821553216,200,1000,0.249047344,G,Ecoli80
A1,22,33.29244712,200,1000,0.255179883,G,Ecoli80
A1,23,33.7658,200,1000,0.262217441,G,Ecoli80
A1,24,34.244449136,200,1000,0.270090059,G,Ecoli80
A1,25,34.720166416,200,1000,0.278413125,G,Ecoli80
A1,26,35.184534576,200,1000,0.288199824,G,Ecoli80
A1,27,35.65779288,200,1000,0.29899418,G,Ecoli80
A1,28,36.13067288,200,1000,0.310935566,G,Ecoli80
A1,29,36.604309488,200,1000,0.325328633,G,Ecoli80
A1,30,37.076243728,200,1000,0.340322383,G,Ecoli80
A1,31,37.54884,200,1000,0.357753945,G,Ecoli80
A1,32,38.019639328,200,1000,0.377649844,G,Ecoli80
A1,33,38.49554576,200,1000,0.399387969,G,Ecoli80
A1,34,38.965872208,200,1000,0.424280781,G,Ecoli80
A1,35,39.440643728,200,1000,0.451839141,G,Ecoli80
A1,36,39.915793552,200,1000,0.48341293,G,Ecoli80
A1,37,40.383850176,200,1000,0.518468125,G,Ecoli80
A1,38,40.858810848,200,1000,0.557568086,G,Ecoli80
A1,39,41.333014912,200,1000,0.601203359,G,Ecoli80
A1,40,41.804097968,200,1000,0.649593945,G,Ecoli80
A1,41,42.276977968,200,1000,0.703529688,G,Ecoli80
A1,42,42.7481556,200,1000,0.763525469,G,Ecoli80
A1,43,43.223778304,200,1000,0.831270625,G,Ecoli80
A1,44,43.694672208,200,1000,0.899427656,G,Ecoli80
A1,45,44.16868712,200,1000,0.977332656,G,Ecoli80
A1,46,44.641377968,200,1000,1.060128281,G,Ecoli80
A1,47,45.113123056,200,1000,1.152795312,G,Ecoli80
A1,48,45.587705424,200,1000,1.247700312,G,Ecoli80
A1,49,46.058504752,200,1000,1.353375312,G,Ecoli80
A1,50,46.532992544,200,1000,1.460936875,G,Ecoli80
A1,51,47.005777968,200,1000,1.578104688,G,Ecoli80
A1,52,47.47837424,200,1000,1.696176406,G,Ecoli80
A1,53,47.952862032,200,1000,1.816036406,G,Ecoli80
A1,54,48.424228816,200,1000,1.942422812,G,Ecoli80
A1,55,48.89748712,200,1000,2.06358625,G,Ecoli80
A1,56,49.370177968,200,1000,2.188253594,G,Ecoli80
A1,57,49.843625424,200,1000,2.309576875,G,Ecoli80
A1,58,50.315275936,200,1000,2.432400938,G,Ecoli80
A1,59,50.789763728,200,1000,2.552423281,G,Ecoli80
A1,60,51.260846784,200,1000,2.662254688,G,Ecoli80
