"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.3671688,200,1000,0.32001002
"A1","2",23.83721152,200,1000,0.324502969
"A1","3",24.308767456,200,1000,0.329274727
"A1","4",24.778431872,200,1000,0.334662812
"A1","5",25.250838992,200,1000,0.340450664
"A1","6",25.72778576,200,1000,0.346847109
"A1","7",26.201706096,200,1000,0.353843164
"A1","8",26.669195264,200,1000,0.361308594
"A1","9",27.145385424,200,1000,0.369489453
"A1","10",27.614387808,200,1000,0.378861641
"A1","11",28.09076712,200,1000,0.388981172
"A1","12",28.566295248,200,1000,0.399818633
"A1","13",29.037567456,200,1000,0.412548711
"A1","14",29.50704272,200,1000,0.426733594
"A1","15",29.97992272,200,1000,0.442236953
"A1","16",30.45374848,200,1000,0.458755039
"A1","17",30.929844064,200,1000,0.479415859
"A1","18",31.396576624,200,1000,0.501163086
"A1","19",31.869172896,200,1000,0.526454492
"A1","20",32.343755264,200,1000,0.552646406
"A1","21",32.824012192,200,1000,0.585576836
"A1","22",33.291879664,200,1000,0.620606523
"A1","23",33.763246448,200,1000,0.659709297
"A1","24",34.239531184,200,1000,0.701471328
"A1","25",34.71203288,200,1000,0.748473984
"A1","26",35.18491288,200,1000,0.802827422
"A1","27",35.656563392,200,1000,0.859995547
"A1","28",36.131334912,200,1000,0.923701406
"A1","29",36.602796272,200,1000,0.994964531
"A1","30",37.075676272,200,1000,1.068885547
"A1","31",37.551393552,200,1000,1.150546562
"A1","32",38.023422368,200,1000,1.239579844
"A1","33",38.493843392,200,1000,1.329552969
"A1","34",38.96795288,200,1000,1.424451875
"A1","35",39.438373904,200,1000,1.528887656
"A1","36",39.91418576,200,1000,1.638850156
"A1","37",40.385836272,200,1000,1.750289062
"A1","38",40.85852712,200,1000,1.865443125
"A1","39",41.331974576,200,1000,1.987143125
"A1","40",41.804665424,200,1000,2.10791125
"A1","41",42.277356272,200,1000,2.227707656
"A1","42",42.748344752,200,1000,2.347608281
"A1","43",43.223683728,200,1000,2.469014688
"A1","44",43.697414912,200,1000,2.581044219
"A1","45",44.167835936,200,1000,2.691718438
"A1","46",44.641283392,200,1000,2.79491375
"A1","47",45.115298304,200,1000,2.8957225
"A1","48",45.588556608,200,1000,2.98729375
