"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.363291184,200,1000,0.252786816
"A1","2",23.840332528,200,1000,0.258875938
"A1","3",24.304133232,200,1000,0.265440488
"A1","4",24.77824272,200,1000,0.27217959
"A1","5",25.258594224,200,1000,0.279346855
"A1","6",25.723718992,200,1000,0.287605293
"A1","7",26.200287456,200,1000,0.295436484
"A1","8",26.671748816,200,1000,0.30399123
"A1","9",27.143304752,200,1000,0.313188379
"A1","10",27.618265424,200,1000,0.322134043
"A1","11",28.093226096,200,1000,0.331804766
"A1","12",28.56317424,200,1000,0.342056055
"A1","13",29.039175248,200,1000,0.353146484
"A1","14",29.509028816,200,1000,0.364239805
"A1","15",29.98607016,200,1000,0.376145977
"A1","16",30.45564,200,1000,0.388597344
"A1","17",30.922940016,200,1000,0.401635625
"A1","18",31.402251184,200,1000,0.416511562
"A1","19",31.874847456,200,1000,0.432437852
"A1","20",32.343187808,200,1000,0.449431094
"A1","21",32.821269488,200,1000,0.467798359
"A1","22",33.30426912,200,1000,0.486544258
"A1","23",33.766367456,200,1000,0.506724805
"A1","24",34.238112544,200,1000,0.528663555
"A1","25",34.711938304,200,1000,0.551677383
"A1","26",35.18538576,200,1000,0.578082305
"A1","27",35.655144752,200,1000,0.605108906
"A1","28",36.128119328,200,1000,0.635123789
"A1","29",36.603269152,200,1000,0.668565859
"A1","30",37.073690176,200,1000,0.702069531
"A1","31",37.5512044,200,1000,0.739697812
"A1","32",38.020017632,200,1000,0.780655625
"A1","33",38.494789152,200,1000,0.823156797
"A1","34",38.967574576,200,1000,0.8691825
"A1","35",39.43988712,200,1000,0.916731797
"A1","36",39.91371288,200,1000,0.970813828
"A1","37",40.38517424,200,1000,1.025014375
"A1","38",40.859283728,200,1000,1.082511094
"A1","39",41.33093424,200,1000,1.144465234
"A1","40",41.804854576,200,1000,1.208904922
"A1","41",42.277923728,200,1000,1.276606875
"A1","42",42.750614576,200,1000,1.345704062
"A1","43",43.223494576,200,1000,1.4186575
"A1","44",43.697793216,200,1000,1.4887175
"A1","45",44.168970848,200,1000,1.565437344
"A1","46",44.641377968,200,1000,1.640451719
"A1","47",45.114730848,200,1000,1.721108281
"A1","48",45.588462032,200,1000,1.794729844
"A1","49",46.05878848,200,1000,1.873961719
"A1","50",46.530817296,200,1000,1.953809531
"A1","51",47.004737632,200,1000,2.029053281
"A1","52",47.480454912,200,1000,2.102350156
"A1","53",47.952956608,200,1000,2.171744062
"A1","54",48.424228816,200,1000,2.243622969
"A1","55",48.89654136,200,1000,2.306467812
"A1","56",49.37036712,200,1000,2.366882812
"A1","57",49.845044064,200,1000,2.426745938
"A1","58",50.317356608,200,1000,2.484458906
"A1","59",50.789858304,200,1000,2.53568625
"A1","60",51.262454576,200,1000,2.582459375
"A1","61",51.735996608,200,1000,2.623955312
"A1","62",52.20622848,200,1000,2.663860938
"A1","63",52.679203056,200,1000,2.704110312
"A1","64",53.152083056,200,1000,2.73831625
"A1","65",53.626570848,200,1000,2.768929062
"A1","66",54.09964,200,1000,2.797748125
"A1","67",54.573560336,200,1000,2.822553438
"A1","68",55.044265088,200,1000,2.8488125
"A1","69",55.517145088,200,1000,2.866999062
"A1","70",55.990592544,200,1000,2.892905938
"A1","71",56.462905088,200,1000,2.911953125
"A1","72",56.938054912,200,1000,2.931015
"A1","73",57.409043392,200,1000,2.951090625
"A1","74",57.88268,200,1000,2.96381125
"A1","75",58.356127456,200,1000,2.980987812
"A1","76",58.828156272,200,1000,2.995306562
"A1","77",59.3036844,200,1000,3.00517125
"A1","78",59.774105424,200,1000,3.014940625
"A1","79",60.247363728,200,1000,3.023480938
"A1","80",60.719297968,200,1000,3.0352875
"A1","81",61.192934576,200,1000,3.036521562
"A1","82",61.665436272,200,1000,3.031776562
"A1","83",62.138316272,200,1000,3.02844
"A1","84",62.61100712,200,1000,3.029645312
"A1","85",63.083225088,200,1000,3.03826375
"A1","86",63.557902032,200,1000,3.039095312
"A1","87",64.029363392,200,1000,3.040353438
"A1","88",64.501865088,200,1000,3.043060625
"A1","89",64.974366784,200,1000,3.043763125
"A1","90",65.448476272,200,1000,3.047613125
"A1","91",65.921923728,200,1000,3.052788125
"A1","92",66.393668816,200,1000,3.05335625
"A1","93",66.866832544,200,1000,3.057665312
"A1","94",67.341414912,200,1000,3.064353438
"A1","95",67.814484064,200,1000,3.06370875
"A1","96",68.28556712,200,1000,3.065397188
"A1","97",68.759203728,200,1000,3.069387188
"A1","98",69.230665088,200,1000,3.069161562
"A1","99",69.704017968,200,1000,3.071449688
"A1","100",70.177654576,200,1000,3.071792812
"A1","101",70.650723728,200,1000,3.075098438
"A1","102",71.124171184,200,1000,3.076464688
"A1","103",71.59572712,200,1000,3.078625938
"A1","104",72.068039664,200,1000,3.075945
"A1","105",72.542149152,200,1000,3.076099062
"A1","106",73.013799664,200,1000,3.076471562
"A1","107",73.488760336,200,1000,3.077182812
"A1","108",73.960505424,200,1000,3.073241562
"A1","109",74.433101696,200,1000,3.072884688
"A1","110",74.905225088,200,1000,3.072039688
"A1","111",75.379996608,200,1000,3.066261875
"A1","112",75.852309152,200,1000,3.067604062
"A1","113",76.325567456,200,1000,3.06740875
"A1","114",76.797501696,200,1000,3.060023438
"A1","115",77.271516608,200,1000,3.061577188
"A1","116",77.743450848,200,1000,3.053286562
"A1","117",78.215385088,200,1000,3.049464062
"A1","118",78.6894,200,1000,3.0459475
"A1","119",79.16133424,200,1000,3.04081875
"A1","120",79.63468712,200,1000,3.036334688
"A1","121",80.106337632,200,1000,3.028595312
"A2","1",23.363291184,200,800,0.270979414
"A2","2",23.840332528,200,800,0.276750957
"A2","3",24.304133232,200,800,0.282596016
"A2","4",24.77824272,200,800,0.289201582
"A2","5",25.258594224,200,800,0.296141602
"A2","6",25.723718992,200,800,0.303345684
"A2","7",26.200287456,200,800,0.311000469
"A2","8",26.671748816,200,800,0.318469863
"A2","9",27.143304752,200,800,0.326970547
"A2","10",27.618265424,200,800,0.33565207
"A2","11",28.093226096,200,800,0.345321445
"A2","12",28.56317424,200,800,0.355544727
"A2","13",29.039175248,200,800,0.366565547
"A2","14",29.509028816,200,800,0.377535625
"A2","15",29.98607016,200,800,0.389418789
"A2","16",30.45564,200,800,0.402196953
"A2","17",30.922940016,200,800,0.415058594
"A2","18",31.402251184,200,800,0.428822773
"A2","19",31.874847456,200,800,0.443848633
"A2","20",32.343187808,200,800,0.459564258
"A2","21",32.821269488,200,800,0.476809258
"A2","22",33.30426912,200,800,0.494605859
"A2","23",33.766367456,200,800,0.513698281
"A2","24",34.238112544,200,800,0.534815859
"A2","25",34.711938304,200,800,0.556014922
"A2","26",35.18538576,200,800,0.580632695
"A2","27",35.655144752,200,800,0.605502383
"A2","28",36.128119328,200,800,0.634158906
"A2","29",36.603269152,200,800,0.6655575
"A2","30",37.073690176,200,800,0.697653281
"A2","31",37.5512044,200,800,0.733921172
"A2","32",38.020017632,200,800,0.773716094
"A2","33",38.494789152,200,800,0.815408203
"A2","34",38.967574576,200,800,0.860306484
"A2","35",39.43988712,200,800,0.908808359
"A2","36",39.91371288,200,800,0.960686953
"A2","37",40.38517424,200,800,1.018392422
"A2","38",40.859283728,200,800,1.078431094
"A2","39",41.33093424,200,800,1.141927578
"A2","40",41.804854576,200,800,1.209576328
"A2","41",42.277923728,200,800,1.280368906
"A2","42",42.750614576,200,800,1.356117969
"A2","43",43.223494576,200,800,1.433690312
"A2","44",43.697793216,200,800,1.511149062
"A2","45",44.168970848,200,800,1.594507031
"A2","46",44.641377968,200,800,1.675353906
"A2","47",45.114730848,200,800,1.764053906
"A2","48",45.588462032,200,800,1.85408625
"A2","49",46.05878848,200,800,1.939038281
"A2","50",46.530817296,200,800,2.028021875
"A2","51",47.004737632,200,800,2.114665469
"A2","52",47.480454912,200,800,2.199568906
"A2","53",47.952956608,200,800,2.276941719
"A2","54",48.424228816,200,800,2.361471719
"A2","55",48.89654136,200,800,2.438594219
"A2","56",49.37036712,200,800,2.507065625
"A2","57",49.845044064,200,800,2.572389688
"A2","58",50.317356608,200,800,2.641120625
"A2","59",50.789858304,200,800,2.697325938
"A2","60",51.262454576,200,800,2.752804062
"A2","61",51.735996608,200,800,2.807764688
"A2","62",52.20622848,200,800,2.85541625
"A2","63",52.679203056,200,800,2.897405625
"A2","64",53.152083056,200,800,2.934825625
"A2","65",53.626570848,200,800,2.971243438
"A2","66",54.09964,200,800,3.003497812
"A2","67",54.573560336,200,800,3.03313125
"A2","68",55.044265088,200,800,3.058979062
"A2","69",55.517145088,200,800,3.082124375
"A2","70",55.990592544,200,800,3.106105312
"A2","71",56.462905088,200,800,3.125945938
"A2","72",56.938054912,200,800,3.147213125
"A2","73",57.409043392,200,800,3.166160625
"A2","74",57.88268,200,800,3.184257812
"A2","75",58.356127456,200,800,3.20154875
"A2","76",58.828156272,200,800,3.2182725
"A2","77",59.3036844,200,800,3.224948125
"A2","78",59.774105424,200,800,3.240010625
"A2","79",60.247363728,200,800,3.249045
"A2","80",60.719297968,200,800,3.261840312
"A2","81",61.192934576,200,800,3.270998125
"A2","82",61.665436272,200,800,3.274004062
"A2","83",62.138316272,200,800,3.272040312
"A2","84",62.61100712,200,800,3.248006562
"A2","85",63.083225088,200,800,3.25467
"A2","86",63.557902032,200,800,3.252655625
"A2","87",64.029363392,200,800,3.255145625
"A2","88",64.501865088,200,800,3.252844375
"A2","89",64.974366784,200,800,3.2541625
"A2","90",65.448476272,200,800,3.248791562
"A2","91",65.921923728,200,800,3.258575938
"A2","92",66.393668816,200,800,3.2592225
"A2","93",66.866832544,200,800,3.257684375
"A2","94",67.341414912,200,800,3.262532812
"A2","95",67.814484064,200,800,3.268904062
"A2","96",68.28556712,200,800,3.266715625
"A2","97",68.759203728,200,800,3.266179688
"A2","98",69.230665088,200,800,3.266397188
"A2","99",69.704017968,200,800,3.2697225
"A2","100",70.177654576,200,800,3.265639688
"A2","101",70.650723728,200,800,3.263755625
"A2","102",71.124171184,200,800,3.267920938
"A2","103",71.59572712,200,800,3.269350938
"A2","104",72.068039664,200,800,3.268925938
"A2","105",72.542149152,200,800,3.263524688
"A2","106",73.013799664,200,800,3.26160625
"A2","107",73.488760336,200,800,3.258635
"A2","108",73.960505424,200,800,3.258021562
"A2","109",74.433101696,200,800,3.255904688
"A2","110",74.905225088,200,800,3.252528125
"A2","111",75.379996608,200,800,3.24937
"A2","112",75.852309152,200,800,3.249421562
"A2","113",76.325567456,200,800,3.2432125
"A2","114",76.797501696,200,800,3.257721875
"A2","115",77.271516608,200,800,3.272456562
"A2","116",77.743450848,200,800,3.276462812
