"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.36385864,200,1000,0.315574727
"D1","2",23.834279664,200,1000,0.317573906
"D1","3",24.30536272,200,1000,0.318800859
"D1","4",24.781458304,200,1000,0.320478828
"D1","5",25.254527456,200,1000,0.323003008
"D1","6",25.726083392,200,1000,0.325577793
"D1","7",26.196126112,200,1000,0.328275352
"D1","8",26.67307288,200,1000,0.332127891
"D1","9",27.147276944,200,1000,0.336003203
"D1","10",27.618643728,200,1000,0.338535859
"D1","11",28.085187136,200,1000,0.342348164
"D1","12",28.564403728,200,1000,0.343685547
"D1","13",29.03652712,200,1000,0.345321211
"D1","14",29.507137296,200,1000,0.348367383
"D1","15",29.979733568,200,1000,0.352373008
"D1","16",30.456207456,200,1000,0.35385457
"D1","17",30.929749488,200,1000,0.358737227
"D1","18",31.400075936,200,1000,0.360402773
"D1","19",31.87333424,200,1000,0.362022773
"D1","20",32.349146096,200,1000,0.36444457
"D1","21",32.819661696,200,1000,0.366327344
"D1","22",33.295095248,200,1000,0.370975156
"D1","23",33.761638656,200,1000,0.372957344
"D1","24",34.239342032,200,1000,0.375770898
"D1","25",34.710330512,200,1000,0.377422578
"D1","26",35.183683392,200,1000,0.381002109
"D1","27",35.655144752,200,1000,0.383743164
"D1","28",36.13114576,200,1000,0.385790391
"D1","29",36.603363728,200,1000,0.390542969
"D1","30",37.075865424,200,1000,0.392916953
"D1","31",37.54836712,200,1000,0.395524062
"D1","32",38.021530848,200,1000,0.398773008
"D1","33",38.49507288,200,1000,0.401035859
"D1","34",38.965966784,200,1000,0.402905312
"D1","35",39.439792544,200,1000,0.408565977
"D1","36",39.912105088,200,1000,0.409352617
"D1","37",40.386971184,200,1000,0.412442852
"D1","38",40.859662032,200,1000,0.415081836
"D1","39",41.330272208,200,1000,0.418836094
"D1","40",41.8023956,200,1000,0.422921875
"D1","41",42.277829152,200,1000,0.423807656
"D1","42",42.749668816,200,1000,0.427443555
"D1","43",43.22245424,200,1000,0.431639961
"D1","44",43.696374576,200,1000,0.433184141
"D1","45",44.16963288,200,1000,0.436481328
"D1","46",44.640905088,200,1000,0.440435586
"D1","47",45.114541696,200,1000,0.446049414
"D1","48",45.588367456,200,1000,0.449536484
"D1","49",46.060490848,200,1000,0.453793125
"D1","50",46.533843728,200,1000,0.458409141
"D1","51",47.006345424,200,1000,0.4617
"D1","52",47.479414576,200,1000,0.466640781
"D1","53",47.952767456,200,1000,0.471159297
"D1","54",48.425174576,200,1000,0.476580195
"D1","55",48.898054576,200,1000,0.481308086
"D1","56",49.369326784,200,1000,0.486644297
"D1","57",49.842206784,200,1000,0.493074609
"D1","58",50.317451184,200,1000,0.498819414
"D1","59",50.787777632,200,1000,0.505072109
"D1","60",51.260279328,200,1000,0.51238168
"D1","61",51.735050848,200,1000,0.520606602
"D1","62",52.206039328,200,1000,0.529050273
"D1","63",52.68005424,200,1000,0.53805418
"D1","64",53.153501696,200,1000,0.549385742
"D1","65",53.627989488,200,1000,0.561173203
"D1","66",54.100207456,200,1000,0.573913906
"D1","67",54.572614576,200,1000,0.586879609
"D1","68",55.045494576,200,1000,0.603453906
"D1","69",55.51780712,200,1000,0.619238633
"D1","70",55.99163288,200,1000,0.63869375
"D1","71",56.462432208,200,1000,0.658920391
"D1","72",56.936730848,200,1000,0.680902656
"D1","73",57.409232544,200,1000,0.705054531
"D1","74",57.882396272,200,1000,0.731437969
"D1","75",58.354803392,200,1000,0.758690938
"D1","76",58.827872544,200,1000,0.789776562
"D1","77",59.30226576,200,1000,0.820540391
"D1","78",59.77325424,200,1000,0.854215156
"D1","79",60.247836608,200,1000,0.887391328
"D1","80",60.717784752,200,1000,0.923483438
"D1","81",61.19331288,200,1000,0.9588325
"D1","82",61.665909152,200,1000,0.99442125
"D1","83",62.139356608,200,1000,1.026992422
"D1","84",62.611290848,200,1000,1.059580547
"D1","85",63.081806448,200,1000,1.094031875
"D1","86",63.559509824,200,1000,1.121826562
"D1","87",64.029268816,200,1000,1.15101125
"D1","88",64.50205424,200,1000,1.176519453
"D1","89",64.973137296,200,1000,1.197978359
"D1","90",65.447625088,200,1000,1.225687578
"D1","91",65.920505088,200,1000,1.244268359
"D1","92",66.394141696,200,1000,1.263028828
"D1","93",66.866737968,200,1000,1.267835234
"D1","94",67.342266096,200,1000,1.273758203
"D1","95",67.81363288,200,1000,1.281749297
"D1","96",68.284905088,200,1000,1.294896641
"D1","97",68.758730848,200,1000,1.295223984
"D1","98",69.232840336,200,1000,1.302932266
"D1","99",69.70468,200,1000,1.309003203
"D1","100",70.17756,200,1000,1.312779062
"D1","101",70.649399664,200,1000,1.318320625
"D1","102",71.123130848,200,1000,1.32306
"D1","103",71.595916272,200,1000,1.325687188
"D1","104",72.070214912,200,1000,1.327335
"D1","105",72.540635936,200,1000,1.328146406
"D1","106",73.015974912,200,1000,1.334855156
"D1","107",73.486868816,200,1000,1.335824688
"D1","108",73.958897632,200,1000,1.333141094
"D1","109",74.432345088,200,1000,1.336958906
"D1","110",74.906265424,200,1000,1.336321094
"D1","111",75.37924,200,1000,1.341177344
"D1","112",75.851457968,200,1000,1.33673
"D1","113",76.32310848,200,1000,1.339165156
"D1","114",76.8002444,200,1000,1.345046406
"D1","115",77.270003392,200,1000,1.345339062
"D1","116",77.744964064,200,1000,1.342794844
"D1","117",78.21652,200,1000,1.341168594
"D1","118",78.688832544,200,1000,1.339968438
"D1","119",79.163793216,200,1000,1.337748438
"D1","120",79.63421424,200,1000,1.335103438
"D1","121",80.10898576,200,1000,1.331335469
"D2","1",23.36385864,200,800,0.328935352
"D2","2",23.834279664,200,800,0.334374883
"D2","3",24.30536272,200,800,0.337199961
"D2","4",24.781458304,200,800,0.340130156
"D2","5",25.254527456,200,800,0.343959648
"D2","6",25.726083392,200,800,0.346338594
"D2","7",26.196126112,200,800,0.348922344
"D2","8",26.67307288,200,800,0.349965312
"D2","9",27.147276944,200,800,0.353668281
"D2","10",27.618643728,200,800,0.356754297
"D2","11",28.085187136,200,800,0.359795
"D2","12",28.564403728,200,800,0.36274582
"D2","13",29.03652712,200,800,0.366575977
"D2","14",29.507137296,200,800,0.368769336
"D2","15",29.979733568,200,800,0.371457344
"D2","16",30.456207456,200,800,0.375005859
"D2","17",30.929749488,200,800,0.37643793
"D2","18",31.400075936,200,800,0.379941953
"D2","19",31.87333424,200,800,0.384291016
"D2","20",32.349146096,200,800,0.38654043
"D2","21",32.819661696,200,800,0.389207305
"D2","22",33.295095248,200,800,0.393135703
"D2","23",33.761638656,200,800,0.395843125
"D2","24",34.239342032,200,800,0.398439531
"D2","25",34.710330512,200,800,0.401096523
"D2","26",35.183683392,200,800,0.405182969
"D2","27",35.655144752,200,800,0.40991457
"D2","28",36.13114576,200,800,0.411765977
"D2","29",36.603363728,200,800,0.415110977
"D2","30",37.075865424,200,800,0.419378516
"D2","31",37.54836712,200,800,0.422067422
"D2","32",38.021530848,200,800,0.426432148
"D2","33",38.49507288,200,800,0.427387266
"D2","34",38.965966784,200,800,0.432878516
"D2","35",39.439792544,200,800,0.434294805
"D2","36",39.912105088,200,800,0.438627383
"D2","37",40.386971184,200,800,0.440347227
"D2","38",40.859662032,200,800,0.446279297
"D2","39",41.330272208,200,800,0.449912344
"D2","40",41.8023956,200,800,0.450548203
"D2","41",42.277829152,200,800,0.457109609
"D2","42",42.749668816,200,800,0.460346992
"D2","43",43.22245424,200,800,0.465134336
"D2","44",43.696374576,200,800,0.466421641
"D2","45",44.16963288,200,800,0.471716914
"D2","46",44.640905088,200,800,0.475690117
"D2","47",45.114541696,200,800,0.478480078
"D2","48",45.588367456,200,800,0.483905859
"D2","49",46.060490848,200,800,0.487706484
"D2","50",46.533843728,200,800,0.494468438
"D2","51",47.006345424,200,800,0.49864207
"D2","52",47.479414576,200,800,0.505167969
"D2","53",47.952767456,200,800,0.509057461
"D2","54",48.425174576,200,800,0.514498828
"D2","55",48.898054576,200,800,0.519111562
"D2","56",49.369326784,200,800,0.524196055
"D2","57",49.842206784,200,800,0.530911211
"D2","58",50.317451184,200,800,0.539771094
"D2","59",50.787777632,200,800,0.54733332
"D2","60",51.260279328,200,800,0.557165195
"D2","61",51.735050848,200,800,0.565374766
"D2","62",52.206039328,200,800,0.576711758
"D2","63",52.68005424,200,800,0.588584023
"D2","64",53.153501696,200,800,0.601541602
"D2","65",53.627989488,200,800,0.614221211
"D2","66",54.100207456,200,800,0.629287695
"D2","67",54.572614576,200,800,0.645360078
"D2","68",55.045494576,200,800,0.661809453
"D2","69",55.51780712,200,800,0.684400156
"D2","70",55.99163288,200,800,0.705425156
"D2","71",56.462432208,200,800,0.729928281
"D2","72",56.936730848,200,800,0.7582225
"D2","73",57.409232544,200,800,0.779985547
"D2","74",57.882396272,200,800,0.813143672
"D2","75",58.354803392,200,800,0.847465391
"D2","76",58.827872544,200,800,0.880213359
"D2","77",59.30226576,200,800,0.913646953
"D2","78",59.77325424,200,800,0.947565859
"D2","79",60.247836608,200,800,0.980653828
"D2","80",60.717784752,200,800,1.019560703
"D2","81",61.19331288,200,800,1.055162422
"D2","82",61.665909152,200,800,1.084948984
"D2","83",62.139356608,200,800,1.121382344
"D2","84",62.611290848,200,800,1.156084062
"D2","85",63.081806448,200,800,1.185285703
"D2","86",63.559509824,200,800,1.213860391
"D2","87",64.029268816,200,800,1.242892344
"D2","88",64.50205424,200,800,1.270423125
"D2","89",64.973137296,200,800,1.292001094
"D2","90",65.447625088,200,800,1.314419531
"D2","91",65.920505088,200,800,1.330379844
"D2","92",66.394141696,200,800,1.349204688
"D2","93",66.866737968,200,800,1.35232
"D2","94",67.342266096,200,800,1.359627969
"D2","95",67.81363288,200,800,1.363768281
"D2","96",68.284905088,200,800,1.364323906
"D2","97",68.758730848,200,800,1.374370781
"D2","98",69.232840336,200,800,1.381323125
"D2","99",69.70468,200,800,1.386747656
"D2","100",70.17756,200,800,1.391757031
"D2","101",70.649399664,200,800,1.397191875
"D2","102",71.123130848,200,800,1.400635
"D2","103",71.595916272,200,800,1.405473594
"D2","104",72.070214912,200,800,1.405499375
"D2","105",72.540635936,200,800,1.410154375
"D2","106",73.015974912,200,800,1.419424531
"D2","107",73.486868816,200,800,1.419695156
"D2","108",73.958897632,200,800,1.419640469
"D2","109",74.432345088,200,800,1.421013438
"D2","110",74.906265424,200,800,1.419548125
"D2","111",75.37924,200,800,1.421579688
"D2","112",75.851457968,200,800,1.42933375
"D2","113",76.32310848,200,800,1.429224062
"D2","114",76.8002444,200,800,1.4259625
"D2","115",77.270003392,200,800,1.431071094
"D2","116",77.744964064,200,800,1.431740938
"D2","117",78.21652,200,800,1.428197812
"D2","118",78.688832544,200,800,1.433335469
"D2","119",79.163793216,200,800,1.431585
"D2","120",79.63421424,200,800,1.427395469
"D2","121",80.10898576,200,800,1.429516719
"D3","1",23.357994928,200,600,0.33542375
"D3","2",23.83484712,200,600,0.336921875
"D3","3",24.308767456,200,600,0.340509062
"D3","4",24.778999328,200,600,0.343510469
"D3","5",25.252257632,200,600,0.346031562
"D3","6",25.725610512,200,600,0.349321445
"D3","7",26.201422368,200,600,0.35172625
"D3","8",26.675342704,200,600,0.355372266
"D3","9",27.146614912,200,600,0.358441719
"D3","10",27.617319664,200,600,0.360619844
"D3","11",28.088497296,200,600,0.362787383
"D3","12",28.562985088,200,600,0.366785078
"D3","13",29.035013904,200,600,0.368737539
"D3","14",29.509501696,200,600,0.372557656
"D3","15",29.982570848,200,600,0.374272852
"D3","16",30.460179648,200,600,0.378692422
"D3","17",30.92993864,200,600,0.380608359
"D3","18",31.407925744,200,600,0.383315117
"D3","19",31.868983744,200,600,0.386756328
"D3","20",32.34621424,200,600,0.390422578
"D3","21",32.823539312,200,600,0.392944336
"D3","22",33.295378976,200,600,0.395516562
"D3","23",33.766651184,200,600,0.398231953
"D3","24",34.237072208,200,600,0.402612344
"D3","25",34.712127456,200,600,0.40578875
"D3","26",35.185480336,200,600,0.409449531
"D3","27",35.656657968,200,600,0.413468047
"D3","28",36.129916272,200,600,0.415067266
"D3","29",36.603647456,200,600,0.419187773
"D3","30",37.075108816,200,600,0.422160234
"D3","31",37.548556272,200,600,0.423953047
"D3","32",38.021625424,200,600,0.429232383
"D3","33",38.495734912,200,600,0.430260352
"D3","34",38.966628816,200,600,0.436630508
"D3","35",39.439697968,200,600,0.441604375
"D3","36",39.913523728,200,600,0.44478293
"D3","37",40.384323056,200,600,0.449241328
"D3","38",40.860324064,200,600,0.45414543
"D3","39",41.333393216,200,600,0.456094102
"D3","40",41.804192544,200,600,0.458608438
"D3","41",42.276599664,200,600,0.463209336
"D3","42",42.750709152,200,600,0.467727695
"D3","43",43.222548816,200,600,0.470012773
"D3","44",43.696469152,200,600,0.474275547
"D3","45",44.170484064,200,600,0.479629219
"D3","46",44.641283392,200,600,0.484291133
"D3","47",45.113312208,200,600,0.48787793
"D3","48",45.58827288,200,600,0.494046719
"D3","49",46.059545088,200,600,0.497945508
"D3","50",46.534222032,200,600,0.504647734
"D3","51",47.007007456,200,600,0.509078359
"D3","52",47.479698304,200,600,0.516373984
"D3","53",47.95314576,200,600,0.52245293
"D3","54",48.425647456,200,600,0.527599766
"D3","55",48.898622032,200,600,0.534739336
"D3","56",49.370461696,200,600,0.54294125
"D3","57",49.84277424,200,600,0.550444258
"D3","58",50.314803056,200,600,0.562142422
"D3","59",50.79042576,200,600,0.570180547
"D3","60",51.261225088,200,600,0.581517969
"D3","61",51.734483392,200,600,0.59156543
"D3","62",52.20906576,200,600,0.606974531
"D3","63",52.681567456,200,600,0.619359492
"D3","64",53.154636608,200,600,0.635809336
