"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.36385864,200,1000,0.198958242
"A1","2",23.834279664,200,1000,0.200623301
"A1","3",24.30536272,200,1000,0.202876992
"A1","4",24.781458304,200,1000,0.205666348
"A1","5",25.254527456,200,1000,0.209001113
"A1","6",25.726083392,200,1000,0.211729102
"A1","7",26.196126112,200,1000,0.214438535
"A1","8",26.67307288,200,1000,0.217234785
"A1","9",27.147276944,200,1000,0.220703066
"A1","10",27.618643728,200,1000,0.223552539
"A1","11",28.085187136,200,1000,0.227191289
"A1","12",28.564403728,200,1000,0.230761758
"A1","13",29.03652712,200,1000,0.233904297
"A1","14",29.507137296,200,1000,0.237462832
"A1","15",29.979733568,200,1000,0.241250859
"A1","16",30.456207456,200,1000,0.245230801
"A1","17",30.929749488,200,1000,0.250036152
"A1","18",31.400075936,200,1000,0.254827949
"A1","19",31.87333424,200,1000,0.259416758
"A1","20",32.349146096,200,1000,0.265049219
"A1","21",32.819661696,200,1000,0.271068984
"A1","22",33.295095248,200,1000,0.277732559
"A1","23",33.761638656,200,1000,0.285271621
"A1","24",34.239342032,200,1000,0.293644258
"A1","25",34.710330512,200,1000,0.301761758
"A1","26",35.183683392,200,1000,0.312541719
"A1","27",35.655144752,200,1000,0.323389336
"A1","28",36.13114576,200,1000,0.334802188
"A1","29",36.603363728,200,1000,0.349709141
"A1","30",37.075865424,200,1000,0.364896523
"A1","31",37.54836712,200,1000,0.382292852
"A1","32",38.021530848,200,1000,0.402371875
"A1","33",38.49507288,200,1000,0.423394648
"A1","34",38.965966784,200,1000,0.446417734
"A1","35",39.439792544,200,1000,0.472642305
"A1","36",39.912105088,200,1000,0.503057734
"A1","37",40.386971184,200,1000,0.536062539
"A1","38",40.859662032,200,1000,0.572345312
"A1","39",41.330272208,200,1000,0.612546055
"A1","40",41.8023956,200,1000,0.65788
"A1","41",42.277829152,200,1000,0.706600312
"A1","42",42.749668816,200,1000,0.761359922
"A1","43",43.22245424,200,1000,0.821434922
"A1","44",43.696374576,200,1000,0.885190938
"A1","45",44.16963288,200,1000,0.954390469
"A1","46",44.640905088,200,1000,1.027457266
"A1","47",45.114541696,200,1000,1.110871172
"A1","48",45.588367456,200,1000,1.195733906
"A1","49",46.060490848,200,1000,1.285719062
"A1","50",46.533843728,200,1000,1.380793125
"A1","51",47.006345424,200,1000,1.481377344
"A1","52",47.479414576,200,1000,1.583373125
"A1","53",47.952767456,200,1000,1.686586094
"A1","54",48.425174576,200,1000,1.796518438
"A1","55",48.898054576,200,1000,1.901820938
"A1","56",49.369326784,200,1000,2.010609219
"A1","57",49.842206784,200,1000,2.118867344
"A1","58",50.317451184,200,1000,2.227042188
"A1","59",50.787777632,200,1000,2.329643125
"A1","60",51.260279328,200,1000,2.4270675
"A1","61",51.735050848,200,1000,2.521696094
"A1","62",52.206039328,200,1000,2.609625781
"A1","63",52.68005424,200,1000,2.6937225
"A1","64",53.153501696,200,1000,2.766186562
"A1","65",53.627989488,200,1000,2.836684375
"A1","66",54.100207456,200,1000,2.895526562
"A1","67",54.572614576,200,1000,2.947164688
"A1","68",55.045494576,200,1000,2.998029688
"A1","69",55.51780712,200,1000,3.038734375
"A1","70",55.99163288,200,1000,3.074431562
"A1","71",56.462432208,200,1000,3.099544062
"A1","72",56.936730848,200,1000,3.127285625
"A1","73",57.409232544,200,1000,3.147555625
