"Well","Reading","Temperature","A","B","Emission"
"D1","1",23.36054848,200,1000,0.168393711
"D1","2",23.832671872,200,1000,0.16898125
"D1","3",24.306119328,200,1000,0.169904043
"D1","4",24.780039664,200,1000,0.170521953
"D1","5",25.252635936,200,1000,0.170432188
"D1","6",25.72873152,200,1000,0.170810723
"D1","7",26.19924712,200,1000,0.172013164
"D1","8",26.67591016,200,1000,0.172723809
"D1","9",27.144912544,200,1000,0.173182148
"D1","10",27.617508816,200,1000,0.173898047
"D1","11",28.086605776,200,1000,0.175541016
"D1","12",28.566295248,200,1000,0.176459043
"D1","13",29.035675936,200,1000,0.177609258
"D1","14",29.505529504,200,1000,0.178517148
"D1","15",29.975761376,200,1000,0.179275664
"D1","16",30.457153216,200,1000,0.180540723
"D1","17",30.92662848,200,1000,0.18172332
"D1","18",31.403196944,200,1000,0.18251457
"D1","19",31.876928128,200,1000,0.18377498
"D1","20",32.337134944,200,1000,0.185180859
"D1","21",32.822688128,200,1000,0.186200195
"D1","22",33.285543072,200,1000,0.187209824
"D1","23",33.767596944,200,1000,0.188215234
"D1","24",34.23773424,200,1000,0.190219023
"D1","25",34.709952208,200,1000,0.19168166
"D1","26",35.185480336,200,1000,0.192604766
"D1","27",35.656941696,200,1000,0.194268379
"D1","28",36.130483728,200,1000,0.195669863
"D1","29",36.604120336,200,1000,0.197597012
"D1","30",37.07548712,200,1000,0.199348262
"D1","31",37.547705088,200,1000,0.201559668
"D1","32",38.02124712,200,1000,0.20384873
"D1","33",38.495734912,200,1000,0.205694746
"D1","34",38.967196272,200,1000,0.207210254
"D1","35",39.438563056,200,1000,0.210589473
"D1","36",39.913523728,200,1000,0.213062051
"D1","37",40.383944752,200,1000,0.21614125
"D1","38",40.859851184,200,1000,0.219030332
"D1","39",41.33235288,200,1000,0.222495371
"D1","40",41.803908816,200,1000,0.22549457
"D1","41",42.276315936,200,1000,0.228613574
"D1","42",42.750141696,200,1000,0.232058008
"D1","43",43.222359664,200,1000,0.235412441
"D1","44",43.696563728,200,1000,0.239049629
"D1","45",44.16774136,200,1000,0.242655254
"D1","46",44.642702032,200,1000,0.246189297
"D1","47",45.115203728,200,1000,0.250490195
"D1","48",45.587610848,200,1000,0.254259219
"D1","49",46.059355936,200,1000,0.258028008
"D1","50",46.531952208,200,1000,0.262350547
"D1","51",47.00644,200,1000,0.266233027
"D1","52",47.477617632,200,1000,0.270323477
"D1","53",47.953429488,200,1000,0.274017676
"D1","54",48.426687792,200,1000,0.278276797
"D1","55",48.898527456,200,1000,0.282389102
"D1","56",49.370083392,200,1000,0.285989727
"D1","57",49.844287456,200,1000,0.290527812
"D1","58",50.316883728,200,1000,0.29463082
"D1","59",50.79042576,200,1000,0.299843164
"D1","60",51.261225088,200,1000,0.303646484
"D1","61",51.735429152,200,1000,0.308126875
"D1","62",52.206606784,200,1000,0.312887051
"D1","63",52.67958136,200,1000,0.317698027
"D1","64",53.154258304,200,1000,0.323150566
"D1","65",53.62628712,200,1000,0.328529414
"D1","66",54.09916712,200,1000,0.335328984
"D1","67",54.571668816,200,1000,0.338950469
"D1","68",55.044643392,200,1000,0.345622461
"D1","69",55.517996272,200,1000,0.352088359
"D1","70",55.990025088,200,1000,0.359884141
"D1","71",56.462905088,200,1000,0.36524418
"D1","72",56.93597424,200,1000,0.37175918
"D1","73",57.411029488,200,1000,0.379074219
"D1","74",57.882301696,200,1000,0.387364023
"D1","75",58.357073216,200,1000,0.396713398
"D1","76",58.826643056,200,1000,0.404690781
"D1","77",59.300657968,200,1000,0.412994297
"D1","78",59.774389152,200,1000,0.42443332
"D1","79",60.245850512,200,1000,0.43647125
"D1","80",60.71996,200,1000,0.447037031
"D1","81",61.193218304,200,1000,0.460059766
