Well,Reading,Temperature,A,B,Emission,Helix,Condition
A1,1,23.36338576,200,1000,0.142375928,J,NTPCM
A1,2,23.8373061,200,1000,0.143825312,J,NTPCM
A1,3,24.31084813,200,1000,0.145097275,J,NTPCM
A1,4,24.77455426,200,1000,0.146364326,J,NTPCM
A1,5,25.25169018,200,1000,0.14837876,J,NTPCM
A1,6,25.72598882,200,1000,0.150237666,J,NTPCM
A1,7,26.1993417,200,1000,0.152495752,J,NTPCM
A1,8,26.67241085,200,1000,0.154788271,J,NTPCM
A1,9,27.14737152,200,1000,0.157232637,J,NTPCM
A1,10,27.62100813,200,1000,0.159887588,J,NTPCM
A1,11,28.09048339,200,1000,0.163500723,J,NTPCM
A1,12,28.56572779,200,1000,0.166693457,J,NTPCM
A1,13,29.03548678,200,1000,0.170807168,J,NTPCM
A1,14,29.50685357,200,1000,0.174429629,J,NTPCM
A1,15,29.9807739,200,1000,0.178685,J,NTPCM
A1,16,30.45459966,200,1000,0.183681953,J,NTPCM
A1,17,30.9281417,200,1000,0.18904168,J,NTPCM
A1,18,31.40518304,200,1000,0.194666895,J,NTPCM
A1,19,31.86803798,200,1000,0.200807988,J,NTPCM
A1,20,32.35037558,200,1000,0.20686627,J,NTPCM
A1,21,32.82287728,200,1000,0.213704023,J,NTPCM
A1,22,33.28554307,200,1000,0.22089582,J,NTPCM
A1,23,33.77421726,200,1000,0.228384785,J,NTPCM
A1,24,34.23735594,200,1000,0.236871543,J,NTPCM
A1,25,34.71335694,200,1000,0.245422227,J,NTPCM
A1,26,35.18330509,200,1000,0.254675488,J,NTPCM
A1,27,35.65675254,200,1000,0.264275469,J,NTPCM
A1,28,36.1305783,200,1000,0.275063379,J,NTPCM
A1,29,36.60185051,200,1000,0.286787305,J,NTPCM
A1,30,37.07596,200,1000,0.298499668,J,NTPCM
A1,31,37.54997491,200,1000,0.31184502,J,NTPCM
A1,32,38.02077424,200,1000,0.32636668,J,NTPCM
A1,33,38.49564034,200,1000,0.342270391,J,NTPCM
A1,34,38.96804746,200,1000,0.359360391,J,NTPCM
A1,35,39.44064373,200,1000,0.378134922,J,NTPCM
A1,36,39.91465864,200,1000,0.399892539,J,NTPCM
A1,37,40.38489051,200,1000,0.423189492,J,NTPCM
A1,38,40.85758136,200,1000,0.449107422,J,NTPCM
A1,39,41.33074509,200,1000,0.476448164,J,NTPCM
A1,40,41.80457085,200,1000,0.507469531,J,NTPCM
A1,41,42.27849118,200,1000,0.53994082,J,NTPCM
A1,42,42.75052,200,1000,0.577254219,J,NTPCM
A1,43,43.22311627,200,1000,0.615271523,J,NTPCM
A1,44,43.69609085,200,1000,0.655552578,J,NTPCM
A1,45,44.16963288,200,1000,0.698735312,J,NTPCM
A1,46,44.64071594,200,1000,0.744247969,J,NTPCM
A1,47,45.11425797,200,1000,0.790548125,J,NTPCM
A1,48,45.58884034,200,1000,0.841567031,J,NTPCM
A1,49,46.05897763,200,1000,0.889940234,J,NTPCM
A1,50,46.53233051,200,1000,0.940863438,J,NTPCM
A1,51,47.00454848,200,1000,0.991921484,J,NTPCM
A1,52,47.48064406,200,1000,1.039969531,J,NTPCM
A1,53,47.95002475,200,1000,1.089287891,J,NTPCM
A1,54,48.42630949,200,1000,1.13667625,J,NTPCM
A1,55,48.89625763,200,1000,1.179643516,J,NTPCM
A1,56,49.37273152,200,1000,1.224150703,J,NTPCM
A1,57,49.84343627,200,1000,1.264463828,J,NTPCM
A1,58,50.31489763,200,1000,1.303886719,J,NTPCM
A1,59,50.78929085,200,1000,1.340710312,J,NTPCM
A1,60,51.25952272,200,1000,1.372858906,J,NTPCM
A1,61,51.73618576,200,1000,1.402452031,J,NTPCM
A1,62,52.20821458,200,1000,1.429594375,J,NTPCM
A1,63,52.68222949,200,1000,1.454958125,J,NTPCM
A1,64,53.15283966,200,1000,1.476775938,J,NTPCM
A1,65,53.62600339,200,1000,1.497472188,J,NTPCM
A1,66,54.09822136,200,1000,1.518137031,J,NTPCM
A1,67,54.57100678,200,1000,1.535360938,J,NTPCM
A1,68,55.04360306,200,1000,1.550602188,J,NTPCM
A1,69,55.51856373,200,1000,1.566257812,J,NTPCM
A1,70,55.99144373,200,1000,1.578495469,J,NTPCM
A1,71,56.46337797,200,1000,1.59017125,J,NTPCM
A1,72,56.93805491,200,1000,1.59951625,J,NTPCM
A1,73,57.41008373,200,1000,1.6099525,J,NTPCM
A1,74,57.88296373,200,1000,1.61861625,J,NTPCM
A1,75,58.3551817,200,1000,1.627434062,J,NTPCM
A1,76,58.82872373,200,1000,1.634441094,J,NTPCM
A1,77,59.30046882,200,1000,1.642980156,J,NTPCM
A1,78,59.7745783,200,1000,1.648613594,J,NTPCM
A1,79,60.24774203,200,1000,1.65524125,J,NTPCM
A1,80,60.71948712,200,1000,1.660234844,J,NTPCM
A1,81,61.19388034,200,1000,1.657889219,J,NTPCM
A1,82,61.66505797,200,1000,1.656385938,J,NTPCM
A1,83,62.13935661,200,1000,1.657356719,J,NTPCM
A1,84,62.61043966,200,1000,1.659469844,J,NTPCM
A1,85,63.08426542,200,1000,1.65798625,J,NTPCM
A1,86,63.55809118,200,1000,1.66066375,J,NTPCM
A1,87,64.03012,200,1000,1.662320312,J,NTPCM
A1,88,64.50281085,200,1000,1.659415312,J,NTPCM
A1,89,64.97644746,200,1000,1.662625469,J,NTPCM
A1,90,65.4483817,200,1000,1.66371875,J,NTPCM
A1,91,65.92173458,200,1000,1.665840938,J,NTPCM
A1,92,66.3941417,200,1000,1.669942812,J,NTPCM
A1,93,66.86758915,200,1000,1.667557969,J,NTPCM
A1,94,67.33942882,200,1000,1.669575,J,NTPCM
A1,95,67.81126848,200,1000,1.671077969,J,NTPCM
A1,96,68.28377018,200,1000,1.674133594,J,NTPCM
A1,97,68.75863627,200,1000,1.671911094,J,NTPCM
A1,98,69.2314217,200,1000,1.675314688,J,NTPCM
A1,99,69.70543661,200,1000,1.674937969,J,NTPCM
A1,100,70.17850576,200,1000,1.676605938,J,NTPCM
A1,101,70.64864306,200,1000,1.674888906,J,NTPCM
A1,102,71.12407661,200,1000,1.676519531,J,NTPCM
A1,103,71.59591627,200,1000,1.675207031,J,NTPCM
A1,104,72.06898542,200,1000,1.6756575,J,NTPCM
A1,105,72.54129797,200,1000,1.675659688,J,NTPCM
A1,106,73.01332678,200,1000,1.675720156,J,NTPCM
A1,107,73.48819288,200,1000,1.675392969,J,NTPCM
A1,108,73.96012712,200,1000,1.67439375,J,NTPCM
A1,109,74.43272339,200,1000,1.672769219,J,NTPCM
A1,110,74.90711661,200,1000,1.672260938,J,NTPCM
A1,111,75.37801051,200,1000,1.671345938,J,NTPCM
A1,112,75.85212,200,1000,1.669859844,J,NTPCM
A1,113,76.32509458,200,1000,1.66858,J,NTPCM
A1,114,76.79863661,200,1000,1.666098125,J,NTPCM
A1,115,77.27000339,200,1000,1.664389375,J,NTPCM
A1,116,77.74203221,200,1000,1.66305875,J,NTPCM
A1,117,78.21566882,200,1000,1.660292969,J,NTPCM
A1,118,78.69110237,200,1000,1.659494688,J,NTPCM
A1,119,79.1599156,200,1000,1.655899062,J,NTPCM
A1,120,79.63449797,200,1000,1.652103906,J,NTPCM
A1,121,80.10898576,200,1000,1.651831406,J,NTPCM
A2,1,23.36338576,200,800,0.179882246,J,NTPCM
A2,2,23.8373061,200,800,0.183613047,J,NTPCM
A2,3,24.31084813,200,800,0.186167598,J,NTPCM
A2,4,24.77455426,200,800,0.188747012,J,NTPCM
A2,5,25.25169018,200,800,0.190738223,J,NTPCM
A2,6,25.72598882,200,800,0.193848496,J,NTPCM
A2,7,26.1993417,200,800,0.196958887,J,NTPCM
A2,8,26.67241085,200,800,0.199550605,J,NTPCM
A2,9,27.14737152,200,800,0.203554668,J,NTPCM
A2,10,27.62100813,200,800,0.207089004,J,NTPCM
A2,11,28.09048339,200,800,0.21099373,J,NTPCM
A2,12,28.56572779,200,800,0.215774727,J,NTPCM
A2,13,29.03548678,200,800,0.221004668,J,NTPCM
A2,14,29.50685357,200,800,0.225868535,J,NTPCM
A2,15,29.9807739,200,800,0.231648379,J,NTPCM
A2,16,30.45459966,200,800,0.237976738,J,NTPCM
A2,17,30.9281417,200,800,0.244102773,J,NTPCM
A2,18,31.40518304,200,800,0.250544336,J,NTPCM
A2,19,31.86803798,200,800,0.256976367,J,NTPCM
A2,20,32.35037558,200,800,0.265054102,J,NTPCM
A2,21,32.82287728,200,800,0.272603223,J,NTPCM
A2,22,33.28554307,200,800,0.281008164,J,NTPCM
A2,23,33.77421726,200,800,0.289456152,J,NTPCM
A2,24,34.23735594,200,800,0.299246855,J,NTPCM
A2,25,34.71335694,200,800,0.308878223,J,NTPCM
A2,26,35.18330509,200,800,0.319815059,J,NTPCM
A2,27,35.65675254,200,800,0.330734102,J,NTPCM
A2,28,36.1305783,200,800,0.343425117,J,NTPCM
A2,29,36.60185051,200,800,0.358237227,J,NTPCM
A2,30,37.07596,200,800,0.372709023,J,NTPCM
A2,31,37.54997491,200,800,0.388722812,J,NTPCM
A2,32,38.02077424,200,800,0.40716125,J,NTPCM
A2,33,38.49564034,200,800,0.42715918,J,NTPCM
A2,34,38.96804746,200,800,0.44778543,J,NTPCM
A2,35,39.44064373,200,800,0.471798945,J,NTPCM
A2,36,39.91465864,200,800,0.498339961,J,NTPCM
A2,37,40.38489051,200,800,0.527913164,J,NTPCM
A2,38,40.85758136,200,800,0.558560977,J,NTPCM
A2,39,41.33074509,200,800,0.593066758,J,NTPCM
A2,40,41.80457085,200,800,0.62709543,J,NTPCM
A2,41,42.27849118,200,800,0.665364219,J,NTPCM
A2,42,42.75052,200,800,0.708842344,J,NTPCM
A2,43,43.22311627,200,800,0.750782344,J,NTPCM
A2,44,43.69609085,200,800,0.794794141,J,NTPCM
A2,45,44.16963288,200,800,0.840203359,J,NTPCM
A2,46,44.64071594,200,800,0.887942656,J,NTPCM
A2,47,45.11425797,200,800,0.937820547,J,NTPCM
A2,48,45.58884034,200,800,0.987177109,J,NTPCM
A2,49,46.05897763,200,800,1.034562344,J,NTPCM
A2,50,46.53233051,200,800,1.083016484,J,NTPCM
A2,51,47.00454848,200,800,1.130936406,J,NTPCM
A2,52,47.48064406,200,800,1.175671641,J,NTPCM
A2,53,47.95002475,200,800,1.218712891,J,NTPCM
A2,54,48.42630949,200,800,1.259935078,J,NTPCM
A2,55,48.89625763,200,800,1.297733594,J,NTPCM
A2,56,49.37273152,200,800,1.33891875,J,NTPCM
A2,57,49.84343627,200,800,1.372759375,J,NTPCM
A2,58,50.31489763,200,800,1.411142031,J,NTPCM
A2,59,50.78929085,200,800,1.441643438,J,NTPCM
A2,60,51.25952272,200,800,1.469219062,J,NTPCM
A2,61,51.73618576,200,800,1.492796875,J,NTPCM
A2,62,52.20821458,200,800,1.515595312,J,NTPCM
A2,63,52.68222949,200,800,1.536359531,J,NTPCM
A2,64,53.15283966,200,800,1.557610312,J,NTPCM
A2,65,53.62600339,200,800,1.57551375,J,NTPCM
A2,66,54.09822136,200,800,1.591709375,J,NTPCM
A2,67,54.57100678,200,800,1.605124062,J,NTPCM
A2,68,55.04360306,200,800,1.619085781,J,NTPCM
A2,69,55.51856373,200,800,1.632075938,J,NTPCM
A2,70,55.99144373,200,800,1.638664688,J,NTPCM
A2,71,56.46337797,200,800,1.653080156,J,NTPCM
A2,72,56.93805491,200,800,1.659985625,J,NTPCM
A2,73,57.41008373,200,800,1.667281562,J,NTPCM
A2,74,57.88296373,200,800,1.677797188,J,NTPCM
A2,75,58.3551817,200,800,1.685401875,J,NTPCM
A2,76,58.82872373,200,800,1.691333125,J,NTPCM
A2,77,59.30046882,200,800,1.699897031,J,NTPCM
A2,78,59.7745783,200,800,1.705140156,J,NTPCM
A2,79,60.24774203,200,800,1.711770938,J,NTPCM
A2,80,60.71948712,200,800,1.716632969,J,NTPCM
A2,81,61.19388034,200,800,1.719517188,J,NTPCM
A2,82,61.66505797,200,800,1.725787656,J,NTPCM
A2,83,62.13935661,200,800,1.729074688,J,NTPCM
A2,84,62.61043966,200,800,1.732285312,J,NTPCM
A2,85,63.08426542,200,800,1.732459688,J,NTPCM
A2,86,63.55809118,200,800,1.721343906,J,NTPCM
A2,87,64.03012,200,800,1.717660938,J,NTPCM
A2,88,64.50281085,200,800,1.718260312,J,NTPCM
A2,89,64.97644746,200,800,1.716960469,J,NTPCM
A2,90,65.4483817,200,800,1.715508125,J,NTPCM
A2,91,65.92173458,200,800,1.718830469,J,NTPCM
A2,92,66.3941417,200,800,1.717009375,J,NTPCM
A2,93,66.86758915,200,800,1.715483594,J,NTPCM
A2,94,67.33942882,200,800,1.7162225,J,NTPCM
A2,95,67.81126848,200,800,1.718403125,J,NTPCM
A2,96,68.28377018,200,800,1.719725312,J,NTPCM
A2,97,68.75863627,200,800,1.722899531,J,NTPCM
A2,98,69.2314217,200,800,1.72012625,J,NTPCM
A2,99,69.70543661,200,800,1.728269531,J,NTPCM
A2,100,70.17850576,200,800,1.72932375,J,NTPCM
A2,101,70.64864306,200,800,1.729172188,J,NTPCM
A2,102,71.12407661,200,800,1.72987625,J,NTPCM
A2,103,71.59591627,200,800,1.731082031,J,NTPCM
A2,104,72.06898542,200,800,1.730934531,J,NTPCM
A2,105,72.54129797,200,800,1.730578125,J,NTPCM
A2,106,73.01332678,200,800,1.7295975,J,NTPCM
A2,107,73.48819288,200,800,1.72831,J,NTPCM
A2,108,73.96012712,200,800,1.728600156,J,NTPCM
A2,109,74.43272339,200,800,1.727398281,J,NTPCM
A2,110,74.90711661,200,800,1.726363594,J,NTPCM
A2,111,75.37801051,200,800,1.726855469,J,NTPCM
A2,112,75.85212,200,800,1.721672188,J,NTPCM
A2,113,76.32509458,200,800,1.719643125,J,NTPCM
A2,114,76.79863661,200,800,1.714347812,J,NTPCM
A2,115,77.27000339,200,800,1.718369062,J,NTPCM
A2,116,77.74203221,200,800,1.720552188,J,NTPCM
A2,117,78.21566882,200,800,1.717405,J,NTPCM
A2,118,78.69110237,200,800,1.712468281,J,NTPCM
A2,119,79.1599156,200,800,1.714735938,J,NTPCM
A2,120,79.63449797,200,800,1.711485781,J,NTPCM
A2,121,80.10898576,200,800,1.708739375,J,NTPCM
A3,1,23.36102136,200,600,0.163661113,J,NTPCM
A3,2,23.83825186,200,600,0.166011426,J,NTPCM
A3,3,24.30555187,200,600,0.168544102,J,NTPCM
A3,4,24.77691866,200,600,0.171312891,J,NTPCM
A3,5,25.25301424,200,600,0.174643281,J,NTPCM
A3,6,25.72390814,200,600,0.178099473,J,NTPCM
A3,7,26.20094949,200,600,0.18178375,J,NTPCM
A3,8,26.66919526,200,600,0.185644219,J,NTPCM
A3,9,27.14529085,200,600,0.189800723,J,NTPCM
A3,10,27.61448238,200,600,0.194222832,J,NTPCM
A3,11,28.09303694,200,600,0.199130605,J,NTPCM
A3,12,28.55995866,200,600,0.2042775,J,NTPCM
A3,13,29.03917525,200,600,0.209853672,J,NTPCM
A3,14,29.51129864,200,600,0.215900957,J,NTPCM
A3,15,29.97377528,200,600,0.222411055,J,NTPCM
A3,16,30.45819355,200,600,0.229265391,J,NTPCM
A3,17,30.9265339,200,600,0.236310215,J,NTPCM
A3,18,31.39449595,200,600,0.243500977,J,NTPCM
A3,19,31.87484746,200,600,0.25160127,J,NTPCM
A3,20,32.35028101,200,600,0.259731484,J,NTPCM
A3,21,32.8220261,200,600,0.268596035,J,NTPCM
A3,22,33.2976488,200,600,0.278139648,J,NTPCM
A3,23,33.7661783,200,600,0.287833906,J,NTPCM
