Well,Reading,Temperature,A,B,Emission,Helix,Condition
D1,1,23.362723728,200,1000,0.141129229,I,Ecoli80
D1,2,23.834941696,200,1000,0.141784785,I,Ecoli80
D1,3,24.312550496,200,1000,0.142046104,I,Ecoli80
D1,4,24.780323392,200,1000,0.143070684,I,Ecoli80
D1,5,25.259350832,200,1000,0.144269131,I,Ecoli80
D1,6,25.728826096,200,1000,0.145552969,I,Ecoli80
D1,7,26.196977296,200,1000,0.145875322,I,Ecoli80
D1,8,26.674680672,200,1000,0.147133564,I,Ecoli80
D1,9,27.145385424,200,1000,0.148418379,I,Ecoli80
D1,10,27.619116608,200,1000,0.149713682,I,Ecoli80
D1,11,28.090577968,200,1000,0.151221582,I,Ecoli80
D1,12,28.564971184,200,1000,0.152277939,I,Ecoli80
D1,13,29.036432544,200,1000,0.153833369,I,Ecoli80
D1,14,29.509028816,200,1000,0.155274502,I,Ecoli80
D1,15,29.984840672,200,1000,0.156681533,I,Ecoli80
D1,16,30.451762384,200,1000,0.158179814,I,Ecoli80
D1,17,30.92899288,200,1000,0.159963945,I,Ecoli80
D1,18,31.398846448,200,1000,0.161494111,I,Ecoli80
D1,19,31.869172896,200,1000,0.163416777,I,Ecoli80
D1,20,32.34574136,200,1000,0.164867559,I,Ecoli80
D1,21,32.820134576,200,1000,0.166778887,I,Ecoli80
D1,22,33.291217632,200,1000,0.16861,I,Ecoli80
D1,23,33.768258976,200,1000,0.170537656,I,Ecoli80
D1,24,34.24955624,200,1000,0.173209512,I,Ecoli80
D1,25,34.710330512,200,1000,0.175063105,I,Ecoli80
D1,26,35.18585864,200,1000,0.177219141,I,Ecoli80
D1,27,35.658171184,200,1000,0.17983623,I,Ecoli80
D1,28,36.131429488,200,1000,0.182401191,I,Ecoli80
D1,29,36.604120336,200,1000,0.185474512,I,Ecoli80
D1,30,37.075865424,200,1000,0.188454141,I,Ecoli80
D1,31,37.547326784,200,1000,0.191644473,I,Ecoli80
D1,32,38.02077424,200,1000,0.194633242,I,Ecoli80
D1,33,38.495451184,200,1000,0.197414375,I,Ecoli80
D1,34,38.968331184,200,1000,0.201115254,I,Ecoli80
D1,35,39.440549152,200,1000,0.204304707,I,Ecoli80
D1,36,39.911726784,200,1000,0.208261562,I,Ecoli80
D1,37,40.386876608,200,1000,0.212745664,I,Ecoli80
D1,38,40.858148816,200,1000,0.216572949,I,Ecoli80
D1,39,41.331028816,200,1000,0.220917246,I,Ecoli80
D1,40,41.803057632,200,1000,0.225946035,I,Ecoli80
D1,41,42.278491184,200,1000,0.229116914,I,Ecoli80
D1,42,42.750141696,200,1000,0.235523281,I,Ecoli80
D1,43,43.22245424,200,1000,0.240103301,I,Ecoli80
D1,44,43.696942032,200,1000,0.244933672,I,Ecoli80
D1,45,44.168403392,200,1000,0.249325859,I,Ecoli80
D1,46,44.640432208,200,1000,0.25533957,I,Ecoli80
D1,47,45.114257968,200,1000,0.260136152,I,Ecoli80
D1,48,45.588083728,200,1000,0.265030234,I,Ecoli80
D1,49,46.058599328,200,1000,0.27155084,I,Ecoli80
D1,50,46.535640672,200,1000,0.277462383,I,Ecoli80
D1,51,47.005210512,200,1000,0.28324334,I,Ecoli80
D1,52,47.480927792,200,1000,0.288788398,I,Ecoli80
D1,53,47.952483728,200,1000,0.293989824,I,Ecoli80
D1,54,48.424985424,200,1000,0.299641875,I,Ecoli80
D1,55,48.89654136,200,1000,0.30592,I,Ecoli80
D1,56,49.370272544,200,1000,0.311849199,I,Ecoli80
D1,57,49.842206784,200,1000,0.318172617,I,Ecoli80
D1,58,50.314330176,200,1000,0.324408535,I,Ecoli80
D1,59,50.788345088,200,1000,0.332145352,I,Ecoli80
D1,60,51.26094136,200,1000,0.340266094,I,Ecoli80
D1,61,51.734577968,200,1000,0.346877148,I,Ecoli80
D1,62,52.206890512,200,1000,0.355268125,I,Ecoli80
D1,63,52.681851184,200,1000,0.364084531,I,Ecoli80
D1,64,53.153312544,200,1000,0.37185125,I,Ecoli80
D1,65,53.628935248,200,1000,0.381454414,I,Ecoli80
D1,66,54.097653904,200,1000,0.389984883,I,Ecoli80
D1,67,54.57299288,200,1000,0.400799258,I,Ecoli80
D1,68,55.045021696,200,1000,0.410284688,I,Ecoli80
D1,69,55.519036608,200,1000,0.420956758,I,Ecoli80
D1,70,55.989930512,200,1000,0.432087461,I,Ecoli80
D1,71,56.464323728,200,1000,0.442082656,I,Ecoli80
D1,72,56.934933904,200,1000,0.452077109,I,Ecoli80
D1,73,57.408097632,200,1000,0.465418828,I,Ecoli80
D1,74,57.883436608,200,1000,0.476997578,I,Ecoli80
D1,75,58.353857632,200,1000,0.48879418,I,Ecoli80
D1,76,58.827872544,200,1000,0.502949805,I,Ecoli80
D1,77,59.301698304,200,1000,0.516641641,I,Ecoli80
D1,78,59.774294576,200,1000,0.532219141,I,Ecoli80
D1,79,60.246228816,200,1000,0.547137227,I,Ecoli80
D1,80,60.718257632,200,1000,0.563943164,I,Ecoli80
