Sample description: RNA3
Sample: RNA3 c= 0.1 Code: Nov22
Subtracted from raw files: "C:\Data\Guanine-aptamer-Nov22\25mMMg-RNA-rep1_0006.img" "C:\Data\Guanine-aptamer-Nov22\25mMMg-buf-rep1_0003.img"
Processed by SAXSLab Tue Nov 23 16:13:29 2021
BeamCenter_X: 754.063 BeamCenter_Y: 199.402
Exposure time (sec): 3600
Pin diode (mean): 5.7047e-08
==============================================
0.00340554 0.0001 0
0.00421663 0.0001 0
0.00502772 0.0001 0
0.00583881 0.0001 0
0.0066499 0.0001 0
0.00746099 0.0001 0
0.00827207 0.0001 0
0.00908316 0.0001 0
0.00989425 1.51179 1.92328
0.0107053 1.81402 0.492172
0.0115164 1.63529 0.195731
0.0123275 1.38066 0.125123
0.0131386 1.54176 0.0922031
0.0139497 1.50751 0.0904331
0.0147608 1.43682 0.0860728
0.0155719 1.30419 0.0851197
0.016383 1.3088 0.0664731
0.017194 1.34654 0.0679954
0.0180051 1.33572 0.0703443
0.0188162 1.2386 0.0648551
0.0196273 1.25353 0.0602913
0.0204384 1.24631 0.0549981
0.0212495 1.36826 0.0562674
0.0220606 1.2473 0.0489551
0.0228717 1.1617 0.0534761
0.0236828 1.15647 0.0552533
0.0244938 1.24623 0.0450515
0.0253049 1.07639 0.0466685
0.026116 1.06405 0.0470981
0.0269271 1.10006 0.0449551
0.0277382 1.04359 0.0476176
0.0285493 1.0319 0.0440347
0.0293604 1.11064 0.0450102
0.0301715 1.01325 0.0457483
0.0309825 1.05205 0.04178
0.0317936 0.949091 0.0456737
0.0326047 0.986216 0.0405783
0.0334158 0.945877 0.0412715
0.0342269 0.975561 0.0437537
0.035038 0.895326 0.0359541
0.0358491 0.94258 0.0402297
0.0366602 0.833606 0.0380532
0.0374713 0.947493 0.0370523
0.0382823 0.909467 0.0357072
0.0390934 0.914558 0.0341151
0.0399045 0.922154 0.0372669
0.0407156 0.811793 0.0353041
0.0415267 0.888791 0.0357489
0.0423378 0.785111 0.0361675
0.0431489 0.791034 0.0362041
0.04396 0.781935 0.0362338
0.044771 0.729816 0.0357873
0.0455821 0.740057 0.0322279
0.0463932 0.775794 0.0321789
0.0472043 0.681728 0.0313086
0.0480154 0.720015 0.0332969
0.0488265 0.679299 0.0295934
0.0496376 0.731956 0.0318726
0.0504487 0.632988 0.0317662
0.0512598 0.61808 0.0290792
0.0520708 0.689368 0.0302743
0.0528819 0.61491 0.0296567
0.053693 0.665602 0.0307618
0.0545041 0.603751 0.0309154
0.0553152 0.610153 0.0288778
0.0561263 0.579753 0.0303324
0.0569374 0.502058 0.0293566
0.0577485 0.552483 0.0295282
0.0585596 0.569937 0.0299942
0.0593706 0.524627 0.0280195
0.0601817 0.566454 0.027842
0.0609928 0.544527 0.0268784
0.0618039 0.535748 0.0271344
0.062615 0.534629 0.0261705
0.0634261 0.503974 0.0255928
0.0642372 0.467047 0.0266888
0.0650483 0.477918 0.0260347
0.0658593 0.465042 0.0256903
0.0666704 0.473431 0.0265307
0.0674815 0.439327 0.0253636
0.0682926 0.413236 0.0258493
0.0691037 0.445152 0.0252086
0.0699148 0.429554 0.0255837
0.0707259 0.438989 0.025579
0.071537 0.405684 0.0243878
0.0723481 0.399432 0.0249025
0.0731591 0.407434 0.0247362
0.0739702 0.362988 0.0250717
0.0747813 0.377295 0.0260753
0.0755924 0.382498 0.0241402
0.0764035 0.377766 0.023677
0.0772146 0.345461 0.0232129
0.0780257 0.35073 0.0234128
0.0788368 0.348735 0.0239209
0.0796478 0.370071 0.0224841
0.0804589 0.355662 0.024087
0.08127 0.334102 0.0234747
0.0820811 0.345251 0.0227342
0.0828922 0.342831 0.023654
0.0837033 0.280073 0.0228683
