# Chi2 Rg SupportVolume
2.95471e+05 1.49805e+02 1.13952e+07
1.72707e+01 1.51207e+02 1.13952e+07
1.70873e+01 1.51252e+02 1.13952e+07
1.69128e+01 1.50947e+02 1.13952e+07
1.67445e+01 1.50676e+02 1.13952e+07
1.65818e+01 1.50544e+02 1.13952e+07
1.64230e+01 1.50488e+02 1.13952e+07
1.62679e+01 1.50513e+02 1.13952e+07
1.61166e+01 1.50586e+02 1.13952e+07
1.59690e+01 1.50686e+02 1.13952e+07
1.58254e+01 1.50818e+02 1.13952e+07
1.56853e+01 1.50947e+02 1.13952e+07
1.55485e+01 1.51099e+02 1.13952e+07
1.54139e+01 1.51265e+02 1.13952e+07
1.52814e+01 1.51430e+02 1.13952e+07
1.51506e+01 1.51580e+02 1.13952e+07
1.50216e+01 1.51721e+02 1.13952e+07
1.48945e+01 1.51854e+02 1.13952e+07
1.47691e+01 1.51983e+02 1.13952e+07
1.46455e+01 1.52112e+02 1.13952e+07
1.45243e+01 1.52239e+02 1.13952e+07
1.44046e+01 1.52360e+02 1.13952e+07
1.42870e+01 1.52481e+02 1.13952e+07
1.41712e+01 1.52603e+02 1.13952e+07
1.40575e+01 1.52721e+02 1.13952e+07
1.39460e+01 1.52839e+02 1.13952e+07
1.38365e+01 1.52956e+02 1.13952e+07
1.37284e+01 1.53068e+02 1.13952e+07
1.36219e+01 1.53176e+02 1.13952e+07
1.35170e+01 1.53281e+02 1.13952e+07
1.34135e+01 1.53381e+02 1.13952e+07
1.33112e+01 1.53477e+02 1.13952e+07
1.32104e+01 1.53570e+02 1.13952e+07
1.31112e+01 1.53663e+02 1.13952e+07
1.30136e+01 1.53753e+02 1.13952e+07
1.29173e+01 1.53843e+02 1.13952e+07
1.28223e+01 1.53931e+02 1.13952e+07
1.27282e+01 1.54016e+02 1.13952e+07
1.26350e+01 1.54097e+02 1.13952e+07
1.25427e+01 1.54174e+02 1.13952e+07
1.24516e+01 1.54248e+02 1.13952e+07
1.23616e+01 1.54320e+02 1.13952e+07
1.22728e+01 1.54389e+02 1.13952e+07
1.21852e+01 1.54455e+02 1.13952e+07
1.20989e+01 1.54519e+02 1.13952e+07
1.20136e+01 1.54578e+02 1.13952e+07
1.19292e+01 1.54634e+02 1.13952e+07
1.18457e+01 1.54688e+02 1.13952e+07
1.17631e+01 1.54738e+02 1.13952e+07
1.16812e+01 1.54785e+02 1.13952e+07
1.16000e+01 1.54830e+02 1.13952e+07
1.15200e+01 1.54874e+02 1.13952e+07
1.14409e+01 1.54915e+02 1.13952e+07
1.13628e+01 1.54953e+02 1.13952e+07
1.12855e+01 1.54989e+02 1.13952e+07
1.12090e+01 1.55024e+02 1.13952e+07
1.11328e+01 1.55056e+02 1.13952e+07
1.10573e+01 1.55085e+02 1.13952e+07
1.09828e+01 1.55112e+02 1.13952e+07
1.09091e+01 1.55137e+02 1.13952e+07
1.08360e+01 1.55161e+02 1.13952e+07
1.07635e+01 1.55183e+02 1.13952e+07
1.06914e+01 1.55203e+02 1.13952e+07
1.06201e+01 1.55220e+02 1.13952e+07
1.05495e+01 1.55236e+02 1.13952e+07
1.04795e+01 1.55251e+02 1.13952e+07
1.04101e+01 1.55265e+02 1.13952e+07
1.03415e+01 1.55277e+02 1.13952e+07
1.02737e+01 1.55288e+02 1.13952e+07
1.02063e+01 1.55297e+02 1.13952e+07
1.01395e+01 1.55303e+02 1.13952e+07
1.00732e+01 1.55309e+02 1.13952e+07
1.00074e+01 1.55313e+02 1.13952e+07
9.94198e+00 1.55316e+02 1.13952e+07
9.87695e+00 1.55318e+02 1.13952e+07
9.81243e+00 1.55318e+02 1.13952e+07
9.74817e+00 1.55317e+02 1.13952e+07
9.68423e+00 1.55314e+02 1.13952e+07
9.62083e+00 1.55311e+02 1.13952e+07
9.55794e+00 1.55306e+02 1.13952e+07
9.49563e+00 1.55300e+02 1.13952e+07
9.43391e+00 1.55292e+02 1.13952e+07
9.37282e+00 1.55283e+02 1.13952e+07
9.31235e+00 1.55272e+02 1.13952e+07
9.25245e+00 1.55260e+02 1.13952e+07
9.19304e+00 1.55248e+02 1.13952e+07
9.13426e+00 1.55235e+02 1.13952e+07
9.07586e+00 1.55221e+02 1.13952e+07
9.01807e+00 1.55206e+02 1.13952e+07
8.96079e+00 1.55190e+02 1.13952e+07
8.90393e+00 1.55173e+02 1.13952e+07
8.84747e+00 1.55155e+02 1.13952e+07
8.79152e+00 1.55136e+02 1.13952e+07
8.73612e+00 1.55116e+02 1.13952e+07
8.68105e+00 1.55095e+02 1.13952e+07
8.62653e+00 1.55074e+02 1.13952e+07
8.57260e+00 1.55052e+02 1.13952e+07
8.51911e+00 1.55029e+02 1.13952e+07
8.46624e+00 1.55006e+02 1.13952e+07
8.41362e+00 1.54982e+02 1.13952e+07
8.36130e+00 1.54958e+02 1.13952e+07
8.30956e+00 1.54932e+02 1.13952e+07
8.25830e+00 1.54906e+02 1.13952e+07
8.20746e+00 1.54880e+02 1.13952e+07
8.15705e+00 1.54853e+02 1.13952e+07
8.10699e+00 1.54826e+02 1.13952e+07
8.05722e+00 1.54798e+02 1.13952e+07
8.00774e+00 1.54770e+02 1.13952e+07
7.95853e+00 1.54742e+02 1.13952e+07
7.90973e+00 1.54712e+02 1.13952e+07
7.86116e+00 1.54683e+02 1.13952e+07
7.81290e+00 1.54652e+02 1.13952e+07
7.76501e+00 1.54622e+02 1.13952e+07
7.71758e+00 1.54592e+02 1.13952e+07
7.67051e+00 1.54561e+02 1.13952e+07
7.62397e+00 1.54530e+02 1.13952e+07
7.57784e+00 1.54498e+02 1.13952e+07
7.53201e+00 1.54466e+02 1.13952e+07
7.48643e+00 1.54433e+02 1.13952e+07
7.44112e+00 1.54400e+02 1.13952e+07
7.39603e+00 1.54367e+02 1.13952e+07
7.35133e+00 1.54333e+02 1.13952e+07
7.30703e+00 1.54299e+02 1.13952e+07
7.26303e+00 1.54265e+02 1.13952e+07
7.21932e+00 1.54231e+02 1.13952e+07
7.17600e+00 1.54196e+02 1.13952e+07
7.13310e+00 1.54162e+02 1.13952e+07
7.09062e+00 1.54127e+02 1.13952e+07
7.04852e+00 1.54092e+02 1.13952e+07
7.00675e+00 1.54057e+02 1.13952e+07
6.96533e+00 1.54021e+02 1.13952e+07
6.92418e+00 1.53985e+02 1.13952e+07
6.88320e+00 1.53949e+02 1.13952e+07
6.84240e+00 1.53913e+02 1.13952e+07
6.80196e+00 1.53876e+02 1.13952e+07
6.76195e+00 1.53839e+02 1.13952e+07
6.72216e+00 1.53802e+02 1.13952e+07
6.68252e+00 1.53764e+02 1.13952e+07
6.64304e+00 1.53725e+02 1.13952e+07
6.60373e+00 1.53687e+02 1.13952e+07
6.56484e+00 1.53648e+02 1.13952e+07
6.52626e+00 1.53610e+02 1.13952e+07
6.48793e+00 1.53571e+02 1.13952e+07
6.44996e+00 1.53533e+02 1.13952e+07
6.41235e+00 1.53494e+02 1.13952e+07
6.37499e+00 1.53455e+02 1.13952e+07
6.33790e+00 1.53415e+02 1.13952e+07
6.30109e+00 1.53375e+02 1.13952e+07
6.26444e+00 1.53335e+02 1.13952e+07
6.22803e+00 1.53295e+02 1.13952e+07
6.19191e+00 1.53255e+02 1.13952e+07
6.15603e+00 1.53214e+02 1.13952e+07
6.12034e+00 1.53173e+02 1.13952e+07
6.08491e+00 1.53132e+02 1.13952e+07
6.04979e+00 1.53091e+02 1.13952e+07
6.01497e+00 1.53050e+02 1.13952e+07
5.98034e+00 1.53009e+02 1.13952e+07
5.94586e+00 1.52968e+02 1.13952e+07
5.91159e+00 1.52926e+02 1.13952e+07
5.87767e+00 1.52885e+02 1.13952e+07
5.84410e+00 1.52844e+02 1.13952e+07
5.81077e+00 1.52803e+02 1.13952e+07
5.77773e+00 1.52762e+02 1.13952e+07
5.74497e+00 1.52721e+02 1.13952e+07
5.71246e+00 1.52680e+02 1.13952e+07
5.68018e+00 1.52638e+02 1.13952e+07
5.64808e+00 1.52597e+02 1.13952e+07
5.61630e+00 1.52555e+02 1.13952e+07
5.58480e+00 1.52513e+02 1.13952e+07
5.55350e+00 1.52472e+02 1.13952e+07
5.52242e+00 1.52431e+02 1.13952e+07
5.49164e+00 1.52389e+02 1.13952e+07
5.46122e+00 1.52348e+02 1.13952e+07
5.43110e+00 1.52306e+02 1.13952e+07
5.40122e+00 1.52265e+02 1.13952e+07
5.37164e+00 1.52224e+02 1.13952e+07
5.34234e+00 1.52182e+02 1.13952e+07
5.31318e+00 1.52141e+02 1.13952e+07
5.28418e+00 1.52099e+02 1.13952e+07
5.25529e+00 1.52057e+02 1.13952e+07
5.22657e+00 1.52015e+02 1.13952e+07
5.19805e+00 1.51973e+02 1.13952e+07
5.16960e+00 1.51930e+02 1.13952e+07
5.14140e+00 1.51888e+02 1.13952e+07
5.11344e+00 1.51846e+02 1.13952e+07
5.08560e+00 1.51804e+02 1.13952e+07
5.05797e+00 1.51762e+02 1.13952e+07
5.03058e+00 1.51720e+02 1.13952e+07
5.00345e+00 1.51677e+02 1.13952e+07
4.97652e+00 1.51635e+02 1.13952e+07
4.94978e+00 1.51592e+02 1.13952e+07
4.92320e+00 1.51550e+02 1.13952e+07
4.89677e+00 1.51507e+02 1.13952e+07
4.87048e+00 1.51464e+02 1.13952e+07
4.84437e+00 1.51422e+02 1.13952e+07
4.81848e+00 1.51379e+02 1.13952e+07
4.79286e+00 1.51337e+02 1.13952e+07
4.76744e+00 1.51294e+02 1.13952e+07
4.74212e+00 1.51251e+02 1.13952e+07
4.71686e+00 1.51208e+02 1.13952e+07
4.69171e+00 1.51165e+02 1.13952e+07
