# Chi2 Rg SupportVolume
1.44270e+05 8.09253e+01 9.00930e+06
1.05919e+01 7.14450e+01 9.00930e+06
1.04397e+01 7.19272e+01 9.00930e+06
1.02948e+01 7.41586e+01 9.00930e+06
1.01566e+01 7.65388e+01 9.00930e+06
1.00253e+01 7.86767e+01 9.00930e+06
9.90000e+00 8.06409e+01 9.00930e+06
9.78091e+00 8.24151e+01 9.00930e+06
9.66770e+00 8.40265e+01 9.00930e+06
9.55934e+00 8.55288e+01 9.00930e+06
9.45469e+00 8.69288e+01 9.00930e+06
9.35412e+00 8.82047e+01 9.00930e+06
9.25688e+00 8.93980e+01 9.00930e+06
9.16258e+00 9.05034e+01 9.00930e+06
9.07157e+00 9.15192e+01 9.00930e+06
8.98353e+00 9.24643e+01 9.00930e+06
8.89821e+00 9.33433e+01 9.00930e+06
8.81554e+00 9.41552e+01 9.00930e+06
8.73553e+00 9.48999e+01 9.00930e+06
8.65794e+00 9.56008e+01 9.00930e+06
8.58284e+00 9.62550e+01 9.00930e+06
8.51007e+00 9.68655e+01 9.00930e+06
8.43905e+00 9.74357e+01 9.00930e+06
8.36981e+00 9.79729e+01 9.00930e+06
8.30208e+00 9.84810e+01 9.00930e+06
8.23603e+00 9.89643e+01 9.00930e+06
8.17201e+00 9.94211e+01 9.00930e+06
8.10994e+00 9.98542e+01 9.00930e+06
8.04968e+00 1.00270e+02 9.00930e+06
7.99131e+00 1.00669e+02 9.00930e+06
7.93427e+00 1.01051e+02 9.00930e+06
7.87858e+00 1.01416e+02 9.00930e+06
7.82397e+00 1.01768e+02 9.00930e+06
7.77091e+00 1.02109e+02 9.00930e+06
7.71933e+00 1.02437e+02 9.00930e+06
7.66908e+00 1.02750e+02 9.00930e+06
7.62050e+00 1.03052e+02 9.00930e+06
7.57325e+00 1.03348e+02 9.00930e+06
7.52717e+00 1.03635e+02 9.00930e+06
7.48245e+00 1.03913e+02 9.00930e+06
7.43897e+00 1.04179e+02 9.00930e+06
7.39667e+00 1.04432e+02 9.00930e+06
7.35556e+00 1.04674e+02 9.00930e+06
7.31539e+00 1.04908e+02 9.00930e+06
7.27645e+00 1.05138e+02 9.00930e+06
7.23860e+00 1.05361e+02 9.00930e+06
7.20184e+00 1.05573e+02 9.00930e+06
7.16599e+00 1.05776e+02 9.00930e+06
7.13109e+00 1.05974e+02 9.00930e+06
7.09706e+00 1.06167e+02 9.00930e+06
7.06397e+00 1.06357e+02 9.00930e+06
7.03161e+00 1.06542e+02 9.00930e+06
7.00011e+00 1.06719e+02 9.00930e+06
6.96952e+00 1.06890e+02 9.00930e+06
6.93942e+00 1.07058e+02 9.00930e+06
6.90998e+00 1.07221e+02 9.00930e+06
6.88114e+00 1.07380e+02 9.00930e+06
6.85285e+00 1.07534e+02 9.00930e+06
6.82524e+00 1.07685e+02 9.00930e+06
6.79827e+00 1.07831e+02 9.00930e+06
6.77171e+00 1.07973e+02 9.00930e+06
6.74565e+00 1.08112e+02 9.00930e+06
6.72011e+00 1.08248e+02 9.00930e+06
6.69509e+00 1.08380e+02 9.00930e+06
6.67050e+00 1.08509e+02 9.00930e+06
6.64633e+00 1.08636e+02 9.00930e+06
6.62279e+00 1.08760e+02 9.00930e+06
6.59978e+00 1.08879e+02 9.00930e+06
6.57715e+00 1.08996e+02 9.00930e+06
6.55487e+00 1.09111e+02 9.00930e+06
6.53282e+00 1.09223e+02 9.00930e+06
6.51102e+00 1.09332e+02 9.00930e+06
6.48956e+00 1.09439e+02 9.00930e+06
6.46834e+00 1.09546e+02 9.00930e+06
6.44738e+00 1.09650e+02 9.00930e+06
