# Chi2 Rg SupportVolume
4.17833e+04 9.80186e+01 7.55261e+06
3.20318e+00 9.81414e+01 7.55261e+06
3.17931e+00 9.91448e+01 7.55261e+06
3.15510e+00 1.00016e+02 7.55261e+06
3.13056e+00 1.00948e+02 7.55261e+06
3.10588e+00 1.01673e+02 7.55261e+06
3.08097e+00 1.02227e+02 7.55261e+06
3.05613e+00 1.02590e+02 7.55261e+06
3.03143e+00 1.02779e+02 7.55261e+06
3.00709e+00 1.02844e+02 7.55261e+06
2.98328e+00 1.02833e+02 7.55261e+06
2.95997e+00 1.02776e+02 7.55261e+06
2.93718e+00 1.02691e+02 7.55261e+06
2.91489e+00 1.02579e+02 7.55261e+06
2.89297e+00 1.02452e+02 7.55261e+06
2.87147e+00 1.02312e+02 7.55261e+06
2.85023e+00 1.02157e+02 7.55261e+06
2.82937e+00 1.02005e+02 7.55261e+06
2.80882e+00 1.01861e+02 7.55261e+06
2.78864e+00 1.01709e+02 7.55261e+06
2.76887e+00 1.01560e+02 7.55261e+06
2.74953e+00 1.01419e+02 7.55261e+06
2.73051e+00 1.01281e+02 7.55261e+06
2.71197e+00 1.01149e+02 7.55261e+06
2.69376e+00 1.01025e+02 7.55261e+06
2.67594e+00 1.00904e+02 7.55261e+06
2.65851e+00 1.00788e+02 7.55261e+06
2.64137e+00 1.00681e+02 7.55261e+06
2.62451e+00 1.00579e+02 7.55261e+06
2.60790e+00 1.00482e+02 7.55261e+06
2.59152e+00 1.00386e+02 7.55261e+06
2.57549e+00 1.00292e+02 7.55261e+06
2.55975e+00 1.00202e+02 7.55261e+06
2.54427e+00 1.00119e+02 7.55261e+06
2.52901e+00 1.00043e+02 7.55261e+06
2.51399e+00 9.99682e+01 7.55261e+06
2.49921e+00 9.98948e+01 7.55261e+06
2.48464e+00 9.98258e+01 7.55261e+06
2.47025e+00 9.97599e+01 7.55261e+06
2.45604e+00 9.96956e+01 7.55261e+06
2.44205e+00 9.96335e+01 7.55261e+06
2.42832e+00 9.95731e+01 7.55261e+06
2.41477e+00 9.95132e+01 7.55261e+06
2.40146e+00 9.94525e+01 7.55261e+06
2.38834e+00 9.93921e+01 7.55261e+06
2.37547e+00 9.93330e+01 7.55261e+06
2.36280e+00 9.92744e+01 7.55261e+06
2.35035e+00 9.92144e+01 7.55261e+06
2.33801e+00 9.91570e+01 7.55261e+06
2.32584e+00 9.91024e+01 7.55261e+06
2.31382e+00 9.90490e+01 7.55261e+06
2.30193e+00 9.89990e+01 7.55261e+06
2.29017e+00 9.89505e+01 7.55261e+06
2.27853e+00 9.89005e+01 7.55261e+06
2.26703e+00 9.88493e+01 7.55261e+06
2.25567e+00 9.87980e+01 7.55261e+06
2.24445e+00 9.87481e+01 7.55261e+06
2.23334e+00 9.86991e+01 7.55261e+06
2.22235e+00 9.86502e+01 7.55261e+06
2.21150e+00 9.86004e+01 7.55261e+06
2.20081e+00 9.85504e+01 7.55261e+06
2.19028e+00 9.85019e+01 7.55261e+06
2.17984e+00 9.84533e+01 7.55261e+06
2.16950e+00 9.84056e+01 7.55261e+06
2.15928e+00 9.83587e+01 7.55261e+06
2.14913e+00 9.83127e+01 7.55261e+06
2.13909e+00 9.82686e+01 7.55261e+06
2.12922e+00 9.82240e+01 7.55261e+06
2.11942e+00 9.81804e+01 7.55261e+06
2.10972e+00 9.81375e+01 7.55261e+06
2.10008e+00 9.80952e+01 7.55261e+06
2.09056e+00 9.80533e+01 7.55261e+06
2.08116e+00 9.80116e+01 7.55261e+06
2.07188e+00 9.79706e+01 7.55261e+06
2.06272e+00 9.79303e+01 7.55261e+06
2.05367e+00 9.78904e+01 7.55261e+06
2.04471e+00 9.78504e+01 7.55261e+06
2.03584e+00 9.78099e+01 7.55261e+06
2.02706e+00 9.77683e+01 7.55261e+06
2.01836e+00 9.77270e+01 7.55261e+06
2.00977e+00 9.76873e+01 7.55261e+06
2.00126e+00 9.76470e+01 7.55261e+06
1.99283e+00 9.76073e+01 7.55261e+06
1.98445e+00 9.75682e+01 7.55261e+06
1.97615e+00 9.75291e+01 7.55261e+06
1.96792e+00 9.74898e+01 7.55261e+06
1.95973e+00 9.74503e+01 7.55261e+06
1.95161e+00 9.74106e+01 7.55261e+06
1.94360e+00 9.73705e+01 7.55261e+06
1.93567e+00 9.73305e+01 7.55261e+06
1.92779e+00 9.72911e+01 7.55261e+06
1.91997e+00 9.72518e+01 7.55261e+06
1.91223e+00 9.72122e+01 7.55261e+06
1.90454e+00 9.71722e+01 7.55261e+06
1.89691e+00 9.71326e+01 7.55261e+06
1.88937e+00 9.70935e+01 7.55261e+06
1.88190e+00 9.70544e+01 7.55261e+06
1.87449e+00 9.70158e+01 7.55261e+06
1.86719e+00 9.69768e+01 7.55261e+06
1.85998e+00 9.69378e+01 7.55261e+06
1.85283e+00 9.68992e+01 7.55261e+06
1.84575e+00 9.68616e+01 7.55261e+06
1.83878e+00 9.68245e+01 7.55261e+06
1.83186e+00 9.67877e+01 7.55261e+06
1.82497e+00 9.67511e+01 7.55261e+06
1.81813e+00 9.67148e+01 7.55261e+06
1.81137e+00 9.66785e+01 7.55261e+06
1.80468e+00 9.66427e+01 7.55261e+06
1.79806e+00 9.66068e+01 7.55261e+06
1.79151e+00 9.65706e+01 7.55261e+06
1.78504e+00 9.65352e+01 7.55261e+06
1.77865e+00 9.65001e+01 7.55261e+06
1.77236e+00 9.64652e+01 7.55261e+06
1.76615e+00 9.64306e+01 7.55261e+06
1.75998e+00 9.63967e+01 7.55261e+06
1.75388e+00 9.63636e+01 7.55261e+06
1.74782e+00 9.63305e+01 7.55261e+06
1.74181e+00 9.62977e+01 7.55261e+06
1.73584e+00 9.62650e+01 7.55261e+06
1.72995e+00 9.62324e+01 7.55261e+06
1.72413e+00 9.62001e+01 7.55261e+06
1.71838e+00 9.61681e+01 7.55261e+06
1.71271e+00 9.61356e+01 7.55261e+06
1.70709e+00 9.61032e+01 7.55261e+06
1.70151e+00 9.60707e+01 7.55261e+06
1.69597e+00 9.60380e+01 7.55261e+06
1.69049e+00 9.60057e+01 7.55261e+06
1.68505e+00 9.59737e+01 7.55261e+06
1.67963e+00 9.59419e+01 7.55261e+06
1.67424e+00 9.59103e+01 7.55261e+06
1.66892e+00 9.58794e+01 7.55261e+06
1.66368e+00 9.58483e+01 7.55261e+06
1.65848e+00 9.58170e+01 7.55261e+06
1.65333e+00 9.57862e+01 7.55261e+06
1.64822e+00 9.57554e+01 7.55261e+06
1.64315e+00 9.57250e+01 7.55261e+06
1.63811e+00 9.56949e+01 7.55261e+06
1.63311e+00 9.56652e+01 7.55261e+06
1.62816e+00 9.56363e+01 7.55261e+06
1.62326e+00 9.56074e+01 7.55261e+06
1.61840e+00 9.55789e+01 7.55261e+06
1.61356e+00 9.55505e+01 7.55261e+06
1.60875e+00 9.55226e+01 7.55261e+06
1.60398e+00 9.54943e+01 7.55261e+06
1.59924e+00 9.54664e+01 7.55261e+06
1.59453e+00 9.54390e+01 7.55261e+06
1.58986e+00 9.54114e+01 7.55261e+06
1.58523e+00 9.53839e+01 7.55261e+06
1.58064e+00 9.53564e+01 7.55261e+06
1.57606e+00 9.53291e+01 7.55261e+06
1.57150e+00 9.53017e+01 7.55261e+06
1.56697e+00 9.52741e+01 7.55261e+06
1.56246e+00 9.52466e+01 7.55261e+06
1.55799e+00 9.52191e+01 7.55261e+06
1.55355e+00 9.51915e+01 7.55261e+06
1.54914e+00 9.51642e+01 7.55261e+06
1.54478e+00 9.51375e+01 7.55261e+06
1.54046e+00 9.51115e+01 7.55261e+06
1.53618e+00 9.50858e+01 7.55261e+06
1.53194e+00 9.50606e+01 7.55261e+06
1.52775e+00 9.50354e+01 7.55261e+06
1.52363e+00 9.50107e+01 7.55261e+06
1.51953e+00 9.49865e+01 7.55261e+06
1.51545e+00 9.49622e+01 7.55261e+06
1.51138e+00 9.49380e+01 7.55261e+06
1.50734e+00 9.49145e+01 7.55261e+06
1.50337e+00 9.48913e+01 7.55261e+06
1.49944e+00 9.48686e+01 7.55261e+06
1.49554e+00 9.48462e+01 7.55261e+06
1.49168e+00 9.48236e+01 7.55261e+06
1.48784e+00 9.48014e+01 7.55261e+06
1.48403e+00 9.47793e+01 7.55261e+06
1.48026e+00 9.47577e+01 7.55261e+06
1.47651e+00 9.47367e+01 7.55261e+06
1.47281e+00 9.47159e+01 7.55261e+06
1.46915e+00 9.46950e+01 7.55261e+06
1.46551e+00 9.46745e+01 7.55261e+06
1.46189e+00 9.46541e+01 7.55261e+06
1.45827e+00 9.46338e+01 7.55261e+06
1.45470e+00 9.46142e+01 7.55261e+06
1.45116e+00 9.45948e+01 7.55261e+06
1.44765e+00 9.45756e+01 7.55261e+06
1.44418e+00 9.45564e+01 7.55261e+06
1.44077e+00 9.45376e+01 7.55261e+06
1.43738e+00 9.45191e+01 7.55261e+06
1.43401e+00 9.45008e+01 7.55261e+06
1.43069e+00 9.44825e+01 7.55261e+06
1.42739e+00 9.44644e+01 7.55261e+06
1.42412e+00 9.44466e+01 7.55261e+06
1.42088e+00 9.44293e+01 7.55261e+06
1.41767e+00 9.44122e+01 7.55261e+06
1.41447e+00 9.43953e+01 7.55261e+06
1.41128e+00 9.43785e+01 7.55261e+06
1.40810e+00 9.43616e+01 7.55261e+06
1.40494e+00 9.43447e+01 7.55261e+06
1.40178e+00 9.43277e+01 7.55261e+06
1.39864e+00 9.43109e+01 7.55261e+06
1.39552e+00 9.42942e+01 7.55261e+06
1.39243e+00 9.42775e+01 7.55261e+06
1.38936e+00 9.42608e+01 7.55261e+06
1.38632e+00 9.42442e+01 7.55261e+06
1.38329e+00 9.42275e+01 7.55261e+06
1.38027e+00 9.42108e+01 7.55261e+06
1.37727e+00 9.41942e+01 7.55261e+06
1.37428e+00 9.41776e+01 7.55261e+06
1.37131e+00 9.41610e+01 7.55261e+06
1.36835e+00 9.41446e+01 7.55261e+06
1.36540e+00 9.41284e+01 7.55261e+06
1.36248e+00 9.41120e+01 7.55261e+06
1.35956e+00 9.40953e+01 7.55261e+06
1.35667e+00 9.40786e+01 7.55261e+06
1.35379e+00 9.40619e+01 7.55261e+06
1.35093e+00 9.40452e+01 7.55261e+06
1.34809e+00 9.40286e+01 7.55261e+06
1.34527e+00 9.40123e+01 7.55261e+06
1.34248e+00 9.39960e+01 7.55261e+06
1.33970e+00 9.39799e+01 7.55261e+06
1.33695e+00 9.39637e+01 7.55261e+06
1.33421e+00 9.39475e+01 7.55261e+06
1.33148e+00 9.39314e+01 7.55261e+06
1.32876e+00 9.39155e+01 7.55261e+06
1.32607e+00 9.38996e+01 7.55261e+06
1.32340e+00 9.38839e+01 7.55261e+06
1.32076e+00 9.38680e+01 7.55261e+06
1.31815e+00 9.38521e+01 7.55261e+06
1.31557e+00 9.38364e+01 7.55261e+06
1.31300e+00 9.38207e+01 7.55261e+06
1.31044e+00 9.38052e+01 7.55261e+06
1.30790e+00 9.37896e+01 7.55261e+06
1.30537e+00 9.37740e+01 7.55261e+06
1.30287e+00 9.37583e+01 7.55261e+06
1.30037e+00 9.37426e+01 7.55261e+06
1.29789e+00 9.37268e+01 7.55261e+06
1.29542e+00 9.37110e+01 7.55261e+06
1.29296e+00 9.36952e+01 7.55261e+06
1.29052e+00 9.36791e+01 7.55261e+06
1.28809e+00 9.36630e+01 7.55261e+06
1.28567e+00 9.36468e+01 7.55261e+06
1.28325e+00 9.36305e+01 7.55261e+06
1.28083e+00 9.36142e+01 7.55261e+06
1.27843e+00 9.35982e+01 7.55261e+06
1.27605e+00 9.35822e+01 7.55261e+06
1.27368e+00 9.35662e+01 7.55261e+06
1.27134e+00 9.35501e+01 7.55261e+06
1.26901e+00 9.35342e+01 7.55261e+06
1.26669e+00 9.35182e+01 7.55261e+06
1.26438e+00 9.35022e+01 7.55261e+06
1.26209e+00 9.34862e+01 7.55261e+06
1.25981e+00 9.34704e+01 7.55261e+06
1.25755e+00 9.34545e+01 7.55261e+06
1.25530e+00 9.34385e+01 7.55261e+06
1.25305e+00 9.34225e+01 7.55261e+06
1.25082e+00 9.34066e+01 7.55261e+06
1.24860e+00 9.33906e+01 7.55261e+06
1.24639e+00 9.33745e+01 7.55261e+06
1.24419e+00 9.33584e+01 7.55261e+06
1.24200e+00 9.33422e+01 7.55261e+06
1.23983e+00 9.33262e+01 7.55261e+06
1.23767e+00 9.33102e+01 7.55261e+06
1.23551e+00 9.32941e+01 7.55261e+06
1.23339e+00 9.32780e+01 7.55261e+06
1.23129e+00 9.32619e+01 7.55261e+06
1.22920e+00 9.32457e+01 7.55261e+06
1.22711e+00 9.32295e+01 7.55261e+06
1.22505e+00 9.32136e+01 7.55261e+06
1.22300e+00 9.31977e+01 7.55261e+06
1.22095e+00 9.31817e+01 7.55261e+06
1.21892e+00 9.31657e+01 7.55261e+06
1.21689e+00 9.31498e+01 7.55261e+06
1.21487e+00 9.31339e+01 7.55261e+06
1.21288e+00 9.31180e+01 7.55261e+06
1.21089e+00 9.31020e+01 7.55261e+06
1.20892e+00 9.30863e+01 7.55261e+06
1.20696e+00 9.30706e+01 7.55261e+06
1.20501e+00 9.30547e+01 7.55261e+06
1.20307e+00 9.30388e+01 7.55261e+06
1.20114e+00 9.30229e+01 7.55261e+06
1.19922e+00 9.30070e+01 7.55261e+06
1.19731e+00 9.29912e+01 7.55261e+06
1.19541e+00 9.29753e+01 7.55261e+06
1.19352e+00 9.29593e+01 7.55261e+06
1.19164e+00 9.29432e+01 7.55261e+06
1.18978e+00 9.29271e+01 7.55261e+06
1.18794e+00 9.29109e+01 7.55261e+06
1.18611e+00 9.28946e+01 7.55261e+06
1.18430e+00 9.28782e+01 7.55261e+06
1.18249e+00 9.28618e+01 7.55261e+06
1.18069e+00 9.28452e+01 7.55261e+06
1.17890e+00 9.28286e+01 7.55261e+06
1.17711e+00 9.28119e+01 7.55261e+06
1.17534e+00 9.27954e+01 7.55261e+06
1.17357e+00 9.27787e+01 7.55261e+06
1.17182e+00 9.27621e+01 7.55261e+06
1.17007e+00 9.27452e+01 7.55261e+06
1.16834e+00 9.27282e+01 7.55261e+06
1.16661e+00 9.27112e+01 7.55261e+06
1.16489e+00 9.26940e+01 7.55261e+06
1.16318e+00 9.26767e+01 7.55261e+06
1.16149e+00 9.26596e+01 7.55261e+06
1.15982e+00 9.26423e+01 7.55261e+06
1.15815e+00 9.26248e+01 7.55261e+06
1.15650e+00 9.26074e+01 7.55261e+06
1.15484e+00 9.25898e+01 7.55261e+06
1.15319e+00 9.25722e+01 7.55261e+06
1.15155e+00 9.25545e+01 7.55261e+06
1.14992e+00 9.25366e+01 7.55261e+06
1.14829e+00 9.25186e+01 7.55261e+06
1.14667e+00 9.25007e+01 7.55261e+06
1.14507e+00 9.24828e+01 7.55261e+06
1.14348e+00 9.24647e+01 7.55261e+06
1.14188e+00 9.24466e+01 7.55261e+06
1.14030e+00 9.24283e+01 7.55261e+06
1.13871e+00 9.24099e+01 7.55261e+06
1.13714e+00 9.23914e+01 7.55261e+06
1.13558e+00 9.23727e+01 7.55261e+06
1.13401e+00 9.23539e+01 7.55261e+06
1.13246e+00 9.23351e+01 7.55261e+06
1.13091e+00 9.23164e+01 7.55261e+06
1.12937e+00 9.22976e+01 7.55261e+06
1.12783e+00 9.22786e+01 7.55261e+06
1.12630e+00 9.22595e+01 7.55261e+06
1.12476e+00 9.22403e+01 7.55261e+06
1.12324e+00 9.22212e+01 7.55261e+06
1.12173e+00 9.22019e+01 7.55261e+06
1.12022e+00 9.21825e+01 7.55261e+06
1.11871e+00 9.21629e+01 7.55261e+06
1.11720e+00 9.21431e+01 7.55261e+06
1.11570e+00 9.21232e+01 7.55261e+06
1.11420e+00 9.21031e+01 7.55261e+06
1.11272e+00 9.20829e+01 7.55261e+06
1.11124e+00 9.20626e+01 7.55261e+06
1.10977e+00 9.20422e+01 7.55261e+06
1.10829e+00 9.20217e+01 7.55261e+06
1.10682e+00 9.20011e+01 7.55261e+06
1.10535e+00 9.19805e+01 7.55261e+06
1.10390e+00 9.19598e+01 7.55261e+06
1.10244e+00 9.19393e+01 7.55261e+06
1.10100e+00 9.19186e+01 7.55261e+06
1.09955e+00 9.18978e+01 7.55261e+06
1.09811e+00 9.18768e+01 7.55261e+06
1.09667e+00 9.18559e+01 7.55261e+06
1.09524e+00 9.18349e+01 7.55261e+06
1.09382e+00 9.18140e+01 7.55261e+06
1.09240e+00 9.17930e+01 7.55261e+06
1.09098e+00 9.17718e+01 7.55261e+06
1.08957e+00 9.17505e+01 7.55261e+06
1.08816e+00 9.17292e+01 7.55261e+06
1.08677e+00 9.17078e+01 7.55261e+06
1.08539e+00 9.16865e+01 7.55261e+06
1.08402e+00 9.16651e+01 7.55261e+06
1.08265e+00 9.16436e+01 7.55261e+06
1.08129e+00 9.16220e+01 7.55261e+06
1.07994e+00 9.16002e+01 7.55261e+06
1.07859e+00 9.15783e+01 7.55261e+06
1.07725e+00 9.15564e+01 7.55261e+06
1.07591e+00 9.15344e+01 7.55261e+06
1.07457e+00 9.15122e+01 7.55261e+06
1.07324e+00 9.14900e+01 7.55261e+06
1.07192e+00 9.14676e+01 7.55261e+06
1.07061e+00 9.14449e+01 7.55261e+06
1.06929e+00 9.14220e+01 7.55261e+06
1.06798e+00 9.13989e+01 7.55261e+06
1.06667e+00 9.13756e+01 7.55261e+06
1.06538e+00 9.13523e+01 7.55261e+06
1.06408e+00 9.13289e+01 7.55261e+06
1.06280e+00 9.13055e+01 7.55261e+06
1.06152e+00 9.12820e+01 7.55261e+06
1.06025e+00 9.12584e+01 7.55261e+06
1.05899e+00 9.12348e+01 7.55261e+06
1.05774e+00 9.12110e+01 7.55261e+06
1.05650e+00 9.11871e+01 7.55261e+06
1.05526e+00 9.11632e+01 7.55261e+06
1.05403e+00 9.11392e+01 7.55261e+06
1.05280e+00 9.11151e+01 7.55261e+06
1.05158e+00 9.10908e+01 7.55261e+06
1.05036e+00 9.10665e+01 7.55261e+06
1.04914e+00 9.10420e+01 7.55261e+06
1.04792e+00 9.10174e+01 7.55261e+06
1.04671e+00 9.09927e+01 7.55261e+06
1.04550e+00 9.09677e+01 7.55261e+06
1.04428e+00 9.09426e+01 7.55261e+06
1.04307e+00 9.09173e+01 7.55261e+06
1.04185e+00 9.08918e+01 7.55261e+06
1.04064e+00 9.08662e+01 7.55261e+06
1.03944e+00 9.08406e+01 7.55261e+06
1.03824e+00 9.08149e+01 7.55261e+06
1.03705e+00 9.07890e+01 7.55261e+06
1.03586e+00 9.07631e+01 7.55261e+06
1.03467e+00 9.07370e+01 7.55261e+06
1.03349e+00 9.07107e+01 7.55261e+06
1.03231e+00 9.06844e+01 7.55261e+06
1.03113e+00 9.06580e+01 7.55261e+06
1.02996e+00 9.06313e+01 7.55261e+06
1.02879e+00 9.06046e+01 7.55261e+06
1.02763e+00 9.05779e+01 7.55261e+06
1.02649e+00 9.05512e+01 7.55261e+06
1.02535e+00 9.05241e+01 7.55261e+06
1.02422e+00 9.04970e+01 7.55261e+06
1.02309e+00 9.04697e+01 7.55261e+06
1.02196e+00 9.04422e+01 7.55261e+06
1.02084e+00 9.04146e+01 7.55261e+06
1.01973e+00 9.03868e+01 7.55261e+06
1.01861e+00 9.03588e+01 7.55261e+06
1.01750e+00 9.03308e+01 7.55261e+06
1.01639e+00 9.03026e+01 7.55261e+06
1.01528e+00 9.02742e+01 7.55261e+06
1.01417e+00 9.02458e+01 7.55261e+06
1.01306e+00 9.02172e+01 7.55261e+06
1.01196e+00 9.01886e+01 7.55261e+06
1.01086e+00 9.01598e+01 7.55261e+06
1.00976e+00 9.01308e+01 7.55261e+06
1.00866e+00 9.01017e+01 7.55261e+06
1.00755e+00 9.00724e+01 7.55261e+06
1.00645e+00 9.00429e+01 7.55261e+06
1.00535e+00 9.00132e+01 7.55261e+06
1.00426e+00 8.99834e+01 7.55261e+06
1.00317e+00 8.99534e+01 7.55261e+06
1.00207e+00 8.99233e+01 7.55261e+06
1.00098e+00 8.98930e+01 7.55261e+06
9.99891e-01 8.98628e+01 7.55261e+06
9.98803e-01 8.98324e+01 7.55261e+06
9.97717e-01 8.98018e+01 7.55261e+06
9.96632e-01 8.97711e+01 7.55261e+06
9.95554e-01 8.97403e+01 7.55261e+06
9.94478e-01 8.97094e+01 7.55261e+06
9.93416e-01 8.96783e+01 7.55261e+06
9.92355e-01 8.96469e+01 7.55261e+06
9.91302e-01 8.96155e+01 7.55261e+06
9.90254e-01 8.95840e+01 7.55261e+06
9.89217e-01 8.95525e+01 7.55261e+06
9.88182e-01 8.95209e+01 7.55261e+06
9.87143e-01 8.94891e+01 7.55261e+06
9.86102e-01 8.94572e+01 7.55261e+06
