# Chi2 Rg SupportVolume
4.15302e+04 1.00274e+02 7.55261e+06
3.20199e+00 1.05153e+02 7.55261e+06
3.17831e+00 1.07563e+02 7.55261e+06
3.15508e+00 1.08831e+02 7.55261e+06
3.13181e+00 1.09630e+02 7.55261e+06
3.10852e+00 1.10245e+02 7.55261e+06
3.08509e+00 1.10577e+02 7.55261e+06
3.06157e+00 1.10789e+02 7.55261e+06
3.03805e+00 1.10905e+02 7.55261e+06
3.01451e+00 1.10983e+02 7.55261e+06
2.99110e+00 1.11029e+02 7.55261e+06
2.96788e+00 1.11052e+02 7.55261e+06
2.94493e+00 1.11079e+02 7.55261e+06
2.92221e+00 1.11073e+02 7.55261e+06
2.89969e+00 1.11063e+02 7.55261e+06
2.87740e+00 1.11028e+02 7.55261e+06
2.85540e+00 1.10967e+02 7.55261e+06
2.83374e+00 1.10896e+02 7.55261e+06
2.81232e+00 1.10816e+02 7.55261e+06
2.79118e+00 1.10717e+02 7.55261e+06
2.77024e+00 1.10611e+02 7.55261e+06
2.74959e+00 1.10505e+02 7.55261e+06
2.72917e+00 1.10397e+02 7.55261e+06
2.70897e+00 1.10290e+02 7.55261e+06
2.68905e+00 1.10183e+02 7.55261e+06
2.66944e+00 1.10080e+02 7.55261e+06
2.65010e+00 1.09978e+02 7.55261e+06
2.63105e+00 1.09877e+02 7.55261e+06
2.61224e+00 1.09776e+02 7.55261e+06
2.59368e+00 1.09674e+02 7.55261e+06
2.57536e+00 1.09572e+02 7.55261e+06
2.55731e+00 1.09470e+02 7.55261e+06
2.53948e+00 1.09370e+02 7.55261e+06
2.52182e+00 1.09272e+02 7.55261e+06
2.50435e+00 1.09175e+02 7.55261e+06
2.48703e+00 1.09076e+02 7.55261e+06
2.46991e+00 1.08978e+02 7.55261e+06
2.45290e+00 1.08880e+02 7.55261e+06
2.43608e+00 1.08783e+02 7.55261e+06
2.41949e+00 1.08687e+02 7.55261e+06
2.40311e+00 1.08589e+02 7.55261e+06
2.38696e+00 1.08492e+02 7.55261e+06
2.37098e+00 1.08397e+02 7.55261e+06
2.35521e+00 1.08304e+02 7.55261e+06
2.33968e+00 1.08213e+02 7.55261e+06
2.32422e+00 1.08121e+02 7.55261e+06
2.30887e+00 1.08029e+02 7.55261e+06
2.29366e+00 1.07936e+02 7.55261e+06
2.27866e+00 1.07843e+02 7.55261e+06
2.26378e+00 1.07750e+02 7.55261e+06
2.24909e+00 1.07661e+02 7.55261e+06
2.23456e+00 1.07574e+02 7.55261e+06
2.22022e+00 1.07489e+02 7.55261e+06
2.20606e+00 1.07405e+02 7.55261e+06
2.19204e+00 1.07322e+02 7.55261e+06
2.17819e+00 1.07239e+02 7.55261e+06
2.16449e+00 1.07159e+02 7.55261e+06
2.15095e+00 1.07081e+02 7.55261e+06
2.13758e+00 1.07004e+02 7.55261e+06
2.12435e+00 1.06930e+02 7.55261e+06
2.11123e+00 1.06859e+02 7.55261e+06
2.09823e+00 1.06788e+02 7.55261e+06
2.08534e+00 1.06717e+02 7.55261e+06
2.07254e+00 1.06649e+02 7.55261e+06
2.05982e+00 1.06580e+02 7.55261e+06
2.04724e+00 1.06513e+02 7.55261e+06
2.03481e+00 1.06446e+02 7.55261e+06
2.02245e+00 1.06381e+02 7.55261e+06
2.01023e+00 1.06316e+02 7.55261e+06
1.99812e+00 1.06251e+02 7.55261e+06
1.98615e+00 1.06188e+02 7.55261e+06
1.97433e+00 1.06125e+02 7.55261e+06
1.96266e+00 1.06063e+02 7.55261e+06
1.95111e+00 1.06001e+02 7.55261e+06
1.93964e+00 1.05940e+02 7.55261e+06
1.92825e+00 1.05880e+02 7.55261e+06
1.91696e+00 1.05820e+02 7.55261e+06
1.90577e+00 1.05761e+02 7.55261e+06
1.89471e+00 1.05703e+02 7.55261e+06
1.88378e+00 1.05647e+02 7.55261e+06
1.87295e+00 1.05592e+02 7.55261e+06
1.86221e+00 1.05538e+02 7.55261e+06
1.85152e+00 1.05485e+02 7.55261e+06
1.84092e+00 1.05432e+02 7.55261e+06
1.83042e+00 1.05380e+02 7.55261e+06
1.82006e+00 1.05328e+02 7.55261e+06
1.80983e+00 1.05277e+02 7.55261e+06
1.79970e+00 1.05227e+02 7.55261e+06
1.78967e+00 1.05177e+02 7.55261e+06
1.77974e+00 1.05128e+02 7.55261e+06
1.76997e+00 1.05079e+02 7.55261e+06
1.76033e+00 1.05030e+02 7.55261e+06
1.75078e+00 1.04982e+02 7.55261e+06
1.74132e+00 1.04935e+02 7.55261e+06
1.73197e+00 1.04888e+02 7.55261e+06
1.72273e+00 1.04841e+02 7.55261e+06
1.71361e+00 1.04795e+02 7.55261e+06
1.70463e+00 1.04750e+02 7.55261e+06
1.69572e+00 1.04706e+02 7.55261e+06
1.68692e+00 1.04661e+02 7.55261e+06
1.67817e+00 1.04615e+02 7.55261e+06
1.66951e+00 1.04570e+02 7.55261e+06
1.66092e+00 1.04525e+02 7.55261e+06
1.65238e+00 1.04480e+02 7.55261e+06
1.64389e+00 1.04436e+02 7.55261e+06
1.63547e+00 1.04392e+02 7.55261e+06
1.62708e+00 1.04348e+02 7.55261e+06
1.61873e+00 1.04304e+02 7.55261e+06
1.61044e+00 1.04261e+02 7.55261e+06
1.60224e+00 1.04217e+02 7.55261e+06
1.59408e+00 1.04174e+02 7.55261e+06
1.58597e+00 1.04131e+02 7.55261e+06
1.57796e+00 1.04089e+02 7.55261e+06
1.57001e+00 1.04047e+02 7.55261e+06
1.56213e+00 1.04006e+02 7.55261e+06
1.55432e+00 1.03965e+02 7.55261e+06
1.54659e+00 1.03924e+02 7.55261e+06
1.53894e+00 1.03884e+02 7.55261e+06
1.53139e+00 1.03845e+02 7.55261e+06
1.52390e+00 1.03805e+02 7.55261e+06
1.51650e+00 1.03766e+02 7.55261e+06
1.50917e+00 1.03727e+02 7.55261e+06
1.50189e+00 1.03688e+02 7.55261e+06
1.49470e+00 1.03649e+02 7.55261e+06
1.48757e+00 1.03610e+02 7.55261e+06
1.48048e+00 1.03571e+02 7.55261e+06
1.47342e+00 1.03533e+02 7.55261e+06
1.46641e+00 1.03495e+02 7.55261e+06
1.45943e+00 1.03456e+02 7.55261e+06
1.45256e+00 1.03418e+02 7.55261e+06
1.44575e+00 1.03381e+02 7.55261e+06
1.43900e+00 1.03344e+02 7.55261e+06
1.43230e+00 1.03307e+02 7.55261e+06
1.42564e+00 1.03270e+02 7.55261e+06
1.41901e+00 1.03233e+02 7.55261e+06
1.41244e+00 1.03197e+02 7.55261e+06
1.40592e+00 1.03160e+02 7.55261e+06
1.39947e+00 1.03124e+02 7.55261e+06
1.39308e+00 1.03089e+02 7.55261e+06
1.38671e+00 1.03054e+02 7.55261e+06
1.38039e+00 1.03019e+02 7.55261e+06
1.37413e+00 1.02984e+02 7.55261e+06
1.36794e+00 1.02949e+02 7.55261e+06
1.36182e+00 1.02915e+02 7.55261e+06
1.35574e+00 1.02880e+02 7.55261e+06
1.34970e+00 1.02845e+02 7.55261e+06
1.34372e+00 1.02811e+02 7.55261e+06
1.33778e+00 1.02777e+02 7.55261e+06
1.33189e+00 1.02743e+02 7.55261e+06
1.32604e+00 1.02709e+02 7.55261e+06
1.32022e+00 1.02675e+02 7.55261e+06
1.31444e+00 1.02642e+02 7.55261e+06
1.30870e+00 1.02610e+02 7.55261e+06
1.30302e+00 1.02577e+02 7.55261e+06
1.29737e+00 1.02545e+02 7.55261e+06
1.29175e+00 1.02513e+02 7.55261e+06
1.28619e+00 1.02482e+02 7.55261e+06
1.28067e+00 1.02450e+02 7.55261e+06
1.27516e+00 1.02419e+02 7.55261e+06
1.26968e+00 1.02387e+02 7.55261e+06
1.26423e+00 1.02355e+02 7.55261e+06
1.25883e+00 1.02324e+02 7.55261e+06
1.25348e+00 1.02293e+02 7.55261e+06
1.24816e+00 1.02261e+02 7.55261e+06
1.24289e+00 1.02230e+02 7.55261e+06
1.23765e+00 1.02200e+02 7.55261e+06
1.23246e+00 1.02169e+02 7.55261e+06
1.22730e+00 1.02139e+02 7.55261e+06
1.22221e+00 1.02109e+02 7.55261e+06
1.21717e+00 1.02079e+02 7.55261e+06
1.21216e+00 1.02050e+02 7.55261e+06
1.20720e+00 1.02021e+02 7.55261e+06
1.20228e+00 1.01992e+02 7.55261e+06
1.19740e+00 1.01963e+02 7.55261e+06
1.19257e+00 1.01934e+02 7.55261e+06
1.18775e+00 1.01905e+02 7.55261e+06
1.18297e+00 1.01876e+02 7.55261e+06
1.17823e+00 1.01848e+02 7.55261e+06
1.17351e+00 1.01820e+02 7.55261e+06
1.16885e+00 1.01792e+02 7.55261e+06
1.16420e+00 1.01764e+02 7.55261e+06
1.15959e+00 1.01737e+02 7.55261e+06
1.15503e+00 1.01711e+02 7.55261e+06
1.15052e+00 1.01684e+02 7.55261e+06
1.14602e+00 1.01658e+02 7.55261e+06
1.14155e+00 1.01632e+02 7.55261e+06
1.13712e+00 1.01605e+02 7.55261e+06
1.13272e+00 1.01580e+02 7.55261e+06
1.12835e+00 1.01554e+02 7.55261e+06
1.12401e+00 1.01528e+02 7.55261e+06
1.11970e+00 1.01503e+02 7.55261e+06
1.11541e+00 1.01478e+02 7.55261e+06
1.11114e+00 1.01453e+02 7.55261e+06
1.10689e+00 1.01428e+02 7.55261e+06
1.10268e+00 1.01403e+02 7.55261e+06
1.09849e+00 1.01378e+02 7.55261e+06
1.09434e+00 1.01353e+02 7.55261e+06
1.09023e+00 1.01329e+02 7.55261e+06
1.08614e+00 1.01305e+02 7.55261e+06
1.08207e+00 1.01281e+02 7.55261e+06
1.07803e+00 1.01257e+02 7.55261e+06
1.07402e+00 1.01233e+02 7.55261e+06
1.07002e+00 1.01210e+02 7.55261e+06
1.06603e+00 1.01186e+02 7.55261e+06
1.06206e+00 1.01163e+02 7.55261e+06
1.05811e+00 1.01140e+02 7.55261e+06
1.05419e+00 1.01117e+02 7.55261e+06
1.05030e+00 1.01094e+02 7.55261e+06
1.04643e+00 1.01071e+02 7.55261e+06
1.04257e+00 1.01048e+02 7.55261e+06
1.03873e+00 1.01026e+02 7.55261e+06
1.03492e+00 1.01003e+02 7.55261e+06
1.03113e+00 1.00981e+02 7.55261e+06
1.02736e+00 1.00958e+02 7.55261e+06
1.02361e+00 1.00936e+02 7.55261e+06
1.01989e+00 1.00914e+02 7.55261e+06
1.01619e+00 1.00891e+02 7.55261e+06
1.01251e+00 1.00869e+02 7.55261e+06
1.00885e+00 1.00847e+02 7.55261e+06
1.00521e+00 1.00825e+02 7.55261e+06
1.00159e+00 1.00803e+02 7.55261e+06
9.97997e-01 1.00781e+02 7.55261e+06
9.94426e-01 1.00759e+02 7.55261e+06
9.90881e-01 1.00737e+02 7.55261e+06
9.87355e-01 1.00716e+02 7.55261e+06
9.83853e-01 1.00694e+02 7.55261e+06
9.80363e-01 1.00673e+02 7.55261e+06
9.76900e-01 1.00651e+02 7.55261e+06
9.73462e-01 1.00630e+02 7.55261e+06
9.70046e-01 1.00609e+02 7.55261e+06
9.66662e-01 1.00588e+02 7.55261e+06
9.63294e-01 1.00567e+02 7.55261e+06
9.59952e-01 1.00547e+02 7.55261e+06
9.56632e-01 1.00526e+02 7.55261e+06
9.53331e-01 1.00506e+02 7.55261e+06
9.50050e-01 1.00486e+02 7.55261e+06
9.46794e-01 1.00466e+02 7.55261e+06
9.43558e-01 1.00446e+02 7.55261e+06
9.40349e-01 1.00426e+02 7.55261e+06
9.37165e-01 1.00407e+02 7.55261e+06
9.33999e-01 1.00388e+02 7.55261e+06
9.30856e-01 1.00368e+02 7.55261e+06
9.27734e-01 1.00349e+02 7.55261e+06
9.24624e-01 1.00330e+02 7.55261e+06
9.21528e-01 1.00310e+02 7.55261e+06
9.18461e-01 1.00291e+02 7.55261e+06
9.15426e-01 1.00272e+02 7.55261e+06
