Sample description: RNA2
Sample: RNA2 c= 0.1 Code: Nov22
Subtracted from raw files: "C:\Data\Guanine-aptamer-Nov22\NTPCM-RNA-rep1_0005.img" "C:\Data\Guanine-aptamer-Nov22\NTPCM-buf-rep1_0002.img"
Processed by SAXSLab Tue Nov 23 16:11:22 2021
BeamCenter_X: 754.063 BeamCenter_Y: 199.402
Exposure time (sec): 3600
Pin diode (mean): 5.8665e-08
==============================================
0.00340554 0.0001 0
0.00421663 0.0001 0
0.00502772 0.0001 0
0.00583881 0.0001 0
0.0066499 0.0001 0
0.00746099 0.0001 0
0.00827207 0.0001 0
0.00908316 0.0001 0
0.00989425 1.633 1.71849
0.0107053 1.05509 0.507974
0.0115164 1.11923 0.266884
0.0123275 0.820418 0.190392
0.0131386 1.02638 0.138843
0.0139497 1.11502 0.123842
0.0147608 0.978612 0.131162
0.0155719 0.738335 0.115808
0.016383 1.05912 0.106903
0.017194 0.769332 0.0999912
0.0180051 0.748564 0.101158
0.0188162 1.04013 0.0915615
0.0196273 0.791834 0.0893407
0.0204384 0.913985 0.0861843
0.0212495 0.950257 0.0925661
0.0220606 0.789277 0.0860603
0.0228717 1.07624 0.0783888
0.0236828 0.877988 0.0904878
0.0244938 0.738219 0.0778247
0.0253049 0.958243 0.0742722
0.026116 0.982819 0.0758348
0.0269271 0.903494 0.0687682
0.0277382 0.92164 0.0724849
0.0285493 0.925643 0.0753634
0.0293604 0.867943 0.0671919
0.0301715 0.70428 0.0647483
0.0309825 0.842443 0.0616217
0.0317936 0.697874 0.0684317
0.0326047 0.830263 0.0642023
0.0334158 0.705047 0.0675306
0.0342269 0.648439 0.0646117
0.035038 0.898867 0.0578181
0.0358491 0.783329 0.0603366
0.0366602 0.802412 0.0610702
0.0374713 0.691793 0.0610565
0.0382823 0.743823 0.0571666
0.0390934 0.698583 0.0561494
0.0399045 0.732906 0.0564052
0.0407156 0.668946 0.0577727
0.0415267 0.582759 0.0576363
0.0423378 0.710958 0.0537864
0.0431489 0.5883 0.0522799
0.04396 0.72345 0.0535593
0.044771 0.622746 0.0545448
0.0455821 0.662286 0.0540411
0.0463932 0.616536 0.0525656
0.0472043 0.600561 0.0504217
0.0480154 0.535545 0.0518283
0.0488265 0.533733 0.0484733
0.0496376 0.61928 0.0505426
0.0504487 0.551569 0.0514966
0.0512598 0.559747 0.0480451
0.0520708 0.593524 0.0470144
0.0528819 0.528348 0.0504801
0.053693 0.536622 0.0472268
0.0545041 0.603929 0.0492009
0.0553152 0.543874 0.0461136
0.0561263 0.471702 0.0468593
0.0569374 0.473655 0.0468511
0.0577485 0.538146 0.0459082
0.0585596 0.447241 0.0457186
0.0593706 0.408851 0.042885
0.0601817 0.491566 0.0450104
0.0609928 0.453062 0.04378
0.0618039 0.418675 0.041504
0.062615 0.476431 0.0407142
0.0634261 0.439181 0.0399884
0.0642372 0.402037 0.041722
0.0650483 0.435855 0.0402312
0.0658593 0.461813 0.0410974
0.0666704 0.4119 0.043561
0.0674815 0.418387 0.0401616
0.0682926 0.392351 0.0409591
0.0691037 0.270895 0.0417564
0.0699148 0.30995 0.0409143
0.0707259 0.378612 0.0402157
0.071537 0.349836 0.0386225
0.0723481 0.358459 0.0384526
0.0731591 0.336516 0.039433
0.0739702 0.348382 0.0389058
0.0747813 0.333403 0.0380635
0.0755924 0.347336 0.0388178
0.0764035 0.308515 0.0391676
0.0772146 0.221009 0.0378088
0.0780257 0.286491 0.0384194
0.0788368 0.287014 0.0378159
0.0796478 0.301228 0.0362663
0.0804589 0.248151 0.0358578
0.08127 0.252158 0.0368495
0.0820811 0.323043 0.036376
0.0828922 0.27656 0.0372847
0.0837033 0.299849 0.0363635
0.0845144 0.294925 0.0359381
0.0853255 0.300105 0.0357481
0.0861366 0.238212 0.035286
0.0869476 0.262219 0.0335442
