# Chi2 Rg SupportVolume
6.22661e+04 1.48762e+02 9.32066e+06
4.31422e+00 1.54118e+02 9.32066e+06
4.22947e+00 1.56303e+02 9.32066e+06
4.15309e+00 1.56941e+02 9.32066e+06
4.08268e+00 1.57012e+02 9.32066e+06
4.01545e+00 1.56818e+02 9.32066e+06
3.95004e+00 1.56470e+02 9.32066e+06
3.88582e+00 1.56055e+02 9.32066e+06
3.82274e+00 1.55620e+02 9.32066e+06
3.76080e+00 1.55183e+02 9.32066e+06
3.70008e+00 1.54766e+02 9.32066e+06
3.64063e+00 1.54362e+02 9.32066e+06
3.58245e+00 1.53959e+02 9.32066e+06
3.52546e+00 1.53553e+02 9.32066e+06
3.47004e+00 1.53154e+02 9.32066e+06
3.41617e+00 1.52757e+02 9.32066e+06
3.36381e+00 1.52361e+02 9.32066e+06
3.31307e+00 1.51968e+02 9.32066e+06
3.26410e+00 1.51579e+02 9.32066e+06
3.21677e+00 1.51193e+02 9.32066e+06
3.17107e+00 1.50815e+02 9.32066e+06
3.12676e+00 1.50444e+02 9.32066e+06
3.08379e+00 1.50081e+02 9.32066e+06
3.04231e+00 1.49723e+02 9.32066e+06
3.00233e+00 1.49374e+02 9.32066e+06
2.96371e+00 1.49030e+02 9.32066e+06
2.92636e+00 1.48694e+02 9.32066e+06
2.89007e+00 1.48363e+02 9.32066e+06
2.85489e+00 1.48041e+02 9.32066e+06
2.82081e+00 1.47728e+02 9.32066e+06
2.78783e+00 1.47422e+02 9.32066e+06
2.75603e+00 1.47123e+02 9.32066e+06
2.72521e+00 1.46830e+02 9.32066e+06
2.69523e+00 1.46543e+02 9.32066e+06
2.66620e+00 1.46262e+02 9.32066e+06
2.63818e+00 1.45986e+02 9.32066e+06
2.61113e+00 1.45717e+02 9.32066e+06
2.58492e+00 1.45454e+02 9.32066e+06
2.55935e+00 1.45195e+02 9.32066e+06
2.53455e+00 1.44943e+02 9.32066e+06
2.51070e+00 1.44697e+02 9.32066e+06
2.48768e+00 1.44455e+02 9.32066e+06
2.46544e+00 1.44218e+02 9.32066e+06
2.44395e+00 1.43986e+02 9.32066e+06
2.42314e+00 1.43760e+02 9.32066e+06
2.40298e+00 1.43538e+02 9.32066e+06
2.38336e+00 1.43320e+02 9.32066e+06
2.36422e+00 1.43104e+02 9.32066e+06
2.34559e+00 1.42891e+02 9.32066e+06
2.32744e+00 1.42680e+02 9.32066e+06
2.30972e+00 1.42473e+02 9.32066e+06
2.29238e+00 1.42269e+02 9.32066e+06
2.27547e+00 1.42069e+02 9.32066e+06
2.25900e+00 1.41872e+02 9.32066e+06
2.24289e+00 1.41679e+02 9.32066e+06
2.22717e+00 1.41489e+02 9.32066e+06
2.21174e+00 1.41300e+02 9.32066e+06
2.19664e+00 1.41112e+02 9.32066e+06
2.18180e+00 1.40927e+02 9.32066e+06
2.16723e+00 1.40743e+02 9.32066e+06
2.15293e+00 1.40561e+02 9.32066e+06
2.13879e+00 1.40379e+02 9.32066e+06
2.12489e+00 1.40200e+02 9.32066e+06
2.11122e+00 1.40023e+02 9.32066e+06
2.09773e+00 1.39847e+02 9.32066e+06
2.08438e+00 1.39672e+02 9.32066e+06
2.07123e+00 1.39499e+02 9.32066e+06
2.05825e+00 1.39327e+02 9.32066e+06
2.04538e+00 1.39155e+02 9.32066e+06
2.03260e+00 1.38984e+02 9.32066e+06
2.01996e+00 1.38814e+02 9.32066e+06
2.00746e+00 1.38646e+02 9.32066e+06
1.99509e+00 1.38478e+02 9.32066e+06
1.98283e+00 1.38310e+02 9.32066e+06
1.97070e+00 1.38145e+02 9.32066e+06
1.95871e+00 1.37980e+02 9.32066e+06
1.94680e+00 1.37816e+02 9.32066e+06
