# Chi2 Rg SupportVolume
6.26940e+04 1.00909e+02 9.32066e+06
4.30277e+00 1.03424e+02 9.32066e+06
4.21294e+00 1.03696e+02 9.32066e+06
4.12585e+00 1.03281e+02 9.32066e+06
4.04175e+00 1.02629e+02 9.32066e+06
3.96189e+00 1.01915e+02 9.32066e+06
3.88671e+00 1.01291e+02 9.32066e+06
3.81574e+00 1.00768e+02 9.32066e+06
3.74868e+00 1.00270e+02 9.32066e+06
3.68545e+00 9.97743e+01 9.32066e+06
3.62556e+00 9.92824e+01 9.32066e+06
3.56830e+00 9.87698e+01 9.32066e+06
3.51327e+00 9.82445e+01 9.32066e+06
3.46013e+00 9.77172e+01 9.32066e+06
3.40867e+00 9.72064e+01 9.32066e+06
3.35856e+00 9.66907e+01 9.32066e+06
3.30975e+00 9.61796e+01 9.32066e+06
3.26226e+00 9.56716e+01 9.32066e+06
3.21588e+00 9.51708e+01 9.32066e+06
3.17061e+00 9.46865e+01 9.32066e+06
3.12626e+00 9.42275e+01 9.32066e+06
3.08302e+00 9.37815e+01 9.32066e+06
3.04083e+00 9.33553e+01 9.32066e+06
2.99957e+00 9.29475e+01 9.32066e+06
2.95912e+00 9.25589e+01 9.32066e+06
2.91952e+00 9.21881e+01 9.32066e+06
2.88065e+00 9.18320e+01 9.32066e+06
2.84258e+00 9.14927e+01 9.32066e+06
2.80539e+00 9.11668e+01 9.32066e+06
2.76902e+00 9.08547e+01 9.32066e+06
2.73335e+00 9.05592e+01 9.32066e+06
2.69852e+00 9.02761e+01 9.32066e+06
2.66438e+00 9.00073e+01 9.32066e+06
2.63088e+00 8.97546e+01 9.32066e+06
2.59801e+00 8.95163e+01 9.32066e+06
2.56590e+00 8.92910e+01 9.32066e+06
2.53438e+00 8.90801e+01 9.32066e+06
2.50349e+00 8.88779e+01 9.32066e+06
2.47319e+00 8.86861e+01 9.32066e+06
2.44349e+00 8.85040e+01 9.32066e+06
2.41432e+00 8.83327e+01 9.32066e+06
