Parameter,Condition,Value,Error
DENSS Rg,2 mM Mg,26.95,0.188
DENSS Rg,25 mM Mg,29.003,0.33
DENSS Rg,NTPCM,27,0.244
DENSS Rg,WMCM,28.612,0.52
DENSS Rg,Eco80,24.913,0.283
Gunier Rg,2 mM Mg,28.91,0.87
Gunier Rg,25 mM Mg,33.56,0.93
Gunier Rg,NTPCM,26.72,1.28
Gunier Rg,WMCM,29.95,1.14
Gunier Rg,Eco80,28.28,1.58
Pr Rg,2 mM Mg,24.98,0.2219
Pr Rg,25 mM Mg,26.92,0.2148
Pr Rg,NTPCM,25.09,0.3194
Pr Rg,WMCM,27.21,0.3953
Pr Rg,Eco80,23.36,0.3052
Dmax,2 mM Mg,69.36,
Dmax,25 mM Mg,75.01,
Dmax,NTPCM,70.15,
Dmax,WMCM,82.1,
Dmax,Eco80,65.4,
