# Chi2 Rg SupportVolume
1.23204e+05 1.42968e+02 1.49415e+07
9.26355e+00 1.47644e+02 1.49415e+07
9.21346e+00 1.48457e+02 1.49415e+07
9.16303e+00 1.48927e+02 1.49415e+07
9.11176e+00 1.49553e+02 1.49415e+07
9.06004e+00 1.50075e+02 1.49415e+07
9.00792e+00 1.50545e+02 1.49415e+07
8.95575e+00 1.50975e+02 1.49415e+07
8.90353e+00 1.51360e+02 1.49415e+07
8.85119e+00 1.51726e+02 1.49415e+07
8.79906e+00 1.52040e+02 1.49415e+07
8.74733e+00 1.52320e+02 1.49415e+07
8.69588e+00 1.52614e+02 1.49415e+07
8.64458e+00 1.52902e+02 1.49415e+07
8.59381e+00 1.53176e+02 1.49415e+07
8.54354e+00 1.53426e+02 1.49415e+07
8.49382e+00 1.53662e+02 1.49415e+07
8.44469e+00 1.53881e+02 1.49415e+07
8.39622e+00 1.54100e+02 1.49415e+07
8.34806e+00 1.54313e+02 1.49415e+07
8.30039e+00 1.54525e+02 1.49415e+07
8.25304e+00 1.54729e+02 1.49415e+07
8.20611e+00 1.54924e+02 1.49415e+07
8.15970e+00 1.55101e+02 1.49415e+07
8.11354e+00 1.55278e+02 1.49415e+07
8.06761e+00 1.55451e+02 1.49415e+07
8.02203e+00 1.55621e+02 1.49415e+07
7.97670e+00 1.55784e+02 1.49415e+07
7.93169e+00 1.55940e+02 1.49415e+07
7.88714e+00 1.56088e+02 1.49415e+07
7.84306e+00 1.56230e+02 1.49415e+07
7.79947e+00 1.56364e+02 1.49415e+07
7.75630e+00 1.56497e+02 1.49415e+07
7.71331e+00 1.56628e+02 1.49415e+07
7.67062e+00 1.56762e+02 1.49415e+07
7.62838e+00 1.56893e+02 1.49415e+07
7.58676e+00 1.57018e+02 1.49415e+07
7.54554e+00 1.57142e+02 1.49415e+07
7.50465e+00 1.57264e+02 1.49415e+07
7.46406e+00 1.57383e+02 1.49415e+07
7.42403e+00 1.57500e+02 1.49415e+07
7.38464e+00 1.57614e+02 1.49415e+07
7.34558e+00 1.57728e+02 1.49415e+07
7.30680e+00 1.57838e+02 1.49415e+07
7.26819e+00 1.57944e+02 1.49415e+07
7.22988e+00 1.58050e+02 1.49415e+07
7.19194e+00 1.58152e+02 1.49415e+07
7.15421e+00 1.58250e+02 1.49415e+07
7.11667e+00 1.58345e+02 1.49415e+07
7.07935e+00 1.58440e+02 1.49415e+07
7.04229e+00 1.58532e+02 1.49415e+07
7.00557e+00 1.58625e+02 1.49415e+07
6.96903e+00 1.58717e+02 1.49415e+07
6.93272e+00 1.58809e+02 1.49415e+07
6.89668e+00 1.58901e+02 1.49415e+07
6.86088e+00 1.58992e+02 1.49415e+07
6.82525e+00 1.59080e+02 1.49415e+07
6.78982e+00 1.59166e+02 1.49415e+07
6.75464e+00 1.59252e+02 1.49415e+07
6.71969e+00 1.59336e+02 1.49415e+07
6.68503e+00 1.59419e+02 1.49415e+07
6.65061e+00 1.59502e+02 1.49415e+07
6.61637e+00 1.59581e+02 1.49415e+07
6.58251e+00 1.59656e+02 1.49415e+07
6.54914e+00 1.59728e+02 1.49415e+07
6.51596e+00 1.59800e+02 1.49415e+07
6.48303e+00 1.59871e+02 1.49415e+07
6.45040e+00 1.59941e+02 1.49415e+07
6.41802e+00 1.60009e+02 1.49415e+07
6.38590e+00 1.60074e+02 1.49415e+07
6.35401e+00 1.60137e+02 1.49415e+07
6.32234e+00 1.60198e+02 1.49415e+07
6.29086e+00 1.60257e+02 1.49415e+07
6.25958e+00 1.60317e+02 1.49415e+07
6.22854e+00 1.60378e+02 1.49415e+07
6.19771e+00 1.60437e+02 1.49415e+07
6.16704e+00 1.60494e+02 1.49415e+07
6.13669e+00 1.60548e+02 1.49415e+07
6.10667e+00 1.60599e+02 1.49415e+07
6.07698e+00 1.60650e+02 1.49415e+07
6.04758e+00 1.60698e+02 1.49415e+07
6.01852e+00 1.60744e+02 1.49415e+07
5.98966e+00 1.60789e+02 1.49415e+07
5.96106e+00 1.60833e+02 1.49415e+07
5.93271e+00 1.60875e+02 1.49415e+07
5.90444e+00 1.60918e+02 1.49415e+07
5.87630e+00 1.60959e+02 1.49415e+07
5.84832e+00 1.60999e+02 1.49415e+07
5.82057e+00 1.61039e+02 1.49415e+07
5.79294e+00 1.61079e+02 1.49415e+07
5.76547e+00 1.61118e+02 1.49415e+07
5.73817e+00 1.61155e+02 1.49415e+07
5.71103e+00 1.61191e+02 1.49415e+07
5.68409e+00 1.61228e+02 1.49415e+07
5.65739e+00 1.61263e+02 1.49415e+07
5.63091e+00 1.61297e+02 1.49415e+07
5.60467e+00 1.61332e+02 1.49415e+07
5.57860e+00 1.61365e+02 1.49415e+07
5.55276e+00 1.61398e+02 1.49415e+07
5.52715e+00 1.61429e+02 1.49415e+07
5.50185e+00 1.61461e+02 1.49415e+07
5.47685e+00 1.61492e+02 1.49415e+07
5.45203e+00 1.61523e+02 1.49415e+07
5.42737e+00 1.61553e+02 1.49415e+07
5.40289e+00 1.61582e+02 1.49415e+07
5.37857e+00 1.61611e+02 1.49415e+07
5.35438e+00 1.61640e+02 1.49415e+07
5.33034e+00 1.61667e+02 1.49415e+07
5.30646e+00 1.61693e+02 1.49415e+07
5.28292e+00 1.61720e+02 1.49415e+07
5.25964e+00 1.61746e+02 1.49415e+07
5.23667e+00 1.61772e+02 1.49415e+07
5.21383e+00 1.61797e+02 1.49415e+07
5.19113e+00 1.61823e+02 1.49415e+07
5.16865e+00 1.61848e+02 1.49415e+07
5.14627e+00 1.61872e+02 1.49415e+07
5.12403e+00 1.61896e+02 1.49415e+07
5.10206e+00 1.61920e+02 1.49415e+07
5.08027e+00 1.61943e+02 1.49415e+07
5.05867e+00 1.61966e+02 1.49415e+07
5.03725e+00 1.61988e+02 1.49415e+07
5.01597e+00 1.62009e+02 1.49415e+07
4.99491e+00 1.62030e+02 1.49415e+07
4.97394e+00 1.62050e+02 1.49415e+07
4.95318e+00 1.62072e+02 1.49415e+07
4.93253e+00 1.62092e+02 1.49415e+07
4.91195e+00 1.62112e+02 1.49415e+07
4.89145e+00 1.62131e+02 1.49415e+07
4.87109e+00 1.62150e+02 1.49415e+07
4.85089e+00 1.62168e+02 1.49415e+07
4.83078e+00 1.62185e+02 1.49415e+07
4.81080e+00 1.62202e+02 1.49415e+07
4.79091e+00 1.62218e+02 1.49415e+07
4.77105e+00 1.62235e+02 1.49415e+07
4.75126e+00 1.62251e+02 1.49415e+07
4.73157e+00 1.62267e+02 1.49415e+07
4.71198e+00 1.62282e+02 1.49415e+07
4.69250e+00 1.62298e+02 1.49415e+07
4.67309e+00 1.62312e+02 1.49415e+07
4.65384e+00 1.62326e+02 1.49415e+07
4.63475e+00 1.62340e+02 1.49415e+07
4.61577e+00 1.62353e+02 1.49415e+07
4.59692e+00 1.62365e+02 1.49415e+07
4.57813e+00 1.62377e+02 1.49415e+07
4.55943e+00 1.62388e+02 1.49415e+07
4.54089e+00 1.62400e+02 1.49415e+07
4.52251e+00 1.62410e+02 1.49415e+07
4.50427e+00 1.62421e+02 1.49415e+07
4.48618e+00 1.62430e+02 1.49415e+07
4.46820e+00 1.62440e+02 1.49415e+07
4.45030e+00 1.62449e+02 1.49415e+07
4.43247e+00 1.62458e+02 1.49415e+07
4.41479e+00 1.62466e+02 1.49415e+07
4.39719e+00 1.62474e+02 1.49415e+07
4.37968e+00 1.62482e+02 1.49415e+07
4.36235e+00 1.62489e+02 1.49415e+07
4.34510e+00 1.62496e+02 1.49415e+07
4.32797e+00 1.62503e+02 1.49415e+07
4.31097e+00 1.62509e+02 1.49415e+07
4.29406e+00 1.62514e+02 1.49415e+07
4.27723e+00 1.62519e+02 1.49415e+07
4.26056e+00 1.62524e+02 1.49415e+07
4.24404e+00 1.62529e+02 1.49415e+07
4.22762e+00 1.62533e+02 1.49415e+07
4.21132e+00 1.62536e+02 1.49415e+07
4.19517e+00 1.62539e+02 1.49415e+07
4.17914e+00 1.62542e+02 1.49415e+07
4.16320e+00 1.62544e+02 1.49415e+07
4.14731e+00 1.62546e+02 1.49415e+07
4.13144e+00 1.62548e+02 1.49415e+07
4.11567e+00 1.62549e+02 1.49415e+07
4.10001e+00 1.62550e+02 1.49415e+07
4.08450e+00 1.62551e+02 1.49415e+07
4.06909e+00 1.62552e+02 1.49415e+07
