# Chi2 Rg SupportVolume
1.23704e+05 -3.12837e+01 1.49415e+07
9.25823e+00 -3.77898e+01 1.49415e+07
9.20459e+00 -3.67405e+01 1.49415e+07
9.15191e+00 -3.64732e+01 1.49415e+07
9.09914e+00 -3.68893e+01 1.49415e+07
9.04655e+00 -3.76648e+01 1.49415e+07
8.99420e+00 -3.87987e+01 1.49415e+07
8.94231e+00 -3.96184e+01 1.49415e+07
8.89093e+00 -4.03243e+01 1.49415e+07
8.83984e+00 -4.09872e+01 1.49415e+07
8.78908e+00 -4.15513e+01 1.49415e+07
8.73865e+00 -4.19603e+01 1.49415e+07
8.68846e+00 -4.22640e+01 1.49415e+07
8.63831e+00 -4.24999e+01 1.49415e+07
8.58865e+00 -4.26717e+01 1.49415e+07
8.53946e+00 -4.27328e+01 1.49415e+07
8.49049e+00 -4.27565e+01 1.49415e+07
8.44174e+00 -4.27453e+01 1.49415e+07
8.39308e+00 -4.26844e+01 1.49415e+07
8.34487e+00 -4.26004e+01 1.49415e+07
8.29706e+00 -4.24491e+01 1.49415e+07
8.24954e+00 -4.22545e+01 1.49415e+07
8.20229e+00 -4.20312e+01 1.49415e+07
8.15526e+00 -4.18010e+01 1.49415e+07
8.10857e+00 -4.15420e+01 1.49415e+07
8.06213e+00 -4.12584e+01 1.49415e+07
8.01585e+00 -4.09507e+01 1.49415e+07
7.96977e+00 -4.06073e+01 1.49415e+07
7.92435e+00 -4.02624e+01 1.49415e+07
7.87917e+00 -3.98966e+01 1.49415e+07
7.83451e+00 -3.95277e+01 1.49415e+07
7.79038e+00 -3.91501e+01 1.49415e+07
7.74659e+00 -3.87656e+01 1.49415e+07
7.70311e+00 -3.83710e+01 1.49415e+07
7.66025e+00 -3.79660e+01 1.49415e+07
7.61784e+00 -3.75720e+01 1.49415e+07
7.57590e+00 -3.71781e+01 1.49415e+07
7.53434e+00 -3.67883e+01 1.49415e+07
7.49303e+00 -3.63934e+01 1.49415e+07
7.45197e+00 -3.59949e+01 1.49415e+07
7.41120e+00 -3.56009e+01 1.49415e+07
