Sample description: rnabuf2
Sample: rnabuf2 c= 1 Code: feb7
Subtracted from raw files: "C:\Data\phil-jacob-wmcmecoli80\rna-ecoli801_0004.img" "C:\Data\phil-jacob-wmcmecoli80\ecoli801_0002.img"
Processed by SAXSLab Tue Feb 08 09:05:15 2022
BeamCenter_X: 754.19 BeamCenter_Y: 199.712
Exposure time (sec): 3600
Pin diode (mean): 1.0799e-08
==============================================
0.00340569 0.0001 0
0.00421706 0.0001 0
0.00502843 0.0001 0
0.00583981 0.0001 0
0.00665118 0.0001 0
0.00746255 0.0001 0
0.00827393 0.0001 0
0.0090853 0.0001 0
0.00989667 0.0001 0
0.010708 0.273157 0.540222
0.0115194 1.13245 0.272086
0.0123308 0.789772 0.219399
0.0131422 0.960942 0.184385
0.0139535 0.906981 0.155011
0.0147649 0.975274 0.126971
0.0155763 1.16979 0.114268
0.0163877 0.882487 0.130581
0.017199 0.759263 0.103542
0.0180104 0.825194 0.116241
0.0188218 1.02764 0.0866252
0.0196332 0.816786 0.11147
0.0204445 0.802459 0.0991559
0.0212559 0.70696 0.0921761
0.0220673 0.906054 0.0899082
0.0228786 0.714892 0.0917716
0.02369 0.702969 0.0902056
0.0245014 0.77133 0.0765971
0.0253128 0.756071 0.0815159
0.0261241 0.793444 0.082706
0.0269355 0.690664 0.0797042
0.0277469 0.647266 0.0860172
0.0285583 0.840606 0.068246
0.0293696 0.751482 0.0773881
0.030181 0.867323 0.0728834
0.0309924 0.752927 0.0683082
0.0318038 0.894933 0.0718615
0.0326151 0.602301 0.0677727
0.0334265 0.660922 0.0736855
0.0342379 0.681281 0.0683303
0.0350492 0.557877 0.0661669
0.0358606 0.654707 0.0677405
0.036672 0.666788 0.0648967
0.0374834 0.708514 0.0618404
0.0382947 0.558821 0.0619981
0.0391061 0.613112 0.0597693
0.0399175 0.582958 0.0595234
0.0407289 0.544362 0.0608245
0.0415402 0.590905 0.0568184
0.0423516 0.778915 0.059406
0.043163 0.626609 0.0613023
0.0439743 0.619679 0.055458
0.0447857 0.478311 0.0579649
0.0455971 0.517055 0.0582426
0.0464085 0.571142 0.0572893
0.0472198 0.515327 0.0542899
0.0480312 0.596647 0.0523922
0.0488426 0.346482 0.0524907
0.049654 0.446858 0.0540729
0.0504653 0.567332 0.0513583
0.0512767 0.502961 0.0515923
0.0520881 0.509293 0.0510582
0.0528995 0.398167 0.0506066
0.0537108 0.381787 0.0507377
0.0545222 0.523704 0.0506232
0.0553336 0.499848 0.0489624
0.0561449 0.446168 0.0486974
0.0569563 0.384596 0.04899
0.0577677 0.485838 0.0463006
0.0585791 0.444885 0.0480981
0.0593904 0.410238 0.0474041
0.0602018 0.41015 0.0474556
0.0610132 0.404686 0.048109
0.0618246 0.38064 0.0446561
0.0626359 0.359666 0.0469261
0.0634473 0.411778 0.0451736
0.0642587 0.410264 0.0445475
0.0650701 0.427702 0.0445088
0.0658814 0.381935 0.0431629
0.0666928 0.287798 0.0433057
0.0675042 0.336503 0.0442907
0.0683155 0.375023 0.0437685
0.0691269 0.359714 0.0445656
0.0699383 0.290318 0.0421527
0.0707497 0.337199 0.042267
0.071561 0.355161 0.0425857
