Replicate ,Condition ,TP ,Counts.pre,Counts.clvd,Time.min
J1,2 mM F ,0,723356.7933,24054.05333,0
J1,2 mM F ,1,1104243.783,32068.90333,2
J1,2 mM F ,2,1665476.873,56160.52333,5
J1,2 mM F ,3,1412853.043,74803.19333,10
J1,2 mM F ,4,1444205.903,115738.4533,15
J1,2 mM F ,7,1084773.063,229193.5033,80
J1,2 mM F ,8,1112629.003,352313.3133,160
J1,2 mM F ,9,1105871.383,437689.6833,320
J1,2 mM F ,10,1101132.993,484471.5933,690
J1,2 mM F ,11,956852.5033,502934.7533,1275
J1,25 mM F ,0,580603.3633,13252.13333,0
J1,25 mM F ,1,1144291.273,58389.21333,2
J1,25 mM F ,2,966111.1633,72399.60333,5
J1,25 mM F ,3,1147620.653,167832.2933,10
J1,25 mM F ,4,1020153.103,188402.1033,15
J1,25 mM F ,7,585213.1333,197603.7733,80
J1,25 mM F ,8,717883.4033,312929.7433,160
J1,25 mM F ,9,748281.5833,382131.5933,320
J1,25 mM F ,10,673594.0633,411135.8733,690
J1,25 mM F ,11,621504.7233,447446.8733,1275
J1,Eco 80,0,1541956.763,56672.02333,0
J1,Eco 80,1,1396217.833,62640.34333,2
J1,Eco 80,2,1391693.893,60901.67333,5
J1,Eco 80,3,1455054.393,58063.15333,10
J1,Eco 80,4,1471515.883,90018.15333,15
J1,Eco 80,7,1171568.623,150914.6933,80
J1,Eco 80,8,726728.9433,130694.8133,160
J1,Eco 80,9,952091.3433,271149.1633,320
J1,Eco 80,10,947766.6133,354559.9233,690
J1,Eco 80,11,870010.3933,374467.0633,1275
J1,NTPCM,0,3376909.593,45764.56333,0
J1,NTPCM,1,1686641.463,33414.22333,2
J1,NTPCM,2,1690700.993,28435.19333,5
J1,NTPCM,3,1537447.633,26110.25333,10
J1,NTPCM,4,1551729.153,35956.53333,15
J1,NTPCM,7,1407964.963,73130.96333,80
J1,NTPCM,8,1312034.623,139093.5133,160
J1,NTPCM,9,1034333.073,198293.4433,320
J1,NTPCM,10,828548.3633,243887.2333,690
J1,NTPCM,11,843771.4433,310711.7633,1275
J1,WMCM ,0,1271479.173,26740.27333,0
J1,WMCM ,1,1378680.083,37900.14333,2
J1,WMCM ,2,1325991.763,50864.10333,5
J1,WMCM ,3,1364651.843,76202.30333,10
J1,WMCM ,4,1191507.183,87399.74333,15
J1,WMCM ,7,1003154.863,226328.9233,80
J1,WMCM ,8,920130.3833,288562.6933,160
J1,WMCM ,9,890470.4733,328697.9733,320
J1,WMCM ,10,783991.0833,336492.3733,690
J1,WMCM ,11,399867.7733,196272.1533,1275
J2,2 mM F ,2,5978179.993,122484.6433,5
J2,2 mM F ,3,5698672.693,188911.8633,10
J2,2 mM F ,4,5960673.113,263903.1533,15
J2,2 mM F ,5,5616913.103,346477.6133,22
J2,2 mM F ,6,6538635.573,750176.2033,40
J2,2 mM F ,7,4906673.043,993313.9433,84
J2,2 mM F ,8,4671987.613,1405860.033,169.999999983333
J2,2 mM F ,9,4506093.503,1607781.263,276
J2,2 mM F ,10,4179192.833,1773262.233,604
J2,2 mM F ,0,8641467.413,92691.51333,0
J2,2 mM F ,1,5802089.573,72972.61333,2
J2,2 mM F ,11,3893649.063,1940492.383,1275
J2,25 mM F ,0,7570968.7,74978.98,0
J2,25 mM F ,1,4744284.86,149067.01,2
J2,25 mM F ,2,5181847.53,366194.8,5
J2,25 mM F ,3,5115517.82,696549.49,10
J2,25 mM F ,4,3967814.98,716675.6,15
J2,25 mM F ,5,4164754.66,1003269.21,22
J2,25 mM F ,6,3632508.58,1144400.19,40
J2,25 mM F ,7,3315763.8,1240600.91,84
J2,25 mM F ,8,3196090.71,1309446.87,169.999999983333
J2,25 mM F ,9,3281783.12,1539982.77,276
J2,25 mM F ,10,3023035.92,1753775.15,604
J2,25 mM F ,11,2303630.14,1502600.12,1275
J2,Eco 80,0,6489913.91,63391.93,0
J2,Eco 80,1,5913650.62,83863.12,2
J2,Eco 80,2,6164435.82,103550.57,5
J2,Eco 80,3,5749795.23,122098.1,10
J2,Eco 80,4,5421832.75,163179.95,15
J2,Eco 80,5,5517177.24,191795.91,22
J2,Eco 80,6,5634269.91,308393.07,40
J2,Eco 80,7,5616251.27,576322.43,84
J2,Eco 80,8,4549477,849052.14,169.999999983333
