#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   6.56331e+06       106095
        0.01   6.43216e+06       103421
        0.02   6.05602e+06      96200.9
        0.03    5.4834e+06      86478.5
        0.04   4.78334e+06      76644.6
        0.05   4.03163e+06        68452
        0.06   3.29727e+06      62500.1
        0.07   2.63245e+06        57883
        0.08   2.06819e+06      54367.2
        0.09   1.61528e+06      51387.1
         0.1   1.26891e+06      48530.6
        0.11   1.01481e+06      45430.3
        0.12        834800      41994.2
        0.13        710649      38276.8
        0.14        626007      34486.4
        0.15        567066      31141.9
        0.16        522656      29000.8
        0.17        484307      27861.3
        0.18        446440      27256.9
        0.19        406440      26690.5
         0.2        364365      25651.1
        0.21        322143      23782.5
        0.22        282427      21116.3
        0.23        247453      17972.8
        0.24        218281      15207.7
        0.25        194631      13207.2
        0.26        175279        11437
        0.27        158758      9862.34
        0.28        143995       8471.2
        0.29        130653       7249.8
         0.3        119042      6168.87
        0.31        109750      5199.13
        0.32        103180      4398.53
        0.33       99248.6      3899.86
        0.34       97346.7      3551.92
        0.35       96560.3      3324.19
        0.36       96006.3      3173.53
        0.37         95121      3052.35
        0.38       93776.3      2927.64
        0.39       92195.9      2829.24
         0.4       90739.7      2661.45
        0.41       89673.7      2457.43
        0.42         89031       2254.6
        0.43       88610.9      2093.17
        0.44         88093      1944.05
        0.45       87190.3      1795.58
        0.46       85761.7      1651.44
        0.47       83834.8      1520.62
        0.48       81351.5      1426.76
        0.49       78911.3      1297.42
         0.5       75905.2      1207.84
        0.51         72917      1136.13
        0.52       69588.1      1123.96
        0.53         65648      1017.91
        0.54       61084.8       1003.4
        0.55         55968      890.238
        0.56       51032.7      858.699
        0.57       45920.7      823.454
        0.58       41506.8      770.752
        0.59       37873.5      741.199
         0.6       34937.8      687.246
        0.61         32523      633.479
        0.62       30578.7      594.269
        0.63       28944.2       588.59
        0.64       27547.4      582.443
        0.65       26251.8      542.451
        0.66       24930.5      549.401
        0.67       23633.4      529.869
        0.68       22444.4      538.252
        0.69       21370.5      524.427
         0.7       20544.8      523.653
        0.71       20063.1      532.141
        0.72       19783.8      525.712
        0.73         19768      539.647
        0.74         20179      525.502
        0.75       20766.3      554.337
        0.76       21635.3      544.257
        0.77       22400.9      547.539
        0.78       23075.1      571.053
        0.79       23455.3       579.62
         0.8       23459.1       576.14
        0.81         23167      554.471
        0.82       22487.9      559.559
        0.83       21665.1      559.433
        0.84       20890.3      560.802
        0.85       20130.5      552.492
        0.86       19424.8      510.041
        0.87       18796.2      503.576
        0.88       18126.8      494.365
        0.89       17405.4      495.988
         0.9       16627.2      488.901
        0.91       15788.5      473.358
        0.92       14956.9       465.27
        0.93       14121.6      448.156
        0.94       13464.1      441.861
        0.95       12884.6      449.935
        0.96       12449.1       426.59
        0.97       12219.8      415.138
        0.98         12070      415.109
        0.99       12000.6      415.616
           1       12027.7      427.368
