Well,Sample,EDTA,Conc.Mg,Temperature,Emission,Conc.HQS,Chelator
A1,No chelator,EDTA = 0 mM,0,37,674,0.05,Glutamine
A2,No chelator,EDTA = 0 mM,0,37,663,0.05,Glutamine
A3,No chelator,EDTA = 0 mM,0,37,621,0.05,Glutamine
A4,No chelator,EDTA = 80 mM,0,37,483,0.05,Glutamine
A5,No chelator,EDTA = 80 mM,0,37,439,0.05,Glutamine
A6,No chelator,EDTA = 80 mM,0,37,483,0.05,Glutamine
A7,No chelator,EDTA = 0 mM,0.1,37,5518,0.05,Glutamine
A8,No chelator,EDTA = 0 mM,0.1,37,5845,0.05,Glutamine
A9,No chelator,EDTA = 0 mM,0.1,37,5694,0.05,Glutamine
A10,No chelator,EDTA = 0 mM,0.2,37,8768,0.05,Glutamine
A11,No chelator,EDTA = 0 mM,0.2,37,8889,0.05,Glutamine
A12,No chelator,EDTA = 0 mM,0.2,37,8589,0.05,Glutamine
B1,No chelator,EDTA = 0 mM,0.3,37,14677,0.05,Glutamine
B2,No chelator,EDTA = 0 mM,0.3,37,14585,0.05,Glutamine
B3,No chelator,EDTA = 0 mM,0.3,37,14452,0.05,Glutamine
B4,No chelator,EDTA = 0 mM,0.5,37,22779,0.05,Glutamine
B5,No chelator,EDTA = 0 mM,0.5,37,22698,0.05,Glutamine
B6,No chelator,EDTA = 0 mM,0.5,37,23497,0.05,Glutamine
B7,No chelator,EDTA = 0 mM,0.8,37,33047,0.05,Glutamine
B8,No chelator,EDTA = 0 mM,0.8,37,34070,0.05,Glutamine
B9,No chelator,EDTA = 0 mM,0.8,37,34849,0.05,Glutamine
B10,No chelator,EDTA = 0 mM,1.4,37,51718,0.05,Glutamine
B11,No chelator,EDTA = 0 mM,1.4,37,51700,0.05,Glutamine
B12,No chelator,EDTA = 0 mM,1.4,37,51153,0.05,Glutamine
C1,No chelator,EDTA = 0 mM,3.5,37,93895,0.05,Glutamine
C2,No chelator,EDTA = 0 mM,3.5,37,92605,0.05,Glutamine
C3,No chelator,EDTA = 0 mM,3.5,37,91078,0.05,Glutamine
C4,No chelator,EDTA = 0 mM,4,37,101141,0.05,Glutamine
C5,No chelator,EDTA = 0 mM,4,37,97324,0.05,Glutamine
C6,No chelator,EDTA = 0 mM,4,37,105663,0.05,Glutamine
C7,No chelator,EDTA = 0 mM,7,37,122068,0.05,Glutamine
C8,No chelator,EDTA = 0 mM,7,37,121372,0.05,Glutamine
C9,No chelator,EDTA = 0 mM,7,37,120721,0.05,Glutamine
C10,No chelator,EDTA = 0 mM,11.6,37,133968,0.05,Glutamine
C11,No chelator,EDTA = 0 mM,11.6,37,140083,0.05,Glutamine
C12,No chelator,EDTA = 0 mM,11.6,37,136067,0.05,Glutamine
D1,No chelator,EDTA = 0 mM,19.8,37,164099,0.05,Glutamine
D2,No chelator,EDTA = 0 mM,19.8,37,159816,0.05,Glutamine
D3,No chelator,EDTA = 0 mM,19.8,37,165113,0.05,Glutamine
D4,No chelator,EDTA = 0 mM,34.4,37,176048,0.05,Glutamine
D5,No chelator,EDTA = 0 mM,34.4,37,172706,0.05,Glutamine
D6,No chelator,EDTA = 0 mM,34.4,37,177302,0.05,Glutamine
D7,No chelator,EDTA = 0 mM,58.4,37,180221,0.05,Glutamine
D8,No chelator,EDTA = 0 mM,58.4,37,175827,0.05,Glutamine
D9,No chelator,EDTA = 0 mM,58.4,37,186218,0.05,Glutamine
D10,No chelator,EDTA = 0 mM,67.4,37,174212,0.05,Glutamine
D11,No chelator,EDTA = 0 mM,67.4,37,174737,0.05,Glutamine
D12,No chelator,EDTA = 0 mM,67.4,37,175732,0.05,Glutamine
E1,Chelator,EDTA = 0 mM,0.01897052,37,846,0.05,Glutamine
