"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,0,"A1",20,1,1.94283160640597
-56.2,-0.1364,2,0.2,200,1,"A2",20,1,1.92657823269695
-56.2,-0.1364,2,0.2,200,10,"A3",20,1,1.8909538382667
-56.2,-0.1364,2,0.2,200,50,"A4",20,1,1.45869758628847
-56.2,-0.1364,2,0.2,200,100,"A5",20,1,1.07940477428801
-56.2,-0.1364,2,0.2,200,150,"A6",20,1,0.655417952205502
-56.2,-0.1364,2,0.2,200,200,"A7",20,1,0.271440239300705
-56.2,-0.1364,2,0.2,200,250,"A8",20,1,0.15104706362478
-56.2,-0.1364,2,0.2,200,400,"A9",20,1,0.241666992701699
-56.2,-0.1364,2,0.2,200,600,"A10",20,1,0.146331205125852
-56.2,-0.1364,2,0.2,200,800,"A11",20,1,0.181740811263887
-56.2,-0.1364,2,0.2,200,1000,"A12",20,1,0.234195421569321
-56.2,-0.1364,2,0.2,200,0,"B1",20,1,2.01611917009073
-56.2,-0.1364,2,0.2,200,1,"B2",20,1,1.91584212468305
-56.2,-0.1364,2,0.2,200,10,"B3",20,1,1.90108492532022
-56.2,-0.1364,2,0.2,200,50,"B4",20,1,1.49967418677562
-56.2,-0.1364,2,0.2,200,100,"B5",20,1,1.17842644124377
-56.2,-0.1364,2,0.2,200,150,"B6",20,1,0.638875848729112
-56.2,-0.1364,2,0.2,200,200,"B7",20,1,0.133884348776307
-56.2,-0.1364,2,0.2,200,250,"B8",20,1,0.32521105068148
-56.2,-0.1364,2,0.2,200,400,"B9",20,1,0.257092480979125
-56.2,-0.1364,2,0.2,200,600,"B10",20,1,0.0580835045104154
-56.2,-0.1364,2,0.2,200,800,"B11",20,1,0.130624691746061
-56.2,-0.1364,2,0.2,200,1000,"B12",20,1,0.255949298795877
-56.2,-0.1364,2,0.2,200,0,"B1",20,1,2.04540708165164
-56.2,-0.1364,2,0.2,200,1,"B2",20,1,1.90382999623813
-56.2,-0.1364,2,0.2,200,10,"B3",20,1,1.87732680651764
-56.2,-0.1364,2,0.2,200,50,"B4",20,1,1.60012301346998
-56.2,-0.1364,2,0.2,200,100,"B5",20,1,1.09222632619059
-56.2,-0.1364,2,0.2,200,150,"B6",20,1,0.668397710864281
-56.2,-0.1364,2,0.2,200,200,"B7",20,1,0.172976576437023
-56.2,-0.1364,2,0.2,200,250,"B8",20,1,0.192351155407043
-56.2,-0.1364,2,0.2,200,400,"B9",20,1,0.218560829959592
-56.2,-0.1364,2,0.2,200,600,"B10",20,1,0.221903375502072
-56.2,-0.1364,2,0.2,200,800,"B11",20,1,0.186905758615613
-56.2,-0.1364,2,0.2,200,1000,"B12",20,1,0.207851555700091
-56.2,-0.1364,2,0.2,200,0,"A1",20.5,2,2.02800856713222
-56.2,-0.1364,2,0.2,200,1,"A2",20.5,2,1.95788962498349
-56.2,-0.1364,2,0.2,200,10,"A3",20.5,2,1.8474648075304
-56.2,-0.1364,2,0.2,200,50,"A4",20.5,2,1.52845627101858
-56.2,-0.1364,2,0.2,200,100,"A5",20.5,2,1.07464607906104
-56.2,-0.1364,2,0.2,200,150,"A6",20.5,2,0.62640317784913
-56.2,-0.1364,2,0.2,200,200,"A7",20.5,2,0.2059375976447
-56.2,-0.1364,2,0.2,200,250,"A8",20.5,2,0.148401291228447
-56.2,-0.1364,2,0.2,200,400,"A9",20.5,2,0.248883330640931
-56.2,-0.1364,2,0.2,200,600,"A10",20.5,2,0.142477270466344
-56.2,-0.1364,2,0.2,200,800,"A11",20.5,2,0.213702414480788
-56.2,-0.1364,2,0.2,200,1000,"A12",20.5,2,0.244516094776797
-56.2,-0.1364,2,0.2,200,0,"B1",20.5,2,1.96237302757758
-56.2,-0.1364,2,0.2,200,1,"B2",20.5,2,1.90817762189967
-56.2,-0.1364,2,0.2,200,10,"B3",20.5,2,1.94817012072213
-56.2,-0.1364,2,0.2,200,50,"B4",20.5,2,1.55781054451159
-56.2,-0.1364,2,0.2,200,100,"B5",20.5,2,1.14866000877683
-56.2,-0.1364,2,0.2,200,150,"B6",20.5,2,0.664920435965169
-56.2,-0.1364,2,0.2,200,200,"B7",20.5,2,0.198784426571399
-56.2,-0.1364,2,0.2,200,250,"B8",20.5,2,0.203281908203797
-56.2,-0.1364,2,0.2,200,400,"B9",20.5,2,0.291903463364112
-56.2,-0.1364,2,0.2,200,600,"B10",20.5,2,0.187599079600653
-56.2,-0.1364,2,0.2,200,800,"B11",20.5,2,0.227458461026724
-56.2,-0.1364,2,0.2,200,1000,"B12",20.5,2,0.270963941629577
-56.2,-0.1364,2,0.2,200,0,"B1",20.5,2,1.99509238358581
-56.2,-0.1364,2,0.2,200,1,"B2",20.5,2,1.88335108402062
-56.2,-0.1364,2,0.2,200,10,"B3",20.5,2,1.9285120145886
-56.2,-0.1364,2,0.2,200,50,"B4",20.5,2,1.58067144899961
-56.2,-0.1364,2,0.2,200,100,"B5",20.5,2,1.10721910911254
-56.2,-0.1364,2,0.2,200,150,"B6",20.5,2,0.687326846133959
-56.2,-0.1364,2,0.2,200,200,"B7",20.5,2,0.285874773765713
-56.2,-0.1364,2,0.2,200,250,"B8",20.5,2,0.206815391191922
-56.2,-0.1364,2,0.2,200,400,"B9",20.5,2,0.153041453563003
-56.2,-0.1364,2,0.2,200,600,"B10",20.5,2,0.246285108252939
-56.2,-0.1364,2,0.2,200,800,"B11",20.5,2,0.246507295656818
-56.2,-0.1364,2,0.2,200,1000,"B12",20.5,2,0.261107191747422
-56.2,-0.1364,2,0.2,200,0,"A1",21,3,2.03737857775135
-56.2,-0.1364,2,0.2,200,1,"A2",21,3,1.98498081806306
-56.2,-0.1364,2,0.2,200,10,"A3",21,3,1.9738000912296
-56.2,-0.1364,2,0.2,200,50,"A4",21,3,1.48032990502336
-56.2,-0.1364,2,0.2,200,100,"A5",21,3,1.17590820244346
-56.2,-0.1364,2,0.2,200,150,"A6",21,3,0.644646674294072
-56.2,-0.1364,2,0.2,200,200,"A7",21,3,0.209321128520857
-56.2,-0.1364,2,0.2,200,250,"A8",21,3,0.164239331734969
-56.2,-0.1364,2,0.2,200,400,"A9",21,3,0.183554340666912
-56.2,-0.1364,2,0.2,200,600,"A10",21,3,0.296483363403632
-56.2,-0.1364,2,0.2,200,800,"A11",21,3,0.23325568566863
-56.2,-0.1364,2,0.2,200,1000,"A12",21,3,0.20810980545386
-56.2,-0.1364,2,0.2,200,0,"B1",21,3,1.91844649767244
-56.2,-0.1364,2,0.2,200,1,"B2",21,3,1.94737083868675
-56.2,-0.1364,2,0.2,200,10,"B3",21,3,1.99182043792143
-56.2,-0.1364,2,0.2,200,50,"B4",21,3,1.58538044769874
-56.2,-0.1364,2,0.2,200,100,"B5",21,3,1.06252768141443
-56.2,-0.1364,2,0.2,200,150,"B6",21,3,0.657882811464241
-56.2,-0.1364,2,0.2,200,200,"B7",21,3,0.150700296206265
-56.2,-0.1364,2,0.2,200,250,"B8",21,3,0.126018981830413
-56.2,-0.1364,2,0.2,200,400,"B9",21,3,0.237839619717062
-56.2,-0.1364,2,0.2,200,600,"B10",21,3,0.160845165509019
-56.2,-0.1364,2,0.2,200,800,"B11",21,3,0.234602724562927
-56.2,-0.1364,2,0.2,200,1000,"B12",21,3,0.200681498179935
-56.2,-0.1364,2,0.2,200,0,"B1",21,3,2.05316730957727
-56.2,-0.1364,2,0.2,200,1,"B2",21,3,1.98614365853604
-56.2,-0.1364,2,0.2,200,10,"B3",21,3,1.95748518794965
-56.2,-0.1364,2,0.2,200,50,"B4",21,3,1.55508345565901
-56.2,-0.1364,2,0.2,200,100,"B5",21,3,1.09780368395441
-56.2,-0.1364,2,0.2,200,150,"B6",21,3,0.55810031822903
-56.2,-0.1364,2,0.2,200,200,"B7",21,3,0.150373781611217
-56.2,-0.1364,2,0.2,200,250,"B8",21,3,0.191764899649394
-56.2,-0.1364,2,0.2,200,400,"B9",21,3,0.214852323585116
-56.2,-0.1364,2,0.2,200,600,"B10",21,3,0.113924005258232
-56.2,-0.1364,2,0.2,200,800,"B11",21,3,0.185160133162003
-56.2,-0.1364,2,0.2,200,1000,"B12",21,3,0.169937486046534
-56.2,-0.1364,2,0.2,200,0,"A1",21.5,4,1.9839998511494
-56.2,-0.1364,2,0.2,200,1,"A2",21.5,4,2.02746795052466
-56.2,-0.1364,2,0.2,200,10,"A3",21.5,4,1.93440017475893
-56.2,-0.1364,2,0.2,200,50,"A4",21.5,4,1.45316876514811
-56.2,-0.1364,2,0.2,200,100,"A5",21.5,4,1.15594322218521
-56.2,-0.1364,2,0.2,200,150,"A6",21.5,4,0.564481789211497
-56.2,-0.1364,2,0.2,200,200,"A7",21.5,4,0.108992942608958
-56.2,-0.1364,2,0.2,200,250,"A8",21.5,4,0.161551932149769
-56.2,-0.1364,2,0.2,200,400,"A9",21.5,4,0.179968335201832
-56.2,-0.1364,2,0.2,200,600,"A10",21.5,4,0.129664175734356
-56.2,-0.1364,2,0.2,200,800,"A11",21.5,4,0.218558082379557
-56.2,-0.1364,2,0.2,200,1000,"A12",21.5,4,0.163992849620344
-56.2,-0.1364,2,0.2,200,0,"B1",21.5,4,1.95439915434799
-56.2,-0.1364,2,0.2,200,1,"B2",21.5,4,2.03450737667965
-56.2,-0.1364,2,0.2,200,10,"B3",21.5,4,1.96609155426991
