"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,230,0,"A1",20,1,1.9356289335179
-56.2,-0.1364,2,0.2,230,1,"A2",20,1,1.97571616743557
-56.2,-0.1364,2,0.2,230,10,"A3",20,1,1.8219503643562
-56.2,-0.1364,2,0.2,230,50,"A4",20,1,1.60727432747326
-56.2,-0.1364,2,0.2,230,100,"A5",20,1,1.27979441591939
-56.2,-0.1364,2,0.2,230,150,"A6",20,1,0.7574093480786
-56.2,-0.1364,2,0.2,230,200,"A7",20,1,0.451292358870603
-56.2,-0.1364,2,0.2,230,250,"A8",20,1,0.28178936784018
-56.2,-0.1364,2,0.2,230,400,"A9",20,1,0.25218833607973
-56.2,-0.1364,2,0.2,230,600,"A10",20,1,0.210470642927548
-56.2,-0.1364,2,0.2,230,800,"A11",20,1,0.174118382517185
-56.2,-0.1364,2,0.2,230,1000,"A12",20,1,0.209641819411849
-56.2,-0.1364,2,0.2,230,0,"B1",20,1,2.05891626680635
-56.2,-0.1364,2,0.2,230,1,"B2",20,1,1.98344680079801
-56.2,-0.1364,2,0.2,230,10,"B3",20,1,1.94400262630221
-56.2,-0.1364,2,0.2,230,50,"B4",20,1,1.70300404193482
-56.2,-0.1364,2,0.2,230,100,"B5",20,1,1.27132202292193
-56.2,-0.1364,2,0.2,230,150,"B6",20,1,0.851495842091351
-56.2,-0.1364,2,0.2,230,200,"B7",20,1,0.423567320804578
-56.2,-0.1364,2,0.2,230,250,"B8",20,1,0.234582917614565
-56.2,-0.1364,2,0.2,230,400,"B9",20,1,0.277427858956009
-56.2,-0.1364,2,0.2,230,600,"B10",20,1,0.212185706513946
-56.2,-0.1364,2,0.2,230,800,"B11",20,1,0.140013590548558
-56.2,-0.1364,2,0.2,230,1000,"B12",20,1,0.187187922857526
-56.2,-0.1364,2,0.2,230,0,"B1",20,1,2.05578859516144
-56.2,-0.1364,2,0.2,230,1,"B2",20,1,1.98883647130906
-56.2,-0.1364,2,0.2,230,10,"B3",20,1,1.88773194152207
-56.2,-0.1364,2,0.2,230,50,"B4",20,1,1.66182287480053
-56.2,-0.1364,2,0.2,230,100,"B5",20,1,1.20095150660914
-56.2,-0.1364,2,0.2,230,150,"B6",20,1,0.837339006604653
-56.2,-0.1364,2,0.2,230,200,"B7",20,1,0.425182736591616
-56.2,-0.1364,2,0.2,230,250,"B8",20,1,0.252520139424849
-56.2,-0.1364,2,0.2,230,400,"B9",20,1,0.273116664707637
-56.2,-0.1364,2,0.2,230,600,"B10",20,1,0.179709311202402
-56.2,-0.1364,2,0.2,230,800,"B11",20,1,0.0605977080567817
-56.2,-0.1364,2,0.2,230,1000,"B12",20,1,0.150370439612221
-56.2,-0.1364,2,0.2,230,0,"A1",20.5,2,2.05480272002878
-56.2,-0.1364,2,0.2,230,1,"A2",20.5,2,1.98533274945064
-56.2,-0.1364,2,0.2,230,10,"A3",20.5,2,1.87476473037836
