"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,240,0,"A1",20,1,1.9767153439074
-56.2,-0.1364,2,0.2,240,1,"A2",20,1,1.90935179551036
-56.2,-0.1364,2,0.2,240,10,"A3",20,1,1.91758261951956
-56.2,-0.1364,2,0.2,240,50,"A4",20,1,1.65960573681814
-56.2,-0.1364,2,0.2,240,100,"A5",20,1,1.19625350871686
-56.2,-0.1364,2,0.2,240,150,"A6",20,1,0.894236464404089
-56.2,-0.1364,2,0.2,240,200,"A7",20,1,0.479456870718235
-56.2,-0.1364,2,0.2,240,250,"A8",20,1,0.329696519692721
-56.2,-0.1364,2,0.2,240,400,"A9",20,1,0.204268180853389
-56.2,-0.1364,2,0.2,240,600,"A10",20,1,0.0825110856144682
-56.2,-0.1364,2,0.2,240,800,"A11",20,1,0.183019378909032
-56.2,-0.1364,2,0.2,240,1000,"A12",20,1,0.207231003520831
-56.2,-0.1364,2,0.2,240,0,"B1",20,1,2.04490077942322
-56.2,-0.1364,2,0.2,240,1,"B2",20,1,1.94340056261285
-56.2,-0.1364,2,0.2,240,10,"B3",20,1,1.97776429169192
-56.2,-0.1364,2,0.2,240,50,"B4",20,1,1.51482539396663
-56.2,-0.1364,2,0.2,240,100,"B5",20,1,1.30008171049236
-56.2,-0.1364,2,0.2,240,150,"B6",20,1,0.984526078701446
-56.2,-0.1364,2,0.2,240,200,"B7",20,1,0.535825472491992
-56.2,-0.1364,2,0.2,240,250,"B8",20,1,0.231133491261907
-56.2,-0.1364,2,0.2,240,400,"B9",20,1,0.164195754849176
-56.2,-0.1364,2,0.2,240,600,"B10",20,1,0.1842037071883
-56.2,-0.1364,2,0.2,240,800,"B11",20,1,0.245936682336206
-56.2,-0.1364,2,0.2,240,1000,"B12",20,1,0.179334282221275
-56.2,-0.1364,2,0.2,240,0,"B1",20,1,1.96056188278516
-56.2,-0.1364,2,0.2,240,1,"B2",20,1,1.97291281632975
-56.2,-0.1364,2,0.2,240,10,"B3",20,1,1.8836010663995
-56.2,-0.1364,2,0.2,240,50,"B4",20,1,1.676174129966
-56.2,-0.1364,2,0.2,240,100,"B5",20,1,1.23342120873167
-56.2,-0.1364,2,0.2,240,150,"B6",20,1,0.871611869452665
-56.2,-0.1364,2,0.2,240,200,"B7",20,1,0.494794314201284
-56.2,-0.1364,2,0.2,240,250,"B8",20,1,0.149212473533285
-56.2,-0.1364,2,0.2,240,400,"B9",20,1,0.174240549602778
-56.2,-0.1364,2,0.2,240,600,"B10",20,1,0.221404432906426
-56.2,-0.1364,2,0.2,240,800,"B11",20,1,0.344244522866563
-56.2,-0.1364,2,0.2,240,1000,"B12",20,1,0.252287273657635
-56.2,-0.1364,2,0.2,240,0,"A1",20.5,2,1.95986487878513
-56.2,-0.1364,2,0.2,240,1,"A2",20.5,2,2.08033416886346
-56.2,-0.1364,2,0.2,240,10,"A3",20.5,2,1.97373005350626
-56.2,-0.1364,2,0.2,240,50,"A4",20.5,2,1.61606306932807
-56.2,-0.1364,2,0.2,240,100,"A5",20.5,2,1.31352960371702
-56.2,-0.1364,2,0.2,240,150,"A6",20.5,2,0.848893726733649
-56.2,-0.1364,2,0.2,240,200,"A7",20.5,2,0.452880271131243
-56.2,-0.1364,2,0.2,240,250,"A8",20.5,2,0.248175632312878
-56.2,-0.1364,2,0.2,240,400,"A9",20.5,2,0.186322760009133
-56.2,-0.1364,2,0.2,240,600,"A10",20.5,2,0.242453242539438
-56.2,-0.1364,2,0.2,240,800,"A11",20.5,2,0.192765647951959
-56.2,-0.1364,2,0.2,240,1000,"A12",20.5,2,0.211623763503013
-56.2,-0.1364,2,0.2,240,0,"B1",20.5,2,1.99039094074983
-56.2,-0.1364,2,0.2,240,1,"B2",20.5,2,2.03346570074175
-56.2,-0.1364,2,0.2,240,10,"B3",20.5,2,1.84143208900939
-56.2,-0.1364,2,0.2,240,50,"B4",20.5,2,1.55152712522521
-56.2,-0.1364,2,0.2,240,100,"B5",20.5,2,1.26688384526648
-56.2,-0.1364,2,0.2,240,150,"B6",20.5,2,0.898017451694663
-56.2,-0.1364,2,0.2,240,200,"B7",20.5,2,0.404658685308805
-56.2,-0.1364,2,0.2,240,250,"B8",20.5,2,0.28098558043463
-56.2,-0.1364,2,0.2,240,400,"B9",20.5,2,0.222441085870803
-56.2,-0.1364,2,0.2,240,600,"B10",20.5,2,0.213833080379366
-56.2,-0.1364,2,0.2,240,800,"B11",20.5,2,0.12084045161314
-56.2,-0.1364,2,0.2,240,1000,"B12",20.5,2,0.1870085563541
-56.2,-0.1364,2,0.2,240,0,"B1",20.5,2,1.98108574303907
-56.2,-0.1364,2,0.2,240,1,"B2",20.5,2,1.9803524731345
-56.2,-0.1364,2,0.2,240,10,"B3",20.5,2,1.98931253862679
-56.2,-0.1364,2,0.2,240,50,"B4",20.5,2,1.66566098323356
-56.2,-0.1364,2,0.2,240,100,"B5",20.5,2,1.33152048045825
-56.2,-0.1364,2,0.2,240,150,"B6",20.5,2,0.91730361327985
-56.2,-0.1364,2,0.2,240,200,"B7",20.5,2,0.474934577169268
-56.2,-0.1364,2,0.2,240,250,"B8",20.5,2,0.179185557189388
-56.2,-0.1364,2,0.2,240,400,"B9",20.5,2,0.178158658571533
