#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
0.115194 1.09253e+08 809192
0.123308 1.0837e+08 802550
0.131422 1.07487e+08 795908
0.139535 1.06604e+08 789267
0.147649 1.05721e+08 782625
0.155763 1.04838e+08 775983
0.163877 1.03956e+08 769341
0.17199 1.03073e+08 762700
0.180104 1.0219e+08 756058
0.188218 1.01307e+08 749416
0.196332 1.00424e+08 742774
0.204445 9.93383e+07 734990
0.212559 9.80848e+07 726263
0.220673 9.68313e+07 717536
0.228786 9.55779e+07 708809
0.2369 9.43244e+07 700082
0.245014 9.30709e+07 691355
0.253128 9.18174e+07 682628
0.261241 9.0564e+07 673901
0.269355 8.93105e+07 665174
0.277469 8.8057e+07 656447
0.285583 8.68035e+07 647720
0.293696 8.55501e+07 638993
0.30181 8.42688e+07 630150
0.309924 8.28908e+07 620904
0.318038 8.15129e+07 611658
0.326151 8.01351e+07 602413
0.334265 7.87571e+07 593167
0.342379 7.73791e+07 583921
0.350492 7.60013e+07 574676
0.358606 7.46233e+07 565430
0.36672 7.32453e+07 556184
0.374834 7.18674e+07 546938
0.382947 7.04896e+07 537693
0.391061 6.91116e+07 528447
0.399175 6.77336e+07 519201
0.407289 6.64423e+07 510369
0.415402 6.51609e+07 501585
0.423516 6.38793e+07 492800
0.43163 6.25978e+07 484014
0.439743 6.13164e+07 475230
0.447857 6.00348e+07 466445
0.455971 5.87533e+07 457660
0.464085 5.74717e+07 448874
0.472198 5.61903e+07 440090
0.480312 5.49088e+07 431305
0.488426 5.36272e+07 422520
0.49654 5.23457e+07 413734
0.504653 5.11995e+07 405508
0.512767 5.01537e+07 397695
0.520881 4.9108e+07 389883
0.528995 4.80622e+07 382070
0.537108 4.70165e+07 374259
0.545222 4.59708e+07 366446
0.553336 4.4925e+07 358634
0.561449 4.38793e+07 350822
0.569563 4.28336e+07 343010
0.577677 4.17878e+07 335197
0.585791 4.0742e+07 327385
0.593904 3.96964e+07 319573
0.602018 3.87194e+07 312034
0.610132 3.79503e+07 305321
0.618246 3.71811e+07 298607
0.626359 3.64121e+07 291895
0.634473 3.56429e+07 285181
0.642587 3.48738e+07 278468
0.650701 3.41046e+07 271754
0.658814 3.33355e+07 265041
0.666928 3.25664e+07 258328
0.675042 3.17972e+07 251614
0.683155 3.10282e+07 244902
0.691269 3.0259e+07 238188
0.699383 2.94899e+07 231475
0.707497 2.89426e+07 226227
0.71561 2.84135e+07 221101
