#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
  0.115194      1.20675e+08 2.94286e+07      1.09253e+08     809192
  0.123308      8.36116e+07  2.373e+07      1.0837e+08     802550
  0.131422      1.02125e+08 1.99429e+07      1.07487e+08     795908
  0.139535      9.62888e+07 1.67658e+07      1.06604e+08     789267
  0.147649      1.03675e+08 1.37331e+07      1.05721e+08     782625
  0.155763      1.24714e+08 1.23591e+07      1.04838e+08     775983
  0.163877      9.36395e+07 1.41235e+07      1.03956e+08     769341
   0.17199      8.03117e+07 1.1199e+07      1.03073e+08     762700
  0.180104      8.74428e+07 1.25725e+07      1.0219e+08     756058
  0.188218      1.09339e+08 9.3693e+06      1.01307e+08     749416
  0.196332      8.65334e+07 1.20565e+07      1.00424e+08     742774
  0.204445      8.49838e+07 1.07246e+07      9.93383e+07     734990
  0.212559      7.46547e+07 9.96968e+06      9.80848e+07     726263
  0.220673      9.61885e+07 9.72438e+06      9.68313e+07     717536
  0.228786      7.55126e+07 9.92593e+06      9.55779e+07     708809
    0.2369      7.4223e+07 9.75655e+06      9.43244e+07     700082
  0.245014      8.16169e+07 8.28467e+06      9.30709e+07     691355
  0.253128      7.99665e+07 8.81668e+06      9.18174e+07     682628
  0.261241      8.40087e+07 8.9454e+06      9.0564e+07     673901
  0.269355      7.28921e+07 8.62073e+06      8.93105e+07     665174
  0.277469      6.81983e+07 9.30354e+06      8.8057e+07     656447
  0.285583      8.91097e+07 7.38142e+06      8.68035e+07     647720
  0.293696      7.94702e+07 8.37022e+06      8.55501e+07     638993
   0.30181      9.19994e+07  7.883e+06      8.42688e+07     630150
  0.309924      7.96264e+07 7.38815e+06      8.28908e+07     620904
  0.318038      9.49857e+07 7.77247e+06      8.15129e+07     611658
  0.326151      6.33349e+07 7.33023e+06      8.01351e+07     602413
  0.334265      6.96753e+07 7.96975e+06      7.87571e+07     593167
  0.342379      7.18773e+07 7.39054e+06      7.73791e+07     583921
  0.350492       5.853e+07 7.15655e+06      7.60013e+07     574676
  0.358606      6.90031e+07 7.32675e+06      7.46233e+07     565430
   0.36672      7.03097e+07 7.01916e+06      7.32453e+07     556184
  0.374834      7.48228e+07 6.6886e+06      7.18674e+07     546938
  0.382947      5.86321e+07 6.70566e+06      7.04896e+07     537693
  0.391061      6.45042e+07 6.46459e+06      6.91116e+07     528447
  0.399175      6.12428e+07 6.43799e+06      6.77336e+07     519201
  0.407289      5.70683e+07 6.57872e+06      6.64423e+07     510369
  0.415402      6.21023e+07 6.14542e+06      6.51609e+07     501585
  0.423516      8.24373e+07 6.4253e+06      6.38793e+07     492800
   0.43163      6.5964e+07 6.6304e+06      6.25978e+07     484014
  0.439743      6.52145e+07 5.99828e+06      6.13164e+07     475230
  0.447857      4.99242e+07 6.26943e+06      6.00348e+07     466445
  0.455971      5.41148e+07 6.29946e+06      5.87533e+07     457660
  0.464085      5.99648e+07 6.19636e+06      5.74717e+07     448874
  0.472198      5.39279e+07 5.87194e+06      5.61903e+07     440090
  0.480312      6.27234e+07 5.66669e+06      5.49088e+07     431305
  0.488426      3.56657e+07 5.67734e+06      5.36272e+07     422520
   0.49654      4.65223e+07 5.84847e+06      5.23457e+07     413734
  0.504653      5.95527e+07 5.55486e+06      5.11995e+07     405508
  0.512767      5.25904e+07 5.58017e+06      5.01537e+07     397695
  0.520881      5.32752e+07 5.52241e+06      4.9108e+07     389883
  0.528995      4.12559e+07 5.47356e+06      4.80622e+07     382070
  0.537108      3.94843e+07 5.48774e+06      4.70165e+07     374259
  0.545222      5.48339e+07 5.47536e+06      4.59708e+07     366446
  0.553336      5.22537e+07 5.29573e+06      4.4925e+07     358634
  0.561449      4.64477e+07 5.26706e+06      4.38793e+07     350822
