#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
0.0340569 3.04733e+07 181700
0.0421706 3.0441e+07 181445
0.0502843 3.04086e+07 181190
0.0583981 3.03763e+07 180934
0.0665118 3.0344e+07 180679
0.0746255 3.03116e+07 180424
0.0827393 3.02793e+07 180169
0.090853 3.0247e+07 179914
0.0989667 3.02146e+07 179658
0.10708 3.01281e+07 178994
0.115194 3.00337e+07 178270
0.123308 2.99393e+07 177546
0.131422 2.98449e+07 176822
0.139535 2.97505e+07 176098
0.147649 2.96561e+07 175374
0.155763 2.95617e+07 174650
0.163877 2.94673e+07 173926
0.17199 2.93729e+07 173202
0.180104 2.92785e+07 172478
0.188218 2.91841e+07 171753
0.196332 2.90897e+07 171029
0.204445 2.89654e+07 170109
0.212559 2.88165e+07 169026
0.220673 2.86677e+07 167943
0.228786 2.85188e+07 166860
0.2369 2.83699e+07 165777
0.245014 2.8221e+07 164694
0.253128 2.80721e+07 163611
0.261241 2.79232e+07 162528
0.269355 2.77743e+07 161445
0.277469 2.76254e+07 160362
0.285583 2.74766e+07 159279
0.293696 2.73277e+07 158196
0.30181 2.71692e+07 157067
0.309924 2.69773e+07 155778
0.318038 2.67854e+07 154488
0.326151 2.65935e+07 153198
0.334265 2.64016e+07 151909
0.342379 2.62097e+07 150619
0.350492 2.60178e+07 149329
0.358606 2.58259e+07 148040
0.36672 2.56339e+07 146750
0.374834 2.5442e+07 145460
0.382947 2.52501e+07 144171
0.391061 2.50582e+07 142881
0.399175 2.48663e+07 141591
0.407289 2.46483e+07 140256
0.415402 2.44274e+07 138916
0.423516 2.42065e+07 137576
0.43163 2.39856e+07 136235
0.439743 2.37647e+07 134895
0.447857 2.35437e+07 133555
0.455971 2.33228e+07 132215
0.464085 2.31019e+07 130874
0.472198 2.2881e+07 129534
0.480312 2.26601e+07 128194
0.488426 2.24391e+07 126854
0.49654 2.22182e+07 125514
0.504653 2.19891e+07 124216
0.512767 2.1754e+07 122949
0.520881 2.15188e+07 121683
0.528995 2.12836e+07 120417
0.537108 2.10485e+07 119151
0.545222 2.08133e+07 117884
0.553336 2.05782e+07 116618
0.561449 2.0343e+07 115352
0.569563 2.01079e+07 114085
0.577677 1.98727e+07 112819
0.585791 1.96375e+07 111553
0.593904 1.94024e+07 110286
0.602018 1.91671e+07 109052
0.610132 1.89317e+07 107916
0.618246 1.86962e+07 106780
0.626359 1.84608e+07 105644
0.634473 1.82253e+07 104508
0.642587 1.79899e+07 103372
0.650701 1.77544e+07 102236
0.658814 1.7519e+07 101100
0.666928 1.72835e+07 99963.7
0.675042 1.70481e+07 98827.5
0.683155 1.68126e+07 97691.6
0.691269 1.65772e+07 96555.4
0.699383 1.63417e+07 95419.3
0.707497 1.61169e+07 94382.4
0.71561 1.5893e+07 93353.7
0.723724 1.5669e+07 92324.9
0.731838 1.54451e+07 91296.2
0.739952 1.52212e+07 90267.4
0.748065 1.49973e+07 89238.7
0.756179 1.47733e+07 88210
0.764293 1.45494e+07 87181.2
0.772407 1.43254e+07 86152.4
0.78052 1.41015e+07 85123.8
0.788634 1.38776e+07 84095
0.796748 1.36537e+07 83066.2
0.804861 1.34419e+07 82122.7
0.812975 1.32382e+07 81235.9
0.821089 1.30345e+07 80349.1
