#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
 0.0340569         -864384          0      3.04733e+07     181700
 0.0421706         -864384          0      3.0441e+07     181445
 0.0502843         -864384          0      3.04086e+07     181190
 0.0583981         -864384          0      3.03763e+07     180934
 0.0665118         -864384          0      3.0344e+07     180679
 0.0746255         -864384          0      3.03116e+07     180424
 0.0827393         -864384          0      3.02793e+07     180169
  0.090853         -864384          0      3.0247e+07     179914
 0.0989667         -864384          0      3.02146e+07     179658
   0.10708      1.38894e+07 2.91892e+07      3.01281e+07     178994
  0.115194      6.03187e+07 1.47013e+07      3.00337e+07     178270
  0.123308      4.18031e+07 1.18546e+07      2.99393e+07     177546
  0.131422      5.10518e+07 9.96268e+06      2.98449e+07     176822
  0.139535      4.81362e+07 8.37554e+06      2.97505e+07     176098
  0.147649      5.18262e+07 6.86049e+06      2.96561e+07     175374
  0.155763      6.23362e+07 6.17412e+06      2.95617e+07     174650
  0.163877      4.68127e+07 7.05554e+06      2.94673e+07     173926
   0.17199      4.01547e+07 5.59458e+06      2.93729e+07     173202
  0.180104      4.3717e+07 6.28073e+06      2.92785e+07     172478
  0.188218      5.46556e+07 4.68053e+06      2.91841e+07     171753
  0.196332      4.32627e+07 6.02294e+06      2.90897e+07     171029
  0.204445      4.24886e+07 5.35759e+06      2.89654e+07     170109
  0.212559      3.73286e+07 4.98045e+06      2.88165e+07     169026
  0.220673      4.80861e+07 4.85791e+06      2.86677e+07     167943
  0.228786      3.77572e+07 4.9586e+06      2.85188e+07     166860
    0.2369      3.7113e+07 4.87398e+06      2.83699e+07     165777
  0.245014      4.08067e+07 4.13869e+06      2.8221e+07     164694
  0.253128      3.99822e+07 4.40446e+06      2.80721e+07     163611
  0.261241      4.20015e+07 4.46877e+06      2.79232e+07     162528
  0.269355      3.64481e+07 4.30657e+06      2.77743e+07     161445
  0.277469      3.41032e+07 4.64768e+06      2.76254e+07     160362
  0.285583      4.45498e+07 3.68746e+06      2.74766e+07     159279
  0.293696      3.97342e+07 4.18143e+06      2.73277e+07     158196
   0.30181      4.59934e+07 3.93803e+06      2.71692e+07     157067
  0.309924      3.98123e+07 3.69082e+06      2.69773e+07     155778
  0.318038      4.74852e+07 3.88282e+06      2.67854e+07     154488
  0.326151      3.16737e+07 3.66189e+06      2.65935e+07     153198
  0.334265      3.48411e+07 3.98137e+06      2.64016e+07     151909
  0.342379      3.59411e+07 3.69202e+06      2.62097e+07     150619
  0.350492      2.92734e+07 3.57513e+06      2.60178e+07     149329
  0.358606      3.45053e+07 3.66015e+06      2.58259e+07     148040
   0.36672      3.51581e+07 3.50649e+06      2.56339e+07     146750
  0.374834      3.74126e+07 3.34136e+06      2.5442e+07     145460
  0.382947      2.93244e+07 3.34988e+06      2.52501e+07     144171
  0.391061      3.22578e+07 3.22945e+06      2.50582e+07     142881
  0.399175      3.06286e+07 3.21616e+06      2.48663e+07     141591
  0.407289      2.85431e+07 3.28647e+06      2.46483e+07     140256
  0.415402      3.1058e+07 3.07001e+06      2.44274e+07     138916
  0.423516      4.12165e+07 3.20982e+06      2.42065e+07     137576
   0.43163      3.29871e+07 3.31228e+06      2.39856e+07     136235
  0.439743      3.26127e+07 2.9965e+06      2.37647e+07     134895
  0.447857      2.49743e+07 3.13196e+06      2.35437e+07     133555
  0.455971      2.70677e+07 3.14696e+06      2.33228e+07     132215
  0.464085      2.99901e+07 3.09545e+06      2.31019e+07     130874
  0.472198      2.69743e+07 2.93339e+06      2.2881e+07     129534
  0.480312      3.13682e+07 2.83085e+06      2.26601e+07     128194
  0.488426      1.78513e+07 2.83617e+06      2.24391e+07     126854
   0.49654      2.32748e+07 2.92166e+06      2.22182e+07     125514
  0.504653      2.97843e+07 2.77499e+06      2.19891e+07     124216
  0.512767      2.63062e+07 2.78763e+06      2.1754e+07     122949
  0.520881      2.66483e+07 2.75877e+06      2.15188e+07     121683
  0.528995      2.06439e+07 2.73437e+06      2.12836e+07     120417
  0.537108      1.97589e+07 2.74146e+06      2.10485e+07     119151
  0.545222      2.7427e+07 2.73527e+06      2.08133e+07     117884
  0.553336      2.6138e+07 2.64553e+06      2.05782e+07     116618
  0.561449      2.32375e+07 2.63121e+06      2.0343e+07     115352
  0.569563      1.99107e+07 2.64702e+06      2.01079e+07     114085
  0.577677      2.5381e+07 2.50171e+06      1.98727e+07     112819
  0.585791      2.31682e+07 2.59883e+06      1.96375e+07     111553
  0.593904      2.12962e+07 2.56134e+06      1.94024e+07     110286
  0.602018      2.12914e+07 2.56412e+06      1.91671e+07     109052
  0.610132      2.09962e+07 2.59942e+06      1.89317e+07     107916
  0.618246      1.96969e+07 2.41286e+06      1.86962e+07     106780
  0.626359      1.85637e+07 2.53551e+06      1.84608e+07     105644
  0.634473      2.13794e+07 2.44082e+06      1.82253e+07     104508
  0.642587      2.12976e+07 2.40699e+06      1.79899e+07     103372
  0.650701      2.22398e+07 2.4049e+06      1.77544e+07     102236
  0.658814      1.97669e+07 2.33218e+06      1.7519e+07     101100
  0.666928      1.46805e+07 2.33989e+06      1.72835e+07    99963.7
  0.675042      1.73121e+07 2.39311e+06      1.70481e+07    98827.5
  0.683155      1.93934e+07 2.3649e+06      1.68126e+07    97691.6
