"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,0,"A1",20,1,2.01394865928388
-56.2,-0.1364,2,0.2,200,1,"A2",20,1,1.96716803180664
-56.2,-0.1364,2,0.2,200,10,"A3",20,1,1.93433706815717
-56.2,-0.1364,2,0.2,200,50,"A4",20,1,1.4657492247581
-56.2,-0.1364,2,0.2,200,100,"A5",20,1,1.15638483696067
-56.2,-0.1364,2,0.2,200,150,"A6",20,1,0.644643166792778
-56.2,-0.1364,2,0.2,200,200,"A7",20,1,0.22722478306214
-56.2,-0.1364,2,0.2,200,250,"A8",20,1,0.205830340965431
-56.2,-0.1364,2,0.2,200,400,"A9",20,1,0.241681745446256
-56.2,-0.1364,2,0.2,200,600,"A10",20,1,0.21313656733309
-56.2,-0.1364,2,0.2,200,800,"A11",20,1,0.155726001639377
-56.2,-0.1364,2,0.2,200,1000,"A12",20,1,0.216685589692673
-56.2,-0.1364,2,0.2,200,0,"B1",20,1,1.93380961621691
-56.2,-0.1364,2,0.2,200,1,"B2",20,1,1.99626728051952
-56.2,-0.1364,2,0.2,200,10,"B3",20,1,1.82195719222576
-56.2,-0.1364,2,0.2,200,50,"B4",20,1,1.48936730177635
-56.2,-0.1364,2,0.2,200,100,"B5",20,1,1.07088088318455
-56.2,-0.1364,2,0.2,200,150,"B6",20,1,0.619771412235105
-56.2,-0.1364,2,0.2,200,200,"B7",20,1,0.254630423579923
-56.2,-0.1364,2,0.2,200,250,"B8",20,1,0.221653847376588
-56.2,-0.1364,2,0.2,200,400,"B9",20,1,0.268485119063296
-56.2,-0.1364,2,0.2,200,600,"B10",20,1,0.238616420753439
-56.2,-0.1364,2,0.2,200,800,"B11",20,1,0.154033262343619
-56.2,-0.1364,2,0.2,200,1000,"B12",20,1,0.138366946199847
-56.2,-0.1364,2,0.2,200,0,"B1",20,1,1.94480068885185
-56.2,-0.1364,2,0.2,200,1,"B2",20,1,2.02709168532704
-56.2,-0.1364,2,0.2,200,10,"B3",20,1,1.96043809744562
-56.2,-0.1364,2,0.2,200,50,"B4",20,1,1.54580559183874
-56.2,-0.1364,2,0.2,200,100,"B5",20,1,1.1819089815399
-56.2,-0.1364,2,0.2,200,150,"B6",20,1,0.636749965736558
-56.2,-0.1364,2,0.2,200,200,"B7",20,1,0.235609226324949
-56.2,-0.1364,2,0.2,200,250,"B8",20,1,0.200227716260826
-56.2,-0.1364,2,0.2,200,400,"B9",20,1,0.204646785107288
-56.2,-0.1364,2,0.2,200,600,"B10",20,1,0.202511170103586
-56.2,-0.1364,2,0.2,200,800,"B11",20,1,0.189644326105658
-56.2,-0.1364,2,0.2,200,1000,"B12",20,1,0.241926188138767
-56.2,-0.1364,2,0.2,200,0,"A1",20.5,2,2.0927048443418
