#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
0.00989425 1.36198 1.77606
0.0107053 1.15242 0.494225
0.0115164 1.05306 0.22971
0.0123275 1.11952 0.122927
0.0131386 0.938017 0.0996327
0.0139497 1.06991 0.0825524
0.0147608 1.05403 0.0722218
0.0155719 0.938347 0.0824401
0.016383 1.06196 0.0645426
0.017194 0.950087 0.0672784
0.0180051 1.04012 0.0613939
0.0188162 1.02384 0.0603889
0.0196273 0.979312 0.0666624
0.0204384 0.893388 0.0513802
0.0212495 0.944563 0.0557552
0.0220606 0.879952 0.0567307
0.0228717 0.828744 0.0503056
0.0236828 0.881949 0.0484485
0.0244938 0.889853 0.0483783
0.0253049 0.938331 0.0519661
0.026116 0.895622 0.0466254
0.0269271 0.839726 0.0465899
0.0277382 0.683692 0.0490981
0.0285493 0.805389 0.0440461
0.0293604 0.786409 0.0449175
0.0301715 0.787594 0.0438831
0.0309825 0.839374 0.0394106
0.0317936 0.735285 0.0433416
0.0326047 0.691904 0.0409667
0.0334158 0.735571 0.0393477
0.0342269 0.823914 0.0372833
0.035038 0.673102 0.0390591
0.0358491 0.751772 0.0396327
0.0366602 0.731235 0.0357829
0.0374713 0.684509 0.0370197
0.0382823 0.769364 0.0357956
0.0390934 0.619492 0.0351706
0.0399045 0.612631 0.0346387
0.0407156 0.696484 0.0346069
0.0415267 0.667344 0.0362925
0.0423378 0.670307 0.0348715
0.0431489 0.652894 0.035718
0.04396 0.598052 0.0342631
0.044771 0.631697 0.0336834
0.0455821 0.596812 0.0335706
0.0463932 0.551963 0.0329487
0.0472043 0.613621 0.0324381
0.0480154 0.581428 0.0319173
0.0488265 0.505402 0.0309415
0.0496376 0.574608 0.0307551
0.0504487 0.519136 0.0301457
0.0512598 0.539092 0.0295284
0.0520708 0.490944 0.0295513
0.0528819 0.558481 0.0295498
0.053693 0.514519 0.0292955
0.0545041 0.513948 0.0288267
0.0553152 0.499285 0.0280092
0.0561263 0.485107 0.0276753
0.0569374 0.454811 0.0282887
0.0577485 0.475738 0.027543
0.0585596 0.427495 0.0292121
0.0593706 0.469717 0.0260694
0.0601817 0.44478 0.0278309
0.0609928 0.427925 0.0268014
0.0618039 0.449407 0.0256576
0.062615 0.424305 0.0275153
0.0634261 0.384528 0.0257583
0.0642372 0.42596 0.0254955
0.0650483 0.396936 0.025421
0.0658593 0.423538 0.0246902
0.0666704 0.361938 0.0257689
0.0674815 0.432897 0.0252722
0.0682926 0.347449 0.025397
0.0691037 0.352675 0.0251326
0.0699148 0.340419 0.0253614
0.0707259 0.301215 0.0242377
0.071537 0.354123 0.0239894
0.0723481 0.337067 0.0247476
0.0731591 0.323862 0.0240321
0.0739702 0.321381 0.025334
0.0747813 0.302098 0.0250087
0.0755924 0.306446 0.0230886
0.0764035 0.327839 0.0233846
0.0772146 0.290502 0.023978
0.0780257 0.297838 0.0228752
0.0788368 0.319257 0.023672
0.0796478 0.319544 0.0230153
0.0804589 0.258616 0.0233628
0.08127 0.249312 0.0229771
0.0820811 0.274102 0.0225401
0.0828922 0.309148 0.024063
0.0837033 0.278022 0.0225707
0.0845144 0.25101 0.022402
0.0853255 0.265559 0.0213599
0.0861366 0.247606 0.0215377
0.0869476 0.238716 0.0221337
0.0877587 0.235416 0.0221247
0.0885698 0.259469 0.0212859
0.0893809 0.272917 0.0219462
0.090192 0.209343 0.0209934
0.0910031 0.233914 0.0209717
0.0918142 0.20466 0.0205911
0.0926253 0.200044 0.0209119
0.0934363 0.215399 0.0214396
0.0942474 0.215154 0.0215741
0.0950585 0.159413 0.0208598
0.0958696 0.231515 0.0204619
0.0966807 0.165096 0.0203747
0.0974918 0.188433 0.0201413
0.0983029 0.145815 0.019652
0.099114 0.177391 0.0197407
0.0999251 0.181959 0.0202253
0.100736 0.14977 0.0197274
0.101547 0.175129 0.0205583
0.102358 0.176844 0.0198328
0.103169 0.168532 0.0202372
0.10398 0.150593 0.0194525
0.104792 0.146555 0.0195872
0.105603 0.132664 0.0198577
0.106414 0.14333 0.0195674
0.107225 0.17159 0.0195507
0.108036 0.128689 0.0188731
0.108847 0.171104 0.0190343
0.109658 0.126264 0.0190528
0.110469 0.161948 0.0192026
0.11128 0.141679 0.0194706
0.112091 0.157794 0.0196763
0.112902 0.154374 0.018636
0.113714 0.156201 0.0187942
0.114525 0.144119 0.0185635
0.115336 0.145205 0.0184058
0.116147 0.107167 0.0183167
0.116958 0.111663 0.0187947
0.117769 0.0980422 0.0182772
0.11858 0.115219 0.0186171
0.119391 0.0816587 0.0187565
0.120202 0.119687 0.0182776
0.121013 0.111058 0.0177787
0.121824 0.120595 0.0180479
0.122636 0.119538 0.0183867
0.123447 0.0827825 0.0181201
0.124258 0.081228 0.0176933
0.125069 0.0772571 0.0179825
0.12588 0.0810864 0.0184123
0.126691 0.0816917 0.0170221
0.127502 0.100198 0.0181471
0.128313 0.0887626 0.0177923
0.129124 0.0863456 0.0177037
0.129935 0.0749285 0.0178443
0.130746 0.0708869 0.0170255
0.131557 0.106762 0.0178309
0.132369 0.0752404 0.0176383
0.13318 0.10569 0.0174802
0.133991 0.0999177 0.0175196
0.134802 0.0504972 0.0168417
0.135613 0.0638122 0.0171012
0.136424 0.0798545 0.0171387
0.137235 0.0904592 0.0169001
0.138046 0.090068 0.0172743
0.138857 0.0845517 0.0170384
0.139668 0.0654633 0.0165764
0.140479 0.0707494 0.016693
0.141291 0.0841153 0.0167675
0.142102 0.0781651 0.0164705
0.142913 0.0682066 0.0161008
0.143724 0.0717398 0.0157101
0.144535 0.0905113 0.0167068
0.145346 0.049292 0.0160705
0.146157 0.0518756 0.0168714
0.146968 0.0715483 0.0160091
0.147779 0.0418974 0.0161956
0.14859 0.0449559 0.0166037
0.149401 0.044361 0.0161896
0.150213 0.0612299 0.0162229
0.151024 0.0608168 0.0159593
0.151835 0.0658627 0.016194
0.152646 0.0789785 0.0167614
0.153457 0.0528812 0.0163135
0.154268 0.0642216 0.0161532
0.155079 0.0591191 0.0164671
0.15589 0.0493163 0.0161551
0.156701 0.0476707 0.0163764
0.157512 0.0443136 0.0160325
0.158323 0.0680361 0.0162914
0.159135 0.0491882 0.015718
0.159946 0.045712 0.016394
0.160757 0.0147156 0.016297
0.161568 0.0597024 0.016282
0.162379 0.0468875 0.016093
0.16319 0.0280724 0.0162045
0.164001 0.0452787 0.0159582
0.164812 0.0280969 0.0165248
0.165623 0.00508976 0.0159769
0.166434 0.0372021 0.0166147
0.167245 0.00939835 0.0166918
0.168056 0.0374912 0.0166096
0.168868 0.0372024 0.0170584
0.169679 0.0473825 0.0165093
0.17049 0.0285281 0.0171955
0.171301 0.0307985 0.0165797
0.172112 0.0384411 0.017434
0.172923 0.0388705 0.0171868
0.173734 0.0585256 0.0169021
0.174545 0.0410826 0.0169842
0.175356 0.0260192 0.0170361
0.176167 -0.00854428 0.0169421
0.176978 0.0268681 0.0168029
0.17779 0.0330025 0.0174183
0.178601 0.00318636 0.0175508
0.179412 -0.0112382 0.017459
0.180223 0.00669944 0.0175713
0.181034 0.0177557 0.0177613
0.181845 0.0346322 0.0170536
0.182656 0.017593 0.0173997
0.183467 0.0411222 0.0177295
0.184278 0.0163258 0.0173907
0.185089 0.019954 0.0180467
0.1859 0.0587029 0.0181027
0.186712 0.0130935 0.017521
0.187523 0.0390507 0.0179601
0.188334 0.0281711 0.0171053
0.189145 0.0271526 0.0175114
0.189956 0.00403036 0.0170881
0.190767 0.00318178 0.0177827
0.191578 0.0241623 0.0179486
0.192389 0.018193 0.0173237
0.1932 0.0307603 0.0176964
0.194011 -0.0142482 0.0178557
0.194822 0.0386901 0.0182934
0.195633 0.0290209 0.0177741
0.196445 0.0142943 0.0178923
0.197256 0.00716502 0.0184568
0.198067 0.00631615 0.0174443
0.198878 0.0510243 0.0176001
0.199689 0.00421166 0.0179139
0.2005 0.0116942 0.0177412
0.201311 0.0442806 0.0184034
0.202122 0.00549623 0.0177689
0.202933 0.0340921 0.0178641
0.203744 0.0290846 0.0177529
0.204555 0.00904297 0.0174551
0.205367 0.0121099 0.0184271
0.206178 -0.0163002 0.0179708
0.206989 -0.0109466 0.0184192
0.2078 -0.00706889 0.0178987
0.208611 0.0136888 0.0183186
0.209422 0.0320731 0.0179686
0.210233 0.0257443 0.0174979
0.211044 -0.0195703 0.0182111
0.211855 -0.0155305 0.0176295
0.212666 0.0383085 0.0183621
0.213477 0.015463 0.018773
0.214289 -0.000308041 0.0181211
0.2151 0.00998469 0.0181589
0.215911 0.0372224 0.0181628
0.216722 -0.0147717 0.018769
0.217533 0.0342363 0.0184346
0.218344 0.0032226 0.0177938
0.219155 0.0223622 0.0180482
0.219966 0.00524062 0.0183079
0.220777 0.0267063 0.017916
0.221588 -0.0037118 0.0180493
0.222399 0.00458599 0.0175435
0.22321 -0.00113448 0.0173807
0.224022 -0.0205646 0.0173303
0.224833 0.00110068 0.0179514
0.225644 0.0205814 0.0179137
0.226455 0.0121187 0.0180821
0.227266 -0.0035518 0.0179773
0.228077 0.00196256 0.0172181
0.228888 -0.00788182 0.0178536
0.229699 -0.0305808 0.0180143
0.23051 -0.0209931 0.0186802
0.231321 -0.0230651 0.0185581
0.232132 0.0201087 0.0183707
0.232944 0.0151027 0.0187255
0.233755 0.015065 0.0179702
0.234566 0.00754039 0.0178865
0.235377 -0.0110456 0.0188061
0.236188 -0.0020746 0.0194836
0.236999 0.00226456 0.0184455
0.23781 0.0115934 0.0187608
0.238621 -0.000401727 0.0180395
0.239432 -0.0121721 0.0189119
0.240243 0.00645817 0.0181992
0.241054 -0.0217274 0.0181993
0.241866 0.0248712 0.0178121
0.242677 -0.00629487 0.0184817
0.243488 0.0275282 0.0181844
0.244299 0.0156307 0.0181869
0.24511 0.0267482 0.0181834
0.245921 0.010364 0.0179775
0.246732 0.0103153 0.0188331
0.247543 -0.020576 0.018254
0.248354 0.00964663 0.0180544
0.249165 0.0133765 0.01821
0.249976 -0.0021763 0.0184816
0.250787 0.00626495 0.0177699
0.251599 0.0183077 0.0185164
0.25241 0.0350264 0.0177748
0.253221 -0.000338652 0.0188984
0.254032 -0.0101867 0.0182508
0.254843 0.000955796 0.0179773
0.255654 -0.0179834 0.0187714
0.256465 -0.00306402 0.0179879
0.257276 0.00284124 0.019167
0.258087 0.0126817 0.0185173
0.258898 -0.0316552 0.018312
0.259709 -0.0038342 0.0182896
0.260521 0.0222245 0.0187655
0.261332 0.0378028 0.0186553
0.262143 0.00542031 0.0189361
0.262954 0.017629 0.0183764
0.263765 0.0544539 0.0180698
0.264576 0.0182045 0.0181506
0.265387 0.00679298 0.0178648
0.266198 0.0162282 0.0184539
0.267009 -0.00788997 0.0189374
0.26782 -0.00252967 0.0191218
0.268631 0.0121766 0.0185991
0.269443 -0.0251504 0.0184053
0.270254 0.0369342 0.0184352
0.271065 0.0134557 0.0185323
0.271876 -0.000883361 0.0183545
0.272687 0.0429819 0.0185298
0.273498 -0.00537018 0.0183137
0.274309 0.0175893 0.0188358
0.27512 0.00287825 0.0181234
0.275931 0.0196549 0.0187245
0.276742 -0.00536569 0.0186702
0.277553 0.0229267 0.0196385
0.278364 -0.00900066 0.0179788
0.279176 -0.033784 0.0181316
0.279987 1.54073e-05 0.018891
0.280798 -0.0223376 0.0181903
0.281609 0.00029409 0.0186079
0.28242 0.00402722 0.0180067
0.283231 -0.00255483 0.0178054
0.284042 0.00652008 0.0188032
0.284853 -0.0130332 0.0189069
0.285664 0.00653661 0.0187619
0.286475 0.031048 0.0187411
0.287286 0.00798511 0.0184308
0.288098 -0.00480845 0.0188781
0.288909 -0.0216833 0.0182123
0.28972 0.00373588 0.0180281
0.290531 0.00483407 0.0181796
0.291342 0.0130869 0.0181721
0.292153 0.00956917 0.0187484
0.292964 -0.00141146 0.0186465
0.293775 -0.0197487 0.0183651
0.294586 -0.0159473 0.0187428
0.295397 0.00309376 0.0182781
0.296208 -0.00842836 0.0193338
0.29702 0.0101249 0.019225
0.297831 -0.000368442 0.0184956
0.298642 0.00547089 0.0187298
0.299453 0.018256 0.0183371
0.300264 0.0147479 0.018362
0.301075 0.0057963 0.0176468
0.301886 0.0398664 0.0177341
0.302697 0.0100942 0.018171
0.303508 0.0169837 0.0183194
0.304319 0.007302 0.018087
0.30513 0.00612063 0.0180695
0.305941 0.00191709 0.017755
0.306753 -0.0172065 0.018566
0.307564 0.0202773 0.0189168
0.308375 0.0263124 0.0183413
0.309186 -0.0258155 0.0181952
0.309997 -0.0127391 0.0186592
0.310808 0.0233449 0.0188187
0.311619 -0.0205907 0.0189788
0.31243 0.0206165 0.0187124
0.313241 0.0124547 0.0185346
0.314052 -0.00026417 0.0181328
0.314863 -0.00928812 0.0184355
0.315675 -0.00504394 0.0178684
0.316486 0.0125001 0.0184146
0.317297 -0.0229616 0.0181189
0.318108 0.034016 0.018391
0.318919 -0.016325 0.0191038
0.31973 -0.0118618 0.0191019
0.320541 -0.0191952 0.0188969
0.321352 0.0162908 0.0186726
0.322163 -0.0442046 0.0185613
0.322974 -0.00242485 0.0181268
0.323785 0.0238978 0.0184554
0.324597 0.0244992 0.0186718
0.325408 0.00180908 0.0185146
0.326219 0.0136587 0.0189317
0.32703 -0.0134155 0.0178003
0.327841 -0.014882 0.018478
0.328652 0.000146223 0.0187567
0.329463 0.0277164 0.0184644
0.330274 0.0187065 0.0184899
0.331085 0.011352 0.0189377
0.331896 0.0184048 0.0185406
0.332707 -8.00693e-06 0.0186591
0.333518 0.0240727 0.0182679
0.33433 -0.0136053 0.0190069
0.335141 0.00133347 0.0186659
0.335952 -0.0149457 0.018982
0.336763 0.00859175 0.0184565
0.337574 0.00201113 0.0185743
0.338385 -0.00481987 0.01795
0.339196 0.0032033 0.018872
0.340007 -0.00471095 0.0186464
0.340818 -0.00189578 0.0189797
0.341629 -0.00674881 0.0186863
0.34244 0.014813 0.0187944
0.343252 -0.0268302 0.0191452
0.344063 -0.00942242 0.0184381
0.344874 0.00167343 0.0177478
0.345685 0.0254518 0.0186717
0.346496 -0.00876114 0.0185921
0.347307 0.021482 0.0179015
0.348118 0.0382619 0.0191417
0.348929 0.00209874 0.0191493
0.34974 0.0265326 0.0179918
0.350551 -0.00611259 0.0187714
0.351362 0.00706324 0.0184309
0.352174 -0.00479087 0.0188021
0.352985 0.00831511 0.0184822
0.353796 0.0311549 0.0184833
0.354607 0.0234052 0.0185344
0.355418 -0.00854942 0.0181047
0.356229 -0.0267759 0.0189066
0.35704 0.0029999 0.0185214
0.357851 -0.00817873 0.0188031
0.358662 0.00948598 0.0186164
0.359473 -0.00461525 0.0189584
0.360284 0.0211272 0.0195002
0.361095 0.0431122 0.0190585
0.361907 -0.0111704 0.0185265
0.362718 -0.0213336 0.0190787
0.363529 0.00411707 0.0187277
0.36434 0.0122747 0.0189753
0.365151 -0.0341989 0.0193305
0.365962 -0.0155004 0.0187821
0.366773 0.00692295 0.0182106
0.367584 -0.0168981 0.0186519
0.368395 0.00722806 0.0182597
0.369206 -0.0105068 0.018903
0.370017 0.00309334 0.018682
0.370829 0.0291751 0.0188505
0.37164 -0.0342802 0.0181523
0.372451 0.0235506 0.0184638
0.373262 -0.00457045 0.0188307
0.374073 -0.00170095 0.0184552
0.374884 -0.000234387 0.0193251
0.375695 0.00293772 0.0186021
0.376506 0.00110458 0.0190173
0.377317 0.00275397 0.0186215
0.378128 -0.0263208 0.0187466
0.378939 -0.00148335 0.0185173
0.379751 -0.0129797 0.0185507
0.380562 -0.00123259 0.0173511
0.381373 0.00119409 0.0170876
0.382184 -0.0146992 0.0182424
0.382995 0.0342222 0.0180151
0.383806 -0.0046695 0.0185325
0.384617 0.017171 0.018415
0.385428 -0.0135112 0.0180557
0.386239 0.0191707 0.0184578
0.38705 0.00621255 0.0190283
0.387861 -0.0308617 0.0185756
0.388672 0.0239938 0.0189514
0.389484 0.00734708 0.0179852
0.390295 0.0032649 0.0184814
0.391106 -0.00647344 0.0188427
0.391917 -0.0150251 0.0179011
0.392728 0.012755 0.0186022
0.393539 0.0194793 0.0181003
0.39435 -0.0114679 0.0183274
0.395161 0.00279177 0.0185148
0.395972 -0.03071 0.0182966
0.396783 -0.0201617 0.0183822
0.397594 -0.00867827 0.0184813
0.398406 -0.0207744 0.0182864
0.399217 0.0455434 0.01832
0.400028 -0.0104832 0.0182628
0.400839 -0.00556667 0.0186126
0.40165 0.0153334 0.0184649
0.402461 -0.0102 0.0182609
0.403272 0.028383 0.0185148
0.404083 0.0106054 0.0184605
0.404894 0.0158049 0.0190569
0.405705 0.0119879 0.0188677
0.406516 0.0122243 0.0188069
0.407328 -0.0268476 0.0187841
0.408139 0.00616552 0.0181743
0.40895 0.00196259 0.0179846
0.409761 0.00195761 0.0187999
0.410572 0.0232996 0.0187649
0.411383 -0.000756249 0.0187365
0.412194 0.0274193 0.0186807
0.413005 0.00882878 0.0191784
0.413816 -0.0151679 0.0186457
0.414627 0.00931408 0.0188604
0.415438 0.00637555 0.018813
0.41625 -0.0170892 0.0185219
0.417061 -0.00967962 0.0185393
0.417872 -0.0196521 0.0182567
0.418683 -0.016986 0.0189557
0.419494 -0.012641 0.0187393
0.420305 -0.00520861 0.0184031
0.421116 -0.0103287 0.0180173
0.421927 0.0145694 0.0193692
0.422738 0.00636737 0.0183832
0.423549 0.0171545 0.0184579
0.42436 -0.0196262 0.0183032
0.425171 0.0320966 0.0189029
0.425983 0.0234682 0.0186915
0.426794 -0.00814824 0.0184798
0.427605 -0.00654692 0.0185405
0.428416 -0.00580151 0.019089
0.429227 -0.00824977 0.0185973
0.430038 0.0273765 0.0184752
0.430849 0.0239548 0.018494
0.43166 0.00610622 0.0183369
0.432471 0.0172548 0.0192678
0.433282 0.0172496 0.0198583
0.434093 -0.0273155 0.0183936
0.434905 0.00889351 0.0185
0.435716 0.0240604 0.0187144
0.436527 -0.00461579 0.0194352
0.437338 -0.00515953 0.019415
0.438149 -0.00904604 0.0189983
0.43896 -0.0128658 0.0191682
0.439771 0.00142403 0.018252
0.440582 0.00501546 0.0186558
0.441393 0.00471429 0.0187723
0.442204 0.00857752 0.0185369
0.443015 0.00828261 0.0196734
0.443827 0.0186894 0.0192179
0.444638 0.00736589 0.0186644
0.445449 0.017039 0.0189044
0.44626 -0.0228158 0.0187731
0.447071 -0.0137762 0.0190552
0.447882 0.00472918 0.0188981
0.448693 -0.00639515 0.0187108
0.449504 4.35968e-05 0.0193056
0.450315 -0.0104683 0.0188005
0.451126 -0.0100877 0.0187513
0.451937 -0.00712619 0.0185811
0.452748 -0.0341266 0.0185167
0.45356 0.00667277 0.0193268
0.454371 0.00904996 0.0183838
0.455182 -0.0105042 0.0186028
0.455993 -0.0100633 0.01857
0.456804 -0.018941 0.018627
0.457615 -0.0162422 0.019516
0.458426 0.00449623 0.0184917
0.459237 0.00453194 0.0174822
0.460048 0.00760405 0.0171738
0.460859 0.0150761 0.0178386
0.46167 0.00598723 0.0186774
0.462482 -0.00421948 0.0179707
0.463293 -0.0270137 0.0186931
0.464104 -0.0126579 0.0184405
0.464915 0.00707879 0.018269
0.465726 0.0164897 0.0177981
0.466537 0.00252343 0.0180718
0.467348 -0.00112474 0.0180305
0.468159 -0.019464 0.0183264
0.46897 -0.0266455 0.0188578
0.469781 -0.0121066 0.0175768
0.470592 -0.0247892 0.01868
0.471404 -0.0272926 0.0184438
0.472215 -0.00110716 0.0179315
0.473026 0.011244 0.018088
0.473837 0.0138352 0.0180767
0.474648 0.0191371 0.0185437
0.475459 0.00900401 0.0180785
0.47627 -0.0129119 0.0187804
0.477081 -0.0313632 0.0184077
0.477892 -0.0319219 0.0189345
0.478703 -0.0116929 0.0183604
0.479514 -0.00653065 0.0185722
0.480325 0.00357781 0.0182286
0.481137 -0.00544838 0.0192764
0.481948 0.010328 0.018636
0.482759 -0.00582367 0.0188039
0.48357 -0.00487722 0.0187487
0.484381 -0.0473979 0.0186694
0.485192 -0.0238722 0.0186484
0.486003 0.00449119 0.0188379
0.486814 -0.00553946 0.0187732
0.487625 0.0242323 0.0190487
0.488436 0.0246335 0.0186594
0.489247 0.0222669 0.018801
0.490059 0.0064145 0.0186797
0.49087 0.0384869 0.0189606
0.491681 -0.0112148 0.0191131
0.492492 0.00249394 0.018852
0.493303 0.00685935 0.018499
0.494114 -0.00356965 0.0192217
0.494925 0.0147049 0.0187803
0.495736 0.0284657 0.0187167
0.496547 -0.0254687 0.0187221
0.497358 -0.0159239 0.0187969
0.498169 0.00268391 0.018636
0.498981 0.00228086 0.0182917
0.499792 0.00969677 0.0184443
0.500603 -0.0192633 0.0190693
0.501414 -0.00865459 0.0188812
0.502225 -0.0375994 0.0188587
0.503036 -0.00658008 0.019357
0.503847 -0.0365064 0.0183656
0.504658 -0.0200345 0.0182285
0.505469 0.0165486 0.0191474
0.50628 0.0123577 0.0194546
0.507091 0.0135603 0.0185334
0.507902 -0.0172925 0.0190958
0.508714 -0.0361038 0.0185239
0.509525 0.0225452 0.0191238
0.510336 -0.00106988 0.0183537
0.511147 0.015775 0.0192539
0.511958 0.00954704 0.0183584
0.512769 0.0045625 0.0185709
0.51358 0.00809362 0.0190482
0.514391 0.0122434 0.0185743
0.515202 -0.0349654 0.0187112
0.516013 -0.0154718 0.0195271
0.516824 0.0156301 0.0189642
0.517636 -0.00638032 0.0185499
0.518447 -0.0125648 0.0182517
0.519258 -0.0530878 0.0188829
0.520069 0.0144535 0.0189497
0.52088 -0.0383663 0.0190093
0.521691 -0.00857223 0.0180814
0.522502 -0.00796212 0.0183426
0.523313 -0.016523 0.0185572
0.524124 -0.00997075 0.0188851
0.524935 0.045489 0.019132
0.525746 0.0271872 0.0194914
0.526558 -0.00372027 0.0187326
0.527369 -0.0375037 0.0185123
0.52818 -0.0139366 0.0193767
0.528991 0.00737209 0.0182485
0.529802 -0.000353398 0.019971
0.530613 0.0166458 0.0195936
0.531424 0.00832556 0.0183947
0.532235 0.0303067 0.0192331
0.533046 -0.0106379 0.0186694
0.533857 0.0143345 0.0193237
0.534668 -0.0206677 0.0188426
0.535479 -0.00202458 0.0184311
0.536291 -0.0106778 0.0181085
0.537102 0.00193569 0.0185458
0.537913 -0.028055 0.0173719
