#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
0.010708 0.961011 0.643778
0.0115194 0.782797 0.225781
0.0123308 1.07882 0.144417
0.0131422 1.06666 0.111474
0.0139535 1.10324 0.109552
0.0147649 0.96955 0.0980076
0.0155763 1.08211 0.0933517
0.0163877 0.808519 0.0917152
0.017199 1.07522 0.0812811
0.0180104 1.01159 0.0660747
0.0188218 0.996568 0.0711831
0.0196332 1.07953 0.0786563
0.0204445 1.01379 0.0663317
0.0212559 0.982937 0.0681277
0.0220673 0.873567 0.0673723
0.0228786 0.956752 0.0653734
0.02369 0.90344 0.0642466
0.0245014 0.972181 0.0661847
0.0253128 0.948275 0.0569203
0.0261241 0.892848 0.0592265
0.0269355 0.903557 0.0633416
0.0277469 0.796875 0.0583773
0.0285583 0.803554 0.0495609
0.0293696 0.759699 0.0545926
0.030181 0.757143 0.056921
0.0309924 0.720805 0.053368
0.0318038 0.789593 0.0522378
0.0326151 0.81174 0.0498428
0.0334265 0.741854 0.0509505
0.0342379 0.683007 0.0445024
0.0350492 0.701309 0.0503649
0.0358606 0.725383 0.0494089
0.036672 0.786525 0.0469662
0.0374834 0.74643 0.047115
0.0382947 0.731764 0.0478087
0.0391061 0.592307 0.0458915
0.0399175 0.729016 0.0442022
0.0407289 0.690654 0.0432394
0.0415402 0.69716 0.0428142
0.0423516 0.634289 0.0425352
0.043163 0.655225 0.0430039
0.0439743 0.656486 0.0420712
0.0447857 0.61701 0.0414101
0.0455971 0.613079 0.0410373
0.0464085 0.635466 0.04036
0.0472198 0.629264 0.0397438
0.0480312 0.567057 0.0405358
0.0488426 0.543948 0.0398415
0.049654 0.564091 0.0400128
0.0504653 0.453987 0.0388932
0.0512767 0.539451 0.0410971
0.0520881 0.513429 0.0383093
0.0528995 0.550544 0.0380478
0.0537108 0.520454 0.0362471
0.0545222 0.47778 0.0370363
0.0553336 0.50708 0.036377
0.0561449 0.488029 0.0360849
0.0569563 0.516489 0.035558
0.0577677 0.486777 0.0347224
0.0585791 0.451751 0.0369535
0.0593904 0.44302 0.0350189
0.0602018 0.504256 0.0347525
0.0610132 0.454372 0.0345554
0.0618246 0.462294 0.0331536
0.0626359 0.395791 0.0335796
0.0634473 0.426769 0.0332502
0.0642587 0.453118 0.0305027
0.0650701 0.407976 0.034153
0.0658814 0.383439 0.0317651
0.0666928 0.305023 0.0325401
0.0675042 0.403907 0.032055
0.0683155 0.371123 0.032014
0.0691269 0.423425 0.0327488
0.0699383 0.349482 0.0306556
0.0707497 0.365371 0.0315485
0.071561 0.35074 0.0321282
0.0723724 0.313996 0.0307705
0.0731838 0.316768 0.0311412
0.0739952 0.32905 0.0308235
0.0748065 0.346823 0.0316232
0.0756179 0.313666 0.0304998
0.0764293 0.266084 0.0305261
0.0772407 0.266557 0.0291295
0.078052 0.33306 0.030376
0.0788634 0.293017 0.0293575
0.0796748 0.192867 0.0298701
0.0804861 0.296085 0.0301632
0.0812975 0.306247 0.0288412
0.0821089 0.238921 0.0287035
0.0829203 0.318616 0.0301083
0.0837316 0.287525 0.027694
0.084543 0.260427 0.0287529
0.0853544 0.239697 0.0279069
0.0861658 0.212607 0.0268916
0.0869771 0.238496 0.0265568
0.0877885 0.232667 0.0279246
0.0885999 0.295673 0.0276385
0.0894113 0.227863 0.0269565
0.0902226 0.186175 0.0278685
0.091034 0.240091 0.0279973
0.0918454 0.213443 0.0263933
0.0926567 0.213758 0.0281605
