#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   1.14831e+08       852386
        0.01   1.10906e+08       821630
        0.02   1.00025e+08       739771
        0.03   8.45762e+07       632213
        0.04   6.75935e+07       518261
        0.05   5.17992e+07       409988
        0.06   3.89107e+07       313704
        0.07   2.94314e+07       230964
        0.08   2.29108e+07       167777
        0.09   1.84509e+07       123843
         0.1   1.51837e+07        97810
        0.11   1.25383e+07      80165.2
        0.12   1.02655e+07      67981.9
        0.13    8.3154e+06      60750.5
        0.14    6.6928e+06      55089.2
        0.15   5.37351e+06        49313
        0.16   4.29725e+06      42083.9
        0.17   3.39965e+06      34323.7
        0.18   2.64069e+06      27275.4
        0.19   2.00842e+06      21343.4
         0.2   1.50352e+06      17056.1
        0.21   1.12173e+06      14454.6
        0.22        846645      12989.7
        0.23        653772      11854.8
        0.24        518867      10448.5
        0.25        423635      8573.06
        0.26        356376      6702.78
        0.27        309523      5869.91
        0.28        277149      5297.69
        0.29        254039      4728.86
         0.3        236022      4104.23
        0.31        220453      3521.33
        0.32        206154      3087.96
        0.33        192863      2844.47
        0.34        180673      2774.48
        0.35        169800      2841.23
        0.36        160677      2992.21
        0.37        154098      3144.38
        0.38        151102      3217.54
        0.39        152483      3219.27
         0.4        157879      3210.75
        0.41        166967      3830.69
        0.42        175399      4114.39
        0.43        181466      3751.27
        0.44        182698      2979.56
        0.45        180474      2342.92
        0.46        177137      2212.22
        0.47        174934      2170.24
        0.48        176342      2203.54
        0.49        182674      2084.54
         0.5        190041      2170.87
        0.51        196411      2342.99
        0.52        197043       2472.2
        0.53        191748      2434.26
        0.54        181398      2264.76
        0.55        168119      1813.37
        0.56        155340      1598.95
        0.57        145341      1528.97
        0.58        138415      1460.31
        0.59        134516      1384.48
         0.6        131449      1378.89
        0.61        127504      1329.37
        0.62        121000      1407.98
        0.63        113342      1342.83
        0.64        104273      1276.63
        0.65       96537.4      1186.42
        0.66       89311.6      1133.31
        0.67       85344.6       1021.3
        0.68       83341.9      1012.63
        0.69       83780.5      1026.96
         0.7       85446.8      996.746
        0.71       87842.3      994.892
        0.72       89620.7      1041.19
        0.73       90643.1       1041.7
        0.74       89729.5       1050.1
        0.75       87395.7       1042.7
        0.76       83650.6      1045.52
        0.77       79662.2      1009.68
        0.78       75403.4      1005.47
        0.79       71635.1      959.625
         0.8       68425.3      980.127
        0.81       66179.8      984.556
        0.82       64192.1       964.36
        0.83       62357.5      949.349
        0.84       61159.4      943.742
        0.85       59829.8      929.121
        0.86       58752.8      905.618
        0.87       58241.6       858.33
        0.88       57855.3      868.389
        0.89       57817.3      860.038
         0.9       58414.7      874.932
        0.91       59071.4      847.844
        0.92       59439.7      843.501
        0.93       59274.6      852.327
        0.94       58746.1      832.241
        0.95       57915.8      799.725
        0.96       56892.8      781.062
        0.97       56684.9      761.219
        0.98       57076.9      770.672
        0.99       58480.2      780.767
           1         60655      819.154
