#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0    3.0609e+07       182771
        0.01   3.02105e+07       179626
        0.02    2.9047e+07       170702
        0.03    2.7212e+07       157355
        0.04   2.48468e+07       141460
        0.05    2.2124e+07       124942
        0.06   1.92257e+07       109335
        0.07   1.63238e+07      95332.9
        0.08   1.35639e+07      82653.9
        0.09   1.10538e+07      71725.1
         0.1   8.85979e+06      62262.8
        0.11   7.00836e+06      54003.6
        0.12   5.49263e+06      46655.9
        0.13   4.28196e+06      40104.4
        0.14   3.33214e+06      34323.4
        0.15   2.59458e+06      29192.6
        0.16   2.02325e+06      24639.3
        0.17   1.57899e+06        20609
        0.18   1.23112e+06      17161.1
        0.19        957199      14308.4
         0.2        741438      11888.3
        0.21        572754      9863.67
        0.22        442931      8201.51
        0.23        345265       6863.2
        0.24        273793       5807.7
        0.25        223003      5017.28
        0.26        187854       4559.3
        0.27        163931       4455.9
        0.28        147579       4364.6
        0.29        135963      3991.77
         0.3        127038      3590.14
        0.31        119446      3140.85
        0.32        112394      2708.16
        0.33        105531      2341.29
        0.34       98833.6      2084.59
        0.35       92510.4      1972.74
        0.36       86905.5      2006.76
        0.37       82404.8      2128.44
        0.38       79344.4      2243.96
        0.39       77933.1      2288.95
         0.4       78201.6      2252.73
        0.41       79987.9      2155.01
        0.42       82962.2      2021.65
        0.43       86681.5      1874.28
        0.44       90663.1      1727.46
        0.45       94456.3         1589
        0.46       97699.2       1461.5
        0.47        100150      1344.67
        0.48        101691      1237.64
        0.49        102310      1140.56
         0.5        102069      1085.14
        0.51        101063      1043.18
        0.52       99393.7       1009.1
        0.53       97139.8      981.073
        0.54       94352.3      956.846
        0.55       91056.2      934.123
        0.56         87263      910.886
        0.57       82990.8      885.653
        0.58       78284.4      857.653
        0.59       73232.4      827.031
         0.6       67975.5      795.162
        0.61         62704      764.899
        0.62       57835.4      701.447
        0.63       53092.1      681.333
        0.64       49318.9      709.944
        0.65       46020.5      727.445
        0.66       43600.8      679.977
        0.67       42637.2      731.172
        0.68       41764.7      738.252
        0.69       41603.6      728.865
         0.7       41893.3      739.968
        0.71         42421        703.8
        0.72       42716.6      661.998
        0.73       42717.7        665.3
        0.74       42466.4      645.884
        0.75       41776.6      623.307
        0.76       40606.9      597.477
        0.77       39042.8      616.101
        0.78       37517.9      559.654
        0.79       35867.2       564.95
         0.8       34070.1      563.148
        0.81       32905.7       543.51
        0.82       31744.3        554.1
        0.83       30961.5      547.979
        0.84       30464.9      557.609
        0.85         30100      527.004
        0.86       30217.2      528.477
        0.87       30352.9      544.539
        0.88       30317.9      525.426
        0.89       30634.7      543.393
         0.9       30713.8      525.828
        0.91       30769.9      498.117
        0.92       30855.8      487.206
        0.93       30596.1      480.916
        0.94       30643.3      431.427
        0.95       30747.6      440.009
        0.96       30612.3      444.622
        0.97       30895.9      412.773
        0.98       31403.9          437
        0.99         32043      442.165
           1       32989.6      447.803
