"","Conc.Mg","Mg.free","CI95","Condition"
"1",0,0,"0 to 0","Eco80"
"2",0.200400801603206,0.00159222284811902,"0.00142960957899948 to 0.00177757951547518","Eco80"
"3",0.400801603206413,0.0032058624434992,"0.00291378164533458 to 0.00355353518241546","Eco80"
"4",0.601202404809619,0.00484570958101305,"0.00440316989161727 to 0.00538409365035806","Eco80"
"5",0.801603206412826,0.00650905106457471,"0.00590148393499154 to 0.00722051151365555","Eco80"
"6",1.00200400801603,0.00819262909857057,"0.0074290944471183 to 0.00907706271439651","Eco80"
"7",1.20240480961924,0.00990252222255479,"0.0090027915793357 to 0.0109553506549388","Eco80"
"8",1.40280561122244,0.0116368379682241,"0.0105753083422764 to 0.0128909689277661","Eco80"
"9",1.60320641282565,0.0133944354891642,"0.0121120807453476 to 0.0148414394883475","Eco80"
"10",1.80360721442886,0.0151847460108326,"0.0137590445135168 to 0.0169056583905083","Eco80"
"11",2.00400801603206,0.0169983896253197,"0.0153806008641774 to 0.0189115731996245","Eco80"
"12",2.20440881763527,0.0188373813771998,"0.0170501421693527 to 0.0208503351201888","Eco80"
"13",2.40480961923848,0.0207004857955655,"0.0187194892316116 to 0.0230356053713253","Eco80"
"14",2.60521042084168,0.0225971454664228,"0.0203836111736352 to 0.0250817287676086","Eco80"
"15",2.80561122244489,0.0245229671104628,"0.0221286307583766 to 0.0272866036793724","Eco80"
"16",3.0060120240481,0.0264726064667808,"0.0238844719771704 to 0.0295008187408876","Eco80"
"17",3.2064128256513,0.0284543109605918,"0.0256465973479577 to 0.0317430661924396","Eco80"
"18",3.40681362725451,0.0304654658599255,"0.0274393766081289 to 0.0339613614644341","Eco80"
"19",3.60721442885772,0.0325113909470408,"0.0292531606332702 to 0.0364365082295546","Eco80"
"20",3.80761523046092,0.03458602972626,"0.0311261792055126 to 0.0386983438839553","Eco80"
"21",4.00801603206413,0.0366899241199168,"0.0329444520201627 to 0.041090525824161","Eco80"
"22",4.20841683366733,0.0388314444512272,"0.0348431697716089 to 0.0435535740153699","Eco80"
"23",4.40881763527054,0.0409958763786811,"0.0368058507939524 to 0.0459833016441259","Eco80"
"24",4.60921843687375,0.043200321808751,"0.0387136066365845 to 0.0484510578953785","Eco80"
"25",4.80961923847695,0.0454478388395472,"0.040772082684694 to 0.0511551667784558","Eco80"
"26",5.01002004008016,0.047729565604617,"0.0427549176636886 to 0.0537393907119981","Eco80"
"27",5.21042084168337,0.0500414000085719,"0.0447712340574103 to 0.0563639752092167","Eco80"
"28",5.41082164328657,0.0523966740722799,"0.046897419660736 to 0.0591616610773812","Eco80"
"29",5.61122244488978,0.0547892913936208,"0.0489402227173569 to 0.0617890103266509","Eco80"
"30",5.81162324649299,0.0572159699686806,"0.0509583662606895 to 0.064616595350359","Eco80"
"31",6.01202404809619,0.0596854449505229,"0.0531388842579073 to 0.0674582100215332","Eco80"
"32",6.2124248496994,0.0621941298649721,"0.0554431603065636 to 0.0704364452889525","Eco80"
"33",6.41282565130261,0.0647535731646459,"0.0574896229832097 to 0.073469767228445","Eco80"
"34",6.61322645290581,0.0673422212109409,"0.0599198117075442 to 0.0764151363268519","Eco80"
"35",6.81362725450902,0.0699798820614073,"0.0621943923281348 to 0.0794625706963281","Eco80"
"36",7.01402805611222,0.0726694914053818,"0.0644737201493842 to 0.082685891955107","Eco80"
"37",7.21442885771543,0.0753983258205635,"0.0669185781172086 to 0.0857713386287829","Eco80"
"38",7.41482965931864,0.0781732048259617,"0.0693210709337791 to 0.0890604267747521","Eco80"
"39",7.61523046092184,0.0809948430177838,"0.071627592003756 to 0.0923638522838808","Eco80"
"40",7.81563126252505,0.0838719806677779,"0.0741091294794919 to 0.0957015521204906","Eco80"
"41",8.01603206412826,0.0867928031554804,"0.0766645898504057 to 0.0991927931250484","Eco80"
"42",8.21643286573146,0.0897708405528822,"0.0792740452518224 to 0.102835357889505","Eco80"
"43",8.41683366733467,0.0927887166135156,"0.0817499378008684 to 0.106299161932616","Eco80"
"44",8.61723446893788,0.0958656505355953,"0.0844357995669211 to 0.109918049759076","Eco80"
"45",8.81763527054108,0.0990029687583198,"0.0869912924396332 to 0.113770730774584","Eco80"
"46",9.01803607214429,0.102197923220191,"0.0898692617533072 to 0.117488700367825","Eco80"
"47",9.21843687374749,0.105447099188073,"0.0926745991531681 to 0.121375041699127","Eco80"
"48",9.4188376753507,0.108753050604937,"0.0954419319074136 to 0.125376930285176","Eco80"
"49",9.61923847695391,0.112124386212049,"0.0982664150085856 to 0.129353891122822","Eco80"
"50",9.81963927855711,0.115559345463224,"0.101156163453324 to 0.133431798598668","Eco80"
"51",10.0200400801603,0.119048057489943,"0.103950968986408 to 0.137598385921393","Eco80"
"52",10.2204408817635,0.122604944662384,"0.10702518310289 to 0.141799706629883","Eco80"
"53",10.4208416833667,0.126229927282675,"0.110065084922583 to 0.146057385203998","Eco80"
"54",10.6212424849699,0.129925105607743,"0.113273581619429 to 0.150533045038933","Eco80"
"55",10.8216432865731,0.133691692546396,"0.116399860171571 to 0.155173583458274","Eco80"
"56",11.0220440881764,0.137525273265722,"0.119548886005055 to 0.159826289087124","Eco80"
"57",11.2224448897796,0.141430914126761,"0.122687544185768 to 0.164499434248734","Eco80"
"58",11.4228456913828,0.145420124000239,"0.12613569947102 to 0.169494351553112","Eco80"
"59",11.623246492986,0.149477294499726,"0.129556412539497 to 0.174327894341619","Eco80"
"60",11.8236472945892,0.153609937338996,"0.132810186367456 to 0.179378714347899","Eco80"
"61",12.0240480961924,0.157840777617274,"0.136313494373459 to 0.184613734321935","Eco80"
"62",12.2244488977956,0.162135669733639,"0.139940531821782 to 0.189624952816091","Eco80"
"63",12.4248496993988,0.166523830612858,"0.143441237250941 to 0.195317608799258","Eco80"
"64",12.625250501002,0.171005256623483,"0.147046933010425 to 0.200848962503836","Eco80"
"65",12.8256513026052,0.175569090902457,"0.150829042044541 to 0.206258089323908","Eco80"
"66",13.0260521042084,0.180230290391916,"0.154599493109791 to 0.212196141792287","Eco80"
"67",13.2264529058116,0.184984250934814,"0.158572452444978 to 0.218223337760397","Eco80"
"68",13.4268537074148,0.189828256363991,"0.162401151942712 to 0.224028376890463","Eco80"
"69",13.627254509018,0.194774906175349,"0.166456136971388 to 0.230567809580124","Eco80"
"70",13.8276553106212,0.19982653628399,"0.170485194085346 to 0.236656293441737","Eco80"
"71",14.0280561122244,0.204979500088595,"0.174565171078088 to 0.243102469488589","Eco80"
"72",14.2284569138277,0.21024195180151,"0.178706269012622 to 0.249535040324214","Eco80"
"73",14.4288577154309,0.215611948008577,"0.182976771282446 to 0.256413937826697","Eco80"
"74",14.6292585170341,0.221097264901333,"0.187359840786914 to 0.263640477169482","Eco80"
"75",14.8296593186373,0.226699566414998,"0.191888891840567 to 0.270787360911285","Eco80"
"76",15.0300601202405,0.232413525049597,"0.196479023873326 to 0.277563228612732","Eco80"
"77",15.2304609218437,0.238245487674439,"0.200959058955953 to 0.285406221741997","Eco80"
"78",15.4308617234469,0.24421305342761,"0.205823229877653 to 0.292416301539008","Eco80"
"79",15.6312625250501,0.250308664366681,"0.210782999577147 to 0.300287300227632","Eco80"
"80",15.8316633266533,0.256541354711294,"0.215730459246884 to 0.3086350280206","Eco80"
"81",16.0320641282565,0.262899831233714,"0.220839416377189 to 0.316858033890643","Eco80"
"82",16.2324649298597,0.269394389613054,"0.225941578921643 to 0.324513829882153","Eco80"
"83",16.4328657314629,0.27604882932831,"0.230899985339192 to 0.333698959760444","Eco80"
"84",16.6332665330661,0.282836614473453,"0.236624735136063 to 0.341768042217302","Eco80"
"85",16.8336673346693,0.289772082002512,"0.241808202913746 to 0.351349015745152","Eco80"
"86",17.0340681362725,0.296849344940995,"0.247431571339173 to 0.359841463813318","Eco80"
"87",17.2344689378758,0.30410857181347,"0.253117762605781 to 0.369112990795376","Eco80"
"88",17.434869739479,0.311512540407891,"0.258798015542108 to 0.379411388976283","Eco80"
"89",17.6352705410822,0.319104805618434,"0.264608086764917 to 0.388792281330838","Eco80"
