Metabolite,Equilibrium,Log_K,Temperature,Ionic strength,pH,X.charge,Citation,Notes
L-Glutamic acid,logK_HL/H.L,9.58,25,0.1,,-2,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Glutathione,logK_HL/H.L,9.51,25,0.1,,-2,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
"Fructose 1,6-BP",logK_HL/H.L,6.66,25,0.1,,-4,V3,
ATP,logK_HL/H.L,6.53,25,0.1,,-4,V2,
UDP-GlcNAC,logK_HL/H.L,,,,,,,
UTP,logK_HL/H.L,6.6,25,0.1,,-4,V2,
Glucose 6-P,logK_HL/H.L,6.5,25,0.1,,-2,V3,Use Glucose 1-P
GTP,logK_HL/H.L,6.5,25,0.1,,-4,V2,
dTTP,logK_HL/H.L,6.5,25,0.1,,-4,V2,
L-Aspartic acid,logK_HL/H.L,9.63,25,0.1,,-2,V1,
L-Valine,logK_HL/H.L,9.69,25,0.1,,-1,V1,
L-Glutamine,logK_HL/H.L,9.01,25,0.1,,-1,V1,
6-P-gluconic acid,logK_HL/H.L,,,,,,,
Pyruvic acid,logK_HL/H.L,2.26,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
diOH-ACN-P,logK_HL/H.L,6.08,25,0.1,,-2,V3,
CTP,logK_HL/H.L,6.53,25,0.1,,-4,V2,
L-Alanine,logK_HL/H.L,9.69,25,0.1,,-1,V1,
NAD,logK_HL/H.L,,,,,,,
Fructose 6-P,logK_HL/H.L,6.5,25,0,,-2,V3,Use Glucose 1-P
UDP-glucose,logK_HL/H.L,,,,,,,
Oxidized glutathione,logK_HL/H.L,9.81,25,0.1,,-4,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
uridine,logK_HL/H.L,,,,,,,
Citric acid,logK_HL/H.L,5.69,25,0.1,,-3,V3,
UDP,logK_HL/H.L,6.5,25,0.1,,-3,V2,
(S)-Malic acid,logK_HL/H.L,4.71,25,0.1,,-2,V3,
3-P-D-glyceric acid,logK_HL/H.L,7,25,0.1,,-3,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Glyceric acid,logK_HL/H.L,3.4,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
CoA,logK_HL/H.L,,,,,,,
Citrulline,logK_HL/H.L,9.41,25,0.1,,-1,,
L-Threonine,logK_HL/H.L,8.96,25,0.1,,-1,V6,
Glucoseamine-6-P,logK_HL/H.L,,,,,,,
L-Serine,logK_HL/H.L,9.28,25,0.1,,-1,V1,
acetylphosphate,logK_HL/H.L,,,,,,,
Gluconolactone,logK_HL/H.L,,,,,,,
sedoheptulose-7-phosphate,logK_HL/H.L,,,,,,,
Rib-5-P,logK_HL/H.L,6.5,25,0.1,,-2,V3,
GDP,logK_HL/H.L,6.3,25,0.1,,-3,V2,
acetyl-CoA,logK_HL/H.L,,,,,,,
carb-aspartate,logK_HL/H.L,,,,,,,
L-Arginine,logK_HL/H.L,12.1,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Succinic acid,logK_HL/H.L,5.24,25,0.1,,-2,V3,
UDP-glucuronate,logK_HL/H.L,,,,,,,
ADP,logK_HL/H.L,6.4,25,0.1,,-3,V2,
L-Asparagine,logK_HL/H.L,8.72,25,0.1,,-1,V1,
a-ketoglutarate,logK_HL/H.L,4.44,25,0.1,,-2,V3,
L-Lysine,logK_HL/H.L,10.69,25,0.1,,-1,V1,
L-Proline,logK_HL/H.L,10.38,25,0.1,,,V1,
dTDP,logK_HL/H.L,,,,,,,
Homocysteine,logK_HL/H.L,10.3,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
CMP,logK_HL/H.L,6.19,25,0.1,,-2,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
deoxyrib-5-P,logK_HL/H.L,,,,,,,
Fumarate,logK_HL/H.L,4.1,25,0.1,,-2,V3,
AMP,logK_HL/H.L,6.02,25,0.1,,-2,V2,
IMP,logK_HL/H.L,,,,,,,
glyceraldehyde-3-P,logK_HL/H.L,6.35,25,0.1,,-2,V3,
pRpp,logK_HL/H.L,,,,,,,
succinyl-CoA,logK_HL/H.L,,,,,,,
ITP,logK_HL/H.L,,,,,,,
Guanine,logK_HL/H.L,,,,,,,
P-enolpyruvate,logK_HL/H.L,6.14,25,0.1,,-3,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
S-adenosyl-L-methionine,logK_HL/H.L,,,,,,,
xylulose-5-phosphate,logK_HL/H.L,,,,,,,
FAD,logK_HL/H.L,,,,,,,
L-Isoleucine,logK_HL/H.L,9.6,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Leucine,logK_HL/H.L,9.68,25,0.1,,-1,"(1) Sovago, I.; Kiss, T.; Gergely, A. Critical Survey of the Stability Constants of Complexes of Aliphatic Amino Acids (Technical Report). Pure and Applied Chemistry 1993, 65 (5), 1029–1080. https://doi.org/10.1351/pac199365051029.",
L-Methionine,logK_HL/H.L,9.08,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
"2,3-dihydroxybenzoic acid",logK_HL/H.L,2.33,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
NADPH,logK_HL/H.L,,,,,,,
ribulose-5-P,logK_HL/H.L,,,,,,,
D-dgluconic acid,logK_HL/H.L,,,,,,,
Phenylpyruvic acid,logK_HL/H.L,2.33,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
NADH,logK_HL/H.L,,,,,,,
"2,3-P-glycerate",logK_HL/H.L,7.26,25,0.1,,-4,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
"N-ACN-glucosamine-1,6-P",logK_HL/H.L,,,,,,,
L-Histidine,logK_HL/H.L,9.1,25,0.5,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Flavin,logK_HL/H.L,,,,,,,
4-OH-benzoate,logK_HL/H.L,,,,,,,Use benzoic acid
dGMP,logK_HL/H.L,,,,,,,
erythrose-P,logK_HL/H.L,,,,,,,
Glycerol,logK_HL/H.L,,,,,,,
N-ACN-ornithine,logK_HL/H.L,,,,,,,
Gluconic acid,logK_HL/H.L,3.65,25,0.1,,-1,V3,
Isocitrate,logK_HL/H.L,5.78,25,0.1,,-3,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
malonyl-CoA,logK_HL/H.L,,,,,,,
cyclic-AMP,logK_HL/H.L,,,,,,,
dCTP,logK_HL/H.L,,,,,,,
L-Tyrosine,logK_HL/H.L,10.1,25,0.1,,-2,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
IDP,logK_HL/H.L,6.69,25,0.1,,-3,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
GMP,logK_HL/H.L,6.1,25,0.1,,-2,V2,
acetoacetyl-CoA,logK_HL/H.L,,,,,,,
riboflavin,logK_HL/H.L,,,,,,,
L-Phenylalanine,logK_HL/H.L,9.89,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
"1,3-P-glycerate",logK_HL/H.L,7.26,25,0.1,,-4,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
