Species,Metabolites,Concentration,Kd.app,MCM,Exp.biol.effect,Source,Notes
Mammal iBMK,L-Glutamic acid,63.8,31.769958476476,0.98853551433152,31.4057322428342,Calculated in this work,
Mammal iBMK,L-Glutamine,17.2,28154.0681991003,0.000305456647006,8.5998472716765,Calculated in this work,
Mammal iBMK,L-Aspartic acid,14.9,135.37098730892,0.054831426101744,7.42258428694913,Calculated in this work,
Mammal iBMK,UDP-GlcNAC,8.97,9.12,0.466216216216216,4.25189189189189,"(1) Yamagami, R.; Huang, R.; Bevilacqua, P. C. Cellular Concentrations of Nucleotide Diphosphate-Chelated Magnesium Ions Accelerate Catalysis by RNA and DNA Enzymes. Biochemistry 2019, 58 (38), 3971–3979. https://doi.org/10.1021/acs.biochem.9b00578.",
Mammal iBMK,L-Alanine,6.98,2606.35559634375,0.001338777646485,3.48933061117676,Calculated in this work,
Mammal iBMK,L-Threonine,6.69,1384.45334162341,0.002415243820473,3.34379237808976,Calculated in this work,
Mammal iBMK,Pyruvic acid,5.88,92.0264786160451,0.031774688110633,2.92411265594468,Calculated in this work,
Mammal iBMK,L-Serine,4.86,8696.53307761895,0.000279405629289,2.42986029718536,Calculated in this work,
Mammal iBMK,ATP,4.67,0.054990588360802,4.20727855385181,0.231360723074095,ITC in this work,
Mammal iBMK,L-Glycine,3.71,2606.35559634375,0.000711585253361,1.85464420737332,Predicted from chemical structure,Use Alanine
Mammal iBMK,Glutathione,3.09,21.5408017490723,0.070097268583482,1.50995136570826,Calculated in this work,
Mammal iBMK,N-ACN-L-aspartic acid,2.9,135.37098730892,0.010671888301682,1.44466405584916,Calculated in this work,Use Aspartic acid
Mammal iBMK,Phenylpyruvic acid,1.77,92.0264786160451,0.009564829584323,0.880217585207838,Predicted from chemical structure,Use Pyruvic acid
Mammal iBMK,L-Isoleucine,1.76,2358.37156877443,0.000373059734005,0.879813470132997,Calculated in this work,
Mammal iBMK,L-Leucine,1.76,2583.30226661498,0.000340583337731,0.879829708331135,Calculated in this work,
Mammal iBMK,UTP,1.76,0.175462380107136,1.3028112681278,0.2285943659361,Calculated in this work,
Mammal iBMK,diOH-ACN-P,1.63,22.33868,0.035685074619024,0.797157462690488,Predicted from chemical structure,Use Glycerol 1-P
Mammal iBMK,UDP-glucose,1.53,3.3,0.201315789473684,0.664342105263158,"(1) Yamagami, R.; Huang, R.; Bevilacqua, P. C. Cellular Concentrations of Nucleotide Diphosphate-Chelated Magnesium Ions Accelerate Catalysis by RNA and DNA Enzymes. Biochemistry 2019, 58 (38), 3971–3979. https://doi.org/10.1021/acs.biochem.9b00578.",
Mammal iBMK,"Fructose 1,6-BP",1.52,9.19344563913953,0.078403493277078,0.720798253361461,Calculated in this work,
Mammal iBMK,L-Valine,1.51,5650.99269245976,0.000133593024195,0.754933203487903,Calculated in this work,
Mammal iBMK,(S)-Malic acid,1.39,26.2268782657612,0.026003785144273,0.681998107427863,Calculated in this work,
Mammal iBMK,L-Proline,1.23,2606.35559634375,0.000235916404753,0.614882041797623,Predicted from chemical structure,Use Alanine
Mammal iBMK,L-Tyrosine,0.938,2608356.63080939,1.79806666219233E-07,0.468999910096667,Calculated in this work,
Mammal iBMK,CTP,0.897,0.183246682639748,0.656424701935184,0.120287649032408,Calculated in this work,
Mammal iBMK,L-Phenylalanine,0.84,2606.35559634375,0.00016111364227,0.419919443178865,Predicted from chemical structure,Use Alanine
Mammal iBMK,a-ketoglutarate,0.797,0.014092295263046,0.775152640239627,0.010923679880187,Calculated in this work,
Mammal iBMK,dihydro-orotate,0.735,376.0592,0.000975942162613,0.367012028918693,Predicted from chemical structure,Use Benzoic acid
Mammal iBMK,GTP,0.677,0.151154745711938,0.519845708303795,0.078577145848103,Calculated in this work,
Mammal iBMK,Glucose 6-P,0.675,5.1475268569119,0.059760671981035,0.307619664009482,Calculated in this work,
Mammal iBMK,L-Methionine,0.639,2606.35559634375,0.000122561449299,0.319438719275351,Predicted from chemical structure,Use Alanine
Mammal iBMK,Citric acid,0.584,0.589541640253015,0.268002606979015,0.157998696510493,Calculated in this work,
Mammal iBMK,ADP,0.569,1.011565,0.188215524969154,0.190392237515423,Calculated in this work,
Mammal iBMK,L-Lysine,0.506,10776895.4570164,2.3476147585454E-08,0.252999988261926,Calculated in this work,
Mammal iBMK,NAD,0.502,9.12,0.026091476091476,0.237954261954262,Predicted from chemical structure,Use UDP-GlcNAC
Mammal iBMK,3-P-serine,0.44,9.03710746015706,0.023067790828518,0.208466104585741,Predicted from chemical structure,Use P-enolpyruvate
Mammal iBMK,L-Histidine,0.41,6.4613418681309,0.029448345431574,0.190275827284213,Calculated in this work,
Mammal iBMK,Fumarate,0.387,444.679347275411,0.000434656282202,0.193282671858899,Calculated in this work,
Mammal iBMK,3-P-D-glyceric acid,0.375,7.81732818719628,0.022543297051647,0.176228351474177,Calculated in this work,
Mammal iBMK,Succinic acid,0.352,77.7956234436837,0.002247890651597,0.174876054674202,Calculated in this work,
Mammal iBMK,L-Arginine,0.255,2534.971360026,5.02865076727558E-05,0.127474856746164,Calculated in this work,
Mammal iBMK,"2,3-P-glycerate",0.237,7.77712690296629,0.01431656194102,0.11134171902949,Calculated in this work,
Mammal iBMK,L-Asparagine,0.215,14753.2718321045,7.2862723663706E-06,0.107496356863817,Calculated in this work,
Mammal iBMK,Gluconic acid,0.211,231.2014,0.000455327417098,0.105272336291451,Calculated in this work,
Mammal iBMK,L-Tryptophan,0.18,2606.35559634375,3.45243519150925E-05,0.089982737824043,Predicted from chemical structure,Use Alanine
Mammal iBMK,glyceraldehyde-3-P,0.141,22.33868,0.003086868417965,0.068956565791018,Predicted from chemical structure,Use Glycerol 1-P
Mammal iBMK,UDP,0.133,1.13655906154618,0.040634036108158,0.046182981945921,Calculated in this work,
Mammal iBMK,UDP-glucuronate,0.0975,9.12,0.005067567567568,0.046216216216216,Predicted from chemical structure,Use UDP-GlcNAC
Mammal iBMK,Fructose 6-P,0.0969,40.806558548807,0.001172937221162,0.047863531389419,Calculated in this work,
Mammal iBMK,L-Cysteine,0.084,8696.53307761895,4.82923309882347E-06,0.041997585383451,Predicted from chemical structure,Use Serine
Mammal iBMK,Rib-5-P,0.0783,39.9575232092223,0.000967681580445,0.038666159209777,Calculated in this work,
Mammal iBMK,NADH,0.075,9.12,0.003898128898129,0.035550935550936,Predicted from chemical structure,Use UDP-GlcNAC
Mammal iBMK,methylmalonic acid,0.0726,26.2268782657612,0.001358183310413,0.035620908344793,Predicted from chemical structure,Use malic acid
Mammal iBMK,NADPH,0.0654,9.12,0.003399168399168,0.031000415800416,Predicted from chemical structure,Use UDP-GlcNAC
Mammal iBMK,ac-serine,0.0572,8696.53307761895,3.28847777681789E-06,0.028598355761112,Predicted from chemical structure,Use Serine
Mammal iBMK,AMP,0.0423,22.2013063502775,0.00093166444581,0.020684167777095,Calculated in this work,
Mammal iBMK,dCMP,0.0371,41.2122282718472,0.000444713715103,0.018327643142449,Predicted from chemical structure,Use CMP
Mammal iBMK,xylulose-5-phosphate,0.0315,39.9575232092223,0.000389297187535,0.015555351406232,Predicted from chemical structure,Use Ribose 5-P
Mammal iBMK,GDP,0.0302,0.670546366038115,0.012899958889376,0.008650020555312,Calculated in this work,
Mammal iBMK,xylulose-5-phosphate,0.0299,39.9575232092223,0.000369523362137,0.014765238318932,Predicted from chemical structure,Use Ribose 5-P
