Metabolite,Equilibrium,Log_K,Temperature,Ionic.strength,pH,X.charge,Citation,Notes
(S)-Malic acid,logK_HL/H.L,4.71,25,0.1,NA,-2,[6],
(S)-Malic acid,logK_H2L/H.HL,3.24,25,0.1,NA,NA,[6],
(S)-Malic acid,logK_ML/M.L,1.71,25,0.1,NA,NA,[9],
"1,3-P-glycerate",logK_HL/H.L,7.26,25,0.1,NA,-4,[9],
"1,3-P-glycerate",logK_H2L/H.HL,3.55,25,0.1,NA,NA,[6],
"2,3-dihydroxybenzoic acid",logK_HL/H.L,2.33,25,0.1,NA,-1,[9],
"2,3-dihydroxybenzoic acid",logK_ML/M.L,0.1,30,0.5,NA,NA,[9],Use benzoic acid
"2,3-P-glycerate",logK_HL/H.L,7.26,25,0.1,NA,-4,[9],
"2,3-P-glycerate",logK_H2L/H.HL,3.4,25,0.1,NA,NA,[6],
"2,3-P-glycerate",logK_ML/M.L,2.61,25,0.1,NA,NA,[9],
3-P-D-glyceric acid,logK_HL/H.L,7,25,0.1,NA,-3,[9],
3-P-D-glyceric acid,logK_ML/M.L,2.45,25,0.1,NA,NA,[9],
4-OH-benzoate,logK_ML/M.L,0.1,30,0.5,NA,NA,[9],Use benzoic acid
a-ketoglutarate,logK_HL/H.L,4.44,25,0.1,NA,-2,[6],
a-ketoglutarate,logK_H2L/H.HL,1.85,25,0.1,NA,NA,[6],
a-ketoglutarate,logK_ML/M.L,4.44,25,0.5,NA,NA,[9],
Aconitic acid,logK_HL/H.L,5.71,20,0.1,NA,-3,[9],
Aconitic acid,logK_H2L/H.HL,5.82,4.5,0.1,NA,NA,[6],
Aconitic acid,logK_H3L/H.H2L,3.48,25,0.1,NA,NA,[6],
ADP,logK_HL/H.L,6.4,25,0.1,NA,-3,[5],
ADP,logK_H2L/H.HL,3.96,25,0.1,NA,NA,[5],
ADP,logK_ML/M.L,3.23,25,0.1,NA,NA,[9],
AMP,logK_HL/H.L,6.02,25,0.1,NA,-2,[5],
AMP,logK_H2L/H.HL,3.72,25,0.1,NA,NA,[5],
AMP,logK_ML/M.L,1.8,25,0.1,NA,NA,[9],
AMPS,logK_HL/H.L,4.84,25,0.1,NA,-2,[9],
AMPS,logK_ML/M.L,1.28,25,0.1,NA,NA,[9],
Anthranilate,logK_HL/H.L,7.78,25,0.1,NA,-1,[9],
Anthranilate,logK_ML/M.L,0.72,25,0.1,NA,NA,[9],
ATP,logK_HL/H.L,6.53,25,0.1,NA,-4,[5],
ATP,logK_H2L/H.HL,5.86,25,0.1,NA,NA,[5],
ATP,logK_H3L/H.H2L,1.9,25,0.1,NA,NA,[6],
ATP,logK_ML/M.L,4.3,25,0.1,NA,NA,[5],
Benzoic acid,logK_HL/H.L,4,25,0.1,NA,-1,[6],
Benzoic acid,logK_ML/M.L,0.1,25,1,NA,NA,[6],
Citric acid,logK_HL/H.L,5.69,25,0.1,NA,-3,[6],
Citric acid,logK_H2L/H.HL,4.35,25,0.1,NA,NA,[6],
Citric acid,logK_H3L/H.H2L,2.87,25,0.1,NA,NA,[6],
Citric acid,logK_ML/M.L,3.43,25,0.1,NA,NA,[9],
Citrulline,logK_HL/H.L,9.41,25,0.1,NA,-1,,
Citrulline,logK_H2L/H.HL,2.43,25,0.1,NA,NA,[4],
Citrulline,logK_ML/M.L,1.66,25,0.1,NA,NA,[9],
CMP,logK_HL/H.L,6.19,25,0.1,NA,-2,[9],
CMP,logK_H2L/H.HL,4.5,25,0.1,NA,NA,[5],
CMP,logK_ML/M.L,1.54,25,0.1,NA,NA,[9],
CTP,logK_HL/H.L,6.53,25,0.1,NA,-4,[5],
CTP,logK_H2L/H.HL,3.85,25,0.1,NA,NA,[5],
