"Metabolite","L.total","M.free.mM.original","Kd.original","MCM.original","M.total","Kd.IS.pH.corr","MCM.corr","M.free.corr","M.free.increase"
"Glutamate",96,2,15.1,11.3,13.3,31.77,9.72064129253685,3.57935870746315,1.78967935373158
"Glutamate",96,0.5,15.1,3.1,3.6,31.77,2.6856410746903,0.914358925309705,1.82871785061941
"Aspartate",4.2,2,3.2,1.7,3.7,135.37,0.108548773897638,3.59145122610236,1.79572561305118
"Aspartate",4.2,0.5,3.2,0.6,1.1,135.37,0.0328504951662154,1.06714950483378,2.13429900966757
"Glutamine",3.8,2,12.6,0.6,2.6,28154.07,0.000350846421497408,2.5996491535785,1.29982457678925
"Glutamine",3.8,0.5,12.6,0.2,0.7,28154.07,9.44650237215683e-05,0.699905534976278,1.39981106995256
"Alanine",2.6,2,11,0.4,2.4,2606.36,0.00238956164980664,2.39761043835019,1.1988052191751
"Alanine",2.6,0.5,11,0.2,0.7,2606.36,0.000697409044278174,0.699302590955722,1.39860518191144
"ATP",9.6,2,0.079,9.2,11.2,0.1,9.15288782289272,2.04711217710728,1.02355608855364
"ATP",9.6,0.5,0.079,8.3,8.8,0.1,8.20956739766576,0.590432602334239,1.18086520466848
"ADP",0.56,2,0.56,0.42,2.42,1,0.376029740050951,2.04397025994905,1.02198512997452
"ADP",0.56,0.5,0.56,0.24,0.74,1,0.197057189543885,0.542942810456115,1.08588562091223
"AMP",0.28,2,0.28,0.04,2.04,22,0.0235095682483237,2.01649043175168,1.00824521587584
"AMP",0.28,0.5,0.28,0.01,0.51,22,0.00626762980181361,0.503732370198186,1.00746474039637
