"Metabolite","Temp.","Std.error.Temp.","K","Std.error.K","Kd","Std.error.Kd","n","Std.error.n","dG","Std.error.dG","dH","Std.error.dH","dS","Std.error.dS","Saturation","Std.error.Saturation"
"ATP",25.07,0,3938.21,28.44,0.25392246731383,0.00183371505592778,1,0,-4.91,0,1.89,0,0.27,0,89.81,0.07
"ATP",31.03,0.01,4341.59,36.01,0.230330362839421,0.00191040525840707,1,0,-5.06,0.01,1.9,0.01,0.22,0,89.78,0.08
"ATP",37.03,0.01,3624.68,193.93,0.275886423077348,0.0147606558447615,1,0,-5.05,0.03,1.83,0.04,0.19,0,89.7,0.49
"Glucose 6-P",25.04,0.01,49.84,0.45,20.0642054574639,0.181157553287696,1,0,-2.32,0.01,0.52,0,0.11,0,42.37,0.21
"ATP",43.02,0.01,7040.59,333.19,0.142033551165456,0.00672161834630597,1,0,-5.57,0.03,1.3,0.02,0.16,0,89.39,0.44
"ATP",49.02,0.01,6093.08,98.05,0.164120608953107,0.00264103305846176,1,0,-5.58,0.01,1.48,0.01,0.14,0,89.87,0.14
"GTP",25.19,0,4216.35,136.99,0.237171961530708,0.00770576138368296,1,0,-4.95,0.02,1.42,0.02,0.25,0,89.86,0.29
"GTP",31.02,0,4397.94,183.94,0.227379182071606,0.00950993573133132,1,0,-5.07,0.03,1.48,0.02,0.21,0,89.9,0.38
"GTP",37.02,0.01,5011.68,210.39,0.19953388883568,0.0083764196581064,1,0,-5.25,0.03,1.43,0.02,0.18,0,89.95,0.38
"GTP",43.02,0.01,4873.61,269.23,0.205186709646443,0.0113350099491161,1,0,-5.34,0.03,1.43,0.03,0.16,0,89.7,0.51
"GTP",49.04,0.01,6066.64,301.01,0.164835889388525,0.0081787037082866,1,0,-5.58,0.03,1.24,0.02,0.14,0,89.83,0.45
"UTP",25.03,0,3605.2,35.98,0.277377121934983,0.00276823167847018,1,0,-4.85,0.01,1.76,0.01,0.26,0,89.36,0.09
"UTP",31.03,0,4097.28,56.57,0.244064354889097,0.00336972834565278,1,0,-5.03,0.01,1.75,0.01,0.22,0,89.92,0.12
"UTP",37.03,0.01,4205.33,72.72,0.237793466862291,0.00411200569520723,1,0,-5.14,0.01,1.69,0.01,0.18,0,89.84,0.16
"UTP",43.03,0.01,3773.87,107.41,0.264979980762453,0.00754172765190511,1,0,-5.17,0.02,1.51,0.02,0.16,0,89.78,0.26
"UTP",49.02,0.01,10865.15,479.96,0.092037385586025,0.00406568373063129,1,0,-5.95,0.03,0.99,0.01,0.14,0,88.97,0.42
"dTTP",25.03,0.01,4975.23,51.08,0.200995732860591,0.00206359545880673,1,0,-5.04,0.01,2.17,0.01,0.29,0,89.89,0.09
"dTTP",31.02,0.01,5587.21,73.88,0.178980206578954,0.0023666655919597,1,0,-5.22,0.01,2.21,0.01,0.24,0,89.59,0.12
"dTTP",37.02,0.01,6153.54,103.35,0.162508084777218,0.0027293575018161,1,0,-5.38,0.01,2.2,0.01,0.2,0,89.96,0.15
"dTTP",43.04,0.01,8651.12,202.92,0.115591969594688,0.00271131627698542,1,0,-5.7,0.01,1.49,0.01,0.17,0,89.8,0.21
"dTTP",49.02,0.01,5399.99,47.21,0.185185528121348,0.00161900462456576,1,0,-5.5,0.01,2.49,0.01,0.16,0,89.76,0.08
