Experiment,Helix,AU,Condition,dH,dS,dG,
01_js4022_Helix_A.csv,A,0.500,1 M NaCL,-77.6366666666667,-0.207410640012897,-13.2933333333333,1
02_js4022_Helix_B.csv,B,0.500,1 M NaCL,-80.3366666666667,-0.21611610511043,-13.2933333333333,2
03_js4022_Helix_C.csv,C,0.429,1 M NaCL,-77.0566666666667,-0.207958761889408,-12.5433333333333,3
04_js4022_Helix_D.csv,D,0.333,1 M NaCL,-63.5566666666667,-0.169912655166855,-10.8433333333333,4
05_js4022_Helix_E.csv,E,0.167,1 M NaCL,-69.3566666666667,-0.18377691439626,-12.3433333333333,5
06_js4019_Helix_A.csv,A,0.500,Prokaryotic salts,-77.6366666666667,-0.207410640012897,-13.2933333333333,6
07_js4019_Helix_B.csv,B,0.500,Prokaryotic salts,-80.3366666666667,-0.21611610511043,-13.2933333333333,7
08_js4019_Helix_C.csv,C,0.429,Prokaryotic salts,-77.0566666666667,-0.207958761889408,-12.5433333333333,8
09_js4024_Helix_D.csv,D,0.333,Prokaryotic salts,-63.5566666666667,-0.169912655166855,-10.8433333333333,9
41_js5003_Helix_F.csv,F,0.375,1 M NaCL,-87.3366666666667,-0.230302788973078,-15.8933333333333,10
42_js5003_Helix_G.csv,G,0.625,1 M NaCL,-78.1366666666667,-0.211602160245043,-12.4933333333333,11
43_js5003_Helix_H.csv,H,0.750,1 M NaCL,-69.1366666666667,-0.189032435918104,-10.4933333333333,12
44_js5003_Helix_I.csv,I,0.250,1 M NaCL,-93.9566666666667,-0.246327293245204,-17.5433333333333,13
45_js5003_Helix_J.csv,J,0.625,1 M NaCL,-72.9366666666667,-0.19644820248267,-11.9933333333333,14
10_js4019_Helix_E.csv,E,0.166666666666667,Prokaryotic salts,-69.3566666666667,-0.18377691439626,-12.3433333333333,
