"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.367547104,200,1000,0.160767607
"A1","2",23.836454912,200,1000,0.161549717
"A1","3",24.303376624,200,1000,0.16205791
"A1","4",24.778053568,200,1000,0.162576748
"A1","5",25.247623408,200,1000,0.162625527
"A1","6",25.727502032,200,1000,0.163154512
"A1","7",26.199436272,200,1000,0.163447959
"A1","8",26.6702356,200,1000,0.164133027
"A1","9",27.146047456,200,1000,0.164461621
"A1","10",27.621102704,200,1000,0.164983379
"A1","11",28.09218576,200,1000,0.165532148
"A1","12",28.561661024,200,1000,0.165896113
"A1","13",29.038229488,200,1000,0.166637422
"A1","14",29.507610176,200,1000,0.167109863
"A1","15",29.980490176,200,1000,0.167705625
"A1","16",30.45658576,200,1000,0.168622949
"A1","17",30.928709152,200,1000,0.169174336
"A1","18",31.4014,200,1000,0.170132168
"A1","19",31.876549824,200,1000,0.170746914
"A1","20",32.346025088,200,1000,0.171378164
"A1","21",32.817959328,200,1000,0.172121172
"A1","22",33.28062512,200,1000,0.173175801
"A1","23",33.760409168,200,1000,0.17399959
"A1","24",34.236977632,200,1000,0.174941094
"A1","25",34.711749152,200,1000,0.175429277
"A1","26",35.186142368,200,1000,0.176695723
"A1","27",35.65779288,200,1000,0.177599629
"A1","28",36.129916272,200,1000,0.178493047
"A1","29",36.603742032,200,1000,0.179691035
"A1","30",37.075392544,200,1000,0.180644961
"A1","31",37.550164064,200,1000,0.181888555
"A1","32",38.02219288,200,1000,0.183175156
"A1","33",38.495734912,200,1000,0.184658984
"A1","34",38.968331184,200,1000,0.186573184
"A1","35",39.440549152,200,1000,0.18809877
"A1","36",39.914847792,200,1000,0.190438906
"A1","37",40.384890512,200,1000,0.19273918
"A1","38",40.858432544,200,1000,0.195116348
"A1","39",41.332447456,200,1000,0.197594863
"A1","40",41.804570848,200,1000,0.200781426
"A1","41",42.27622136,200,1000,0.204327422
"A1","42",42.749479664,200,1000,0.208240859
"A1","43",43.22387288,200,1000,0.212455332
"A1","44",43.696563728,200,1000,0.21696041
"A1","45",44.169916608,200,1000,0.223076582
"A1","46",44.64062136,200,1000,0.229465469
"A1","47",45.114257968,200,1000,0.237241602
"A1","48",45.586948816,200,1000,0.245437949
"A1","49",46.060112544,200,1000,0.255273652
"A1","50",46.533654576,200,1000,0.266501133
"A1","51",47.007574912,200,1000,0.279621484
"A1","52",47.479603728,200,1000,0.293863262
"A1","53",47.951348816,200,1000,0.309849121
"A1","54",48.42318848,200,1000,0.328307188
"A1","55",48.898527456,200,1000,0.349254219
"A1","56",49.372069488,200,1000,0.372492305
"A1","57",49.8413556,200,1000,0.398673867
"A1","58",50.315086784,200,1000,0.428085781
"A1","59",50.79042576,200,1000,0.46097332
"A1","60",51.262643728,200,1000,0.495895234
"A1","61",51.73571288,200,1000,0.534886211
"A1","62",52.205188144,200,1000,0.576764688
"A1","63",52.680337968,200,1000,0.623040547
"A1","64",53.154258304,200,1000,0.671780391
"A1","65",53.626381696,200,1000,0.724845703
"A1","66",54.10011288,200,1000,0.778738828
"A1","67",54.57204712,200,1000,0.837019062
"A1","68",55.044832544,200,1000,0.896405469
"A1","69",55.518185424,200,1000,0.956011797
"A1","70",55.991254576,200,1000,1.016716016
"A1","71",56.462905088,200,1000,1.079806641
"A1","72",56.933988144,200,1000,1.140510234
"A1","73",57.4098,200,1000,1.199118438
"A1","74",57.881639664,200,1000,1.256225156
"A1","75",58.357356944,200,1000,1.312989688
"A1","76",58.828723728,200,1000,1.365832656
"A1","77",59.299050176,200,1000,1.417585781
"A1","78",59.774010848,200,1000,1.464824531
"A1","79",60.24660712,200,1000,1.508635625
