"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.361872544,200,1000,0.395639844
"A1","2",23.8305912,200,1000,0.39789793
"A1","3",24.308010848,200,1000,0.400596484
"A1","4",24.787038288,200,1000,0.402934062
"A1","5",25.256513552,200,1000,0.405604766
"A1","6",25.725515936,200,1000,0.407645352
"A1","7",26.197923056,200,1000,0.410068828
"A1","8",26.676666768,200,1000,0.412442578
"A1","9",27.140940352,200,1000,0.414140703
"A1","10",27.614766112,200,1000,0.416508594
"A1","11",28.094644736,200,1000,0.419027969
"A1","12",28.563836272,200,1000,0.421679492
"A1","13",29.038607792,200,1000,0.424477539
"A1","14",29.508555936,200,1000,0.426818047
"A1","15",29.983422032,200,1000,0.429381016
"A1","16",30.450816624,200,1000,0.432503164
"A1","17",30.928709152,200,1000,0.435317773
"A1","18",31.399319328,200,1000,0.43759332
"A1","19",31.872010176,200,1000,0.439924219
"A1","20",32.343660688,200,1000,0.443191367
"A1","21",32.818432208,200,1000,0.445862188
"A1","22",33.2905556,200,1000,0.449000703
"A1","23",33.764759664,200,1000,0.452132148
"A1","24",34.243692528,200,1000,0.455731523
"A1","25",34.715532192,200,1000,0.459163594
"A1","26",35.186615248,200,1000,0.462521211
"A1","27",35.655050176,200,1000,0.466262305
"A1","28",36.132848128,200,1000,0.470401719
"A1","29",36.602701696,200,1000,0.47396207
"A1","30",37.073690176,200,1000,0.477950898
"A1","31",37.548650848,200,1000,0.481948555
"A1","32",38.021625424,200,1000,0.486412227
"A1","33",38.492803056,200,1000,0.491214961
"A1","34",38.967101696,200,1000,0.495566172
"A1","35",39.439697968,200,1000,0.500505156
"A1","36",39.91276712,200,1000,0.505854844
"A1","37",40.383566448,200,1000,0.511988945
"A1","38",40.858810848,200,1000,0.51829125
"A1","39",41.33282576,200,1000,0.524672812
"A1","40",41.804854576,200,1000,0.532318164
"A1","41",42.278869488,200,1000,0.5402975
"A1","42",42.750236272,200,1000,0.54855832
"A1","43",43.222170512,200,1000,0.557777695
"A1","44",43.696374576,200,1000,0.567894766
"A1","45",44.167930512,200,1000,0.578715938
"A1","46",44.64298576,200,1000,0.590875391
"A1","47",45.114163392,200,1000,0.604708711
"A1","48",45.587989152,200,1000,0.619666289
"A1","49",46.061342032,200,1000,0.63591293
"A1","50",46.531573904,200,1000,0.654653203
"A1","51",47.007007456,200,1000,0.676274844
"A1","52",47.479414576,200,1000,0.698776484
"A1","53",47.95125424,200,1000,0.724582656
"A1","54",48.424985424,200,1000,0.753858281
"A1","55",48.89748712,200,1000,0.785715938
"A1","56",49.369232208,200,1000,0.822484531
"A1","57",49.841923056,200,1000,0.861005547
"A1","58",50.318302368,200,1000,0.905459844
"A1","59",50.790236608,200,1000,0.954585625
"A1","60",51.260279328,200,1000,1.005878828
"A1","61",51.73571288,200,1000,1.060949531
"A1","62",52.211524736,200,1000,1.120499297
"A1","63",52.68194576,200,1000,1.183871875
"A1","64",53.150853568,200,1000,1.2509425
"A1","65",53.624584752,200,1000,1.319841719
"A1","66",54.100018304,200,1000,1.389385469
"A1","67",54.572425424,200,1000,1.462712188
"A1","68",55.045494576,200,1000,1.537495156
"A1","69",55.515631872,200,1000,1.609656875
"A1","70",55.990592544,200,1000,1.682157188
"A1","71",56.464607456,200,1000,1.750389531
"A1","72",56.937014576,200,1000,1.811896875
"A1","73",57.408665088,200,1000,1.87261625
"A1","74",57.87984272,200,1000,1.928774688
"A1","75",58.35461424,200,1000,1.983820938
"A1","76",58.82985864,200,1000,2.030006094
"A1","77",59.301982032,200,1000,2.072681719
"A1","78",59.77467288,200,1000,2.107444531
"A1","79",60.24660712,200,1000,2.138297656
"A1","80",60.719108816,200,1000,2.158986094
"A1","81",61.19378576,200,1000,2.172267656
"A1","82",61.663923056,200,1000,2.188995312
"A1","83",62.137275936,200,1000,2.204219062
"A1","84",62.611574576,200,1000,2.215996562
"A1","85",63.083697968,200,1000,2.223933906
"A1","86",63.557145424,200,1000,2.231943438
"A1","87",64.030025424,200,1000,2.237120312
"A1","88",64.503,200,1000,2.240480938
"A1","89",64.97446136,200,1000,2.243698594
"A1","90",65.448003392,200,1000,2.245251094
"A1","91",65.919937632,200,1000,2.244158281
"A1","92",66.39404712,200,1000,2.24086375
"A1","93",66.867967456,200,1000,2.240059062
"A1","94",67.339145088,200,1000,2.237810469
"A1","95",67.812308816,200,1000,2.231050312
"A1","96",68.285756272,200,1000,2.230356094
"A1","97",68.758730848,200,1000,2.224350312
"A1","98",69.23227288,200,1000,2.218431562
"A1","99",69.702410176,200,1000,2.213874531
"A1","100",70.178600336,200,1000,2.206017812
"A1","101",70.651102032,200,1000,2.200305469
"A1","102",71.125116944,200,1000,2.192319844
"A1","103",71.595537968,200,1000,2.1866075
"A1","104",72.069647456,200,1000,2.180711875
"A1","105",72.541865424,200,1000,2.17213875
"A1","106",73.016636944,200,1000,2.162618438
"A1","107",73.486585088,200,1000,2.158594219
"A1","108",73.961356608,200,1000,2.148021406
"A1","109",74.431493904,200,1000,2.140992344
"A1","110",74.904090176,200,1000,2.131797969
"A1","111",75.377537632,200,1000,2.124527344
"A1","112",75.850890512,200,1000,2.116016875
"A1","113",76.325,200,1000,2.106164844
"A1","114",76.797312544,200,1000,2.097960312
"A1","115",77.270003392,200,1000,2.089585781
"A1","116",77.742032208,200,1000,2.08141875
"A1","117",78.21604712,200,1000,2.074134062
"A1","118",78.68892712,200,1000,2.062997031
"A1","119",79.16133424,200,1000,2.0555775
"A1","120",79.63516,200,1000,2.04606625
"A1","121",80.10662136,200,1000,2.035314844
"A2","1",23.361872544,200,800,0.463643438
"A2","2",23.8305912,200,800,0.467168359
"A2","3",24.308010848,200,800,0.469582891
"A2","4",24.787038288,200,800,0.472092109
"A2","5",25.256513552,200,800,0.474885039
"A2","6",25.725515936,200,800,0.477199141
"A2","7",26.197923056,200,800,0.47949293
"A2","8",26.676666768,200,800,0.481698594
"A2","9",27.140940352,200,800,0.483550312
"A2","10",27.614766112,200,800,0.48578375
"A2","11",28.094644736,200,800,0.488209922
"A2","12",28.563836272,200,800,0.491286445
"A2","13",29.038607792,200,800,0.494010703
"A2","14",29.508555936,200,800,0.496636523
"A2","15",29.983422032,200,800,0.499388711
"A2","16",30.450816624,200,800,0.50229957
"A2","17",30.928709152,200,800,0.504771602
"A2","18",31.399319328,200,800,0.507845039
"A2","19",31.872010176,200,800,0.5108225
"A2","20",32.343660688,200,800,0.514067852
"A2","21",32.818432208,200,800,0.517499727
"A2","22",33.2905556,200,800,0.520838555
"A2","23",33.764759664,200,800,0.524408828
"A2","24",34.243692528,200,800,0.527733125
"A2","25",34.715532192,200,800,0.531352852
"A2","26",35.186615248,200,800,0.535147266
