"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.35629256,200,1000,0.765431172
"A1","2",23.830780352,200,1000,0.765773672
"A1","3",24.308862032,200,1000,0.765565547
"A1","4",24.782309488,200,1000,0.764365703
"A1","5",25.251973904,200,1000,0.76540625
"A1","6",25.728353216,200,1000,0.765029453
"A1","7",26.198017632,200,1000,0.765396641
"A1","8",26.671275936,200,1000,0.765883281
"A1","9",27.147560672,200,1000,0.76754625
"A1","10",27.61788712,200,1000,0.767841328
"A1","11",28.090199664,200,1000,0.767635703
"A1","12",28.563552544,200,1000,0.768715703
"A1","13",29.03510848,200,1000,0.770248359
"A1","14",29.505529504,200,1000,0.772176875
"A1","15",29.981057632,200,1000,0.772325078
"A1","16",30.452613568,200,1000,0.774130938
"A1","17",30.925871872,200,1000,0.774533125
"A1","18",31.39714408,200,1000,0.777801016
"A1","19",31.871537296,200,1000,0.78140375
"A1","20",32.352456256,200,1000,0.783957422
"A1","21",32.823255584,200,1000,0.786611562
"A1","22",33.291123056,200,1000,0.790809297
"A1","23",33.76674576,200,1000,0.794904844
"A1","24",34.238301696,200,1000,0.79935625
"A1","25",34.709006448,200,1000,0.803817656
"A1","26",35.183683392,200,1000,0.810396875
"A1","27",35.656657968,200,1000,0.816653516
"A1","28",36.129632544,200,1000,0.822812812
"A1","29",36.602512544,200,1000,0.833372188
"A1","30",37.076622032,200,1000,0.841331172
"A1","31",37.54742136,200,1000,0.851369062
"A1","32",38.021057968,200,1000,0.862762188
"A1","33",38.494032544,200,1000,0.87503625
"A1","34",38.96889864,200,1000,0.888385547
"A1","35",39.440454576,200,1000,0.901315625
"A1","36",39.912577968,200,1000,0.918849922
"A1","37",40.38612,200,1000,0.935529453
"A1","38",40.857770512,200,1000,0.954280078
"A1","39",41.330650512,200,1000,0.973607266
"A1","40",41.805422032,200,1000,0.994498594
"A1","41",42.276032208,200,1000,1.017572109
"A1","42",42.751182032,200,1000,1.043120078
"A1","43",43.22529152,200,1000,1.070160938
"A1","44",43.695617968,200,1000,1.097114688
"A1","45",44.168497968,200,1000,1.123660078
"A1","46",44.64251288,200,1000,1.151037812
"A1","47",45.113123056,200,1000,1.179377734
"A1","48",45.587705424,200,1000,1.206891484
"A1","49",46.06162576,200,1000,1.235129766
"A1","50",46.531290176,200,1000,1.262609766
"A1","51",47.004832208,200,1000,1.290657734
"A1","52",47.47932,200,1000,1.318312188
"A1","53",47.952010848,200,1000,1.342864375
"A1","54",48.425647456,200,1000,1.365902656
"A1","55",48.898054576,200,1000,1.391367344
"A1","56",49.370650848,200,1000,1.410665938
"A1","57",49.844760336,200,1000,1.433852812
"A1","58",50.316221696,200,1000,1.453152812
"A1","59",50.78995288,200,1000,1.471042344
"A1","60",51.262927456,200,1000,1.488671406
"A1","61",51.737320672,200,1000,1.504627656
"A1","62",52.208025424,200,1000,1.520728125
"A1","63",52.681094576,200,1000,1.5329425
"A1","64",53.150853568,200,1000,1.546019375
"A1","65",53.626381696,200,1000,1.556058125
"A1","66",54.09964,200,1000,1.569656406
"A1","67",54.571952544,200,1000,1.576409375
"A1","68",55.045967456,200,1000,1.587750156
"A1","69",55.518563728,200,1000,1.59656625
"A1","70",55.990403392,200,1000,1.603881406
"A1","71",56.464134576,200,1000,1.611347812
"A1","72",56.93597424,200,1000,1.615790156
"A1","73",57.41027288,200,1000,1.622107031
"A1","74",57.883058304,200,1000,1.624425781
"A1","75",58.356222032,200,1000,1.627460469
"A1","76",58.827588816,200,1000,1.63157625
"A1","77",59.299995936,200,1000,1.632919531
"A1","78",59.775051184,200,1000,1.626790781
"A1","79",60.246701696,200,1000,1.62263625
