"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.357900352,200,1000,0.10842957
"A1","2",23.835414576,200,1000,0.108313535
"A1","3",24.30536272,200,1000,0.108163809
"A1","4",24.77729696,200,1000,0.107939785
"A1","5",25.254243728,200,1000,0.107829062
"A1","6",25.732892864,200,1000,0.107817451
"A1","7",26.200003728,200,1000,0.107674307
"A1","8",26.674396944,200,1000,0.107461133
"A1","9",27.142548144,200,1000,0.10728876
"A1","10",27.617981696,200,1000,0.10713626
"A1","11",28.09313152,200,1000,0.106860381
"A1","12",28.564214576,200,1000,0.106883555
"A1","13",29.034446448,200,1000,0.106665537
"A1","14",29.510069152,200,1000,0.106511562
"A1","15",29.980963056,200,1000,0.106392295
"A1","16",30.45564,200,1000,0.106241016
"A1","17",30.924453232,200,1000,0.106029258
"A1","18",31.397522384,200,1000,0.106054229
"A1","19",31.875320336,200,1000,0.105817549
"A1","20",32.346025088,200,1000,0.10566499
"A1","21",32.818810512,200,1000,0.105469844
"A1","22",33.295662704,200,1000,0.105406377
"A1","23",33.76769152,200,1000,0.10533834
"A1","24",34.241233552,200,1000,0.105262773
"A1","25",34.716667104,200,1000,0.10525499
"A1","26",35.185291184,200,1000,0.105008154
"A1","27",35.657887456,200,1000,0.104850635
"A1","28",36.127930176,200,1000,0.104504844
"A1","29",36.602228816,200,1000,0.104749893
"A1","30",37.076054576,200,1000,0.104619453
"A1","31",37.547610512,200,1000,0.104558184
"A1","32",38.022287456,200,1000,0.104528496
"A1","33",38.49365424,200,1000,0.104465625
"A1","34",38.966912544,200,1000,0.104219521
"A1","35",39.440643728,200,1000,0.104257529
"A1","36",39.914847792,200,1000,0.104274697
"A1","37",40.38564712,200,1000,0.104313662
"A1","38",40.85852712,200,1000,0.104374355
"A1","39",41.332258304,200,1000,0.104599883
"A1","40",41.803908816,200,1000,0.10475582
"A1","41",42.27669424,200,1000,0.104828213
"A1","42",42.751560336,200,1000,0.10514748
"A1","43",43.224534912,200,1000,0.105224541
"A1","44",43.69675288,200,1000,0.10549126
"A1","45",44.167930512,200,1000,0.105735586
"A1","46",44.641756272,200,1000,0.106030498
"A1","47",45.11302848,200,1000,0.106547373
"A1","48",45.587516272,200,1000,0.106883906
"A1","49",46.06115288,200,1000,0.107347402
"A1","50",46.531479328,200,1000,0.108004336
"A1","51",47.00644,200,1000,0.108582334
"A1","52",47.480927792,200,1000,0.109502949
"A1","53",47.953051184,200,1000,0.110457021
"A1","54",48.42413424,200,1000,0.111591914
"A1","55",48.898338304,200,1000,0.112734873
"A1","56",49.371974912,200,1000,0.114325605
"A1","57",49.844098304,200,1000,0.115926465
"A1","58",50.316410848,200,1000,0.117993906
"A1","59",50.788439664,200,1000,0.120278057
"A1","60",51.26236,200,1000,0.123045283
"A1","61",51.73524,200,1000,0.126165059
"A1","62",52.209160336,200,1000,0.129756309
"A1","63",52.680905424,200,1000,0.13387541
"A1","64",53.15198848,200,1000,0.138653115
"A1","65",53.626097968,200,1000,0.144395664
"A1","66",54.097653904,200,1000,0.150881016
"A1","67",54.572236272,200,1000,0.158539121
"A1","68",55.0454,200,1000,0.167518965
"A1","69",55.517712544,200,1000,0.177549785
"A1","70",55.992294912,200,1000,0.189822852
"A1","71",56.46451288,200,1000,0.203497168
"A1","72",56.936068816,200,1000,0.21876791
"A1","73",57.409705424,200,1000,0.235943965
"A1","74",57.881923392,200,1000,0.255754941
"A1","75",58.354708816,200,1000,0.279129336
"A1","76",58.828345424,200,1000,0.304281152
"A1","77",59.300941696,200,1000,0.332840039
"A1","78",59.775807792,200,1000,0.363812852
"A1","79",60.246890848,200,1000,0.397225391
"A1","80",60.720527456,200,1000,0.434673711
